id,start_time,end_time,duration_bars,quality,compression,upper_r2,lower_r2,containment,pivots_high,pivots_low,breakout_dir,breakout_price,bars_to_breakout
91,2023-07-07 10:40:00,2023-07-07 12:05:00,18,0.778,0.677,1.0,1.0,0.944,2,2,up,19385.7,2
92,2023-07-13 15:25:00,2023-07-14 10:50:00,21,0.8,0.577,1.0,1.0,0.952,2,2,up,19468.05,3
93,2023-07-17 10:10:00,2023-07-17 11:20:00,15,0.825,0.499,1.0,1.0,1.0,2,2,up,19619.5,8
94,2023-07-18 09:15:00,2023-07-18 10:25:00,15,0.721,0.425,0.629,1.0,0.867,3,2,up,19776.25,4
95,2023-07-18 11:05:00,2023-07-18 13:15:00,27,0.715,0.67,1.0,0.784,0.852,2,3,up,19738.65,5
96,2023-07-21 09:30:00,2023-07-21 10:55:00,18,0.797,0.584,1.0,1.0,0.944,2,2,down,19780.0,3
97,2023-07-21 14:50:00,2023-07-24 09:45:00,15,0.715,0.796,1.0,0.909,0.867,2,3,up,19726.7,1
98,2023-07-24 14:10:00,2023-07-24 15:25:00,16,0.793,0.535,1.0,1.0,0.875,2,2,up,19701.9,4
99,2023-07-25 09:15:00,2023-07-25 10:25:00,15,0.836,0.419,1.0,1.0,1.0,2,2,up,19678.25,3
100,2023-07-27 11:20:00,2023-07-27 12:50:00,19,0.773,0.761,1.0,1.0,1.0,2,2,down,19700.45,2
101,2023-07-28 09:15:00,2023-07-28 10:50:00,20,0.839,0.379,1.0,1.0,0.95,2,2,down,19584.55,10
102,2023-07-28 10:05:00,2023-07-28 11:55:00,23,0.742,0.779,1.0,0.969,0.87,2,3,up,19584.25,7
103,2023-07-31 15:10:00,2023-08-01 10:05:00,15,0.828,0.484,1.0,1.0,1.0,2,2,down,19762.45,3
104,2023-08-04 09:15:00,2023-08-04 10:35:00,17,0.793,0.6,1.0,1.0,0.941,2,2,up,19498.2,8
105,2023-08-08 12:40:00,2023-08-08 14:00:00,17,0.726,0.777,1.0,0.832,0.941,2,3,up,19589.5,4
106,2023-08-09 10:50:00,2023-08-09 12:00:00,15,0.788,0.683,1.0,1.0,1.0,2,2,up,19498.75,6
107,2023-08-11 12:45:00,2023-08-11 13:55:00,15,0.69,0.757,1.0,1.0,0.933,2,2,down,19470.3,4
108,2023-08-14 09:15:00,2023-08-14 10:40:00,18,0.854,0.299,1.0,1.0,0.944,2,2,down,19316.45,6
109,2023-08-14 11:15:00,2023-08-14 13:05:00,23,0.752,0.777,1.0,1.0,0.913,2,2,up,19372.75,4
110,2023-08-14 15:00:00,2023-08-16 10:35:00,23,0.836,0.474,1.0,0.982,0.87,2,4,up,19400.35,1
111,2023-08-16 15:00:00,2023-08-17 10:40:00,24,0.812,0.567,1.0,1.0,1.0,2,2,up,19406.8,3
112,2023-08-22 09:25:00,2023-08-22 11:00:00,20,0.804,0.407,1.0,1.0,0.9,2,2,up,19416.7,1
113,2023-08-23 13:00:00,2023-08-23 14:35:00,20,0.751,0.771,1.0,1.0,0.9,2,2,up,19461.75,3
114,2023-08-25 09:55:00,2023-08-25 12:15:00,29,0.791,0.622,1.0,0.999,0.862,2,3,down,19283.15,7
115,2023-08-30 11:05:00,2023-08-30 12:15:00,15,0.775,0.75,1.0,1.0,1.0,2,2,down,19437.8,5
116,2023-09-01 10:35:00,2023-09-01 11:55:00,17,0.732,0.627,1.0,0.789,0.882,2,3,down,19333.8,3
117,2023-09-04 09:25:00,2023-09-04 10:40:00,16,0.77,0.712,1.0,1.0,0.938,2,2,up,19459.25,2
118,2023-09-06 09:35:00,2023-09-06 11:00:00,18,0.769,0.779,1.0,1.0,1.0,2,2,down,19557.55,7
119,2023-09-06 15:15:00,2023-09-07 10:10:00,15,0.791,0.538,1.0,1.0,0.867,2,2,up,19587.35,1
120,2023-09-12 12:35:00,2023-09-12 14:00:00,18,0.701,0.672,1.0,1.0,0.889,2,2,up,20011.2,2
