direction,entry_method,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,RETEST,2026-01-20 10:15:00+05:30,2026-01-20 11:00:00+05:30,25485.69921875,25458.55078125,25508.01092608235,25508.01092608235,False,27.15,34.45,18.3,TIME_EXIT
short,RETEST,2026-01-21 09:30:00+05:30,2026-01-21 10:55:00+05:30,25242.849609375,24992.688995147408,25279.53002924053,24992.688995147408,True,250.16,322.65,8.45,TRAIL_SL
long,RETEST,2026-01-28 09:50:00+05:30,2026-01-28 10:35:00+05:30,25288.400390625,25301.599609375,25244.72685086191,25244.72685086191,False,13.2,28.0,55.7,TIME_EXIT
short,MOMENTUM,2026-01-29 09:50:00+05:30,2026-01-29 10:10:00+05:30,25180.69921875,25209.306112366303,25209.306112366303,25209.306112366303,False,-28.61,20.65,33.65,STOP_LOSS
short,RETEST,2026-01-29 10:10:00+05:30,2026-01-29 10:55:00+05:30,25211.650390625,25234.0,25238.099229731888,25238.099229731888,False,-22.35,44.0,28.9,TIME_EXIT
short,MOMENTUM,2026-01-30 09:30:00+05:30,2026-01-30 09:45:00+05:30,25261.400390625,25294.408489004163,25294.408489004163,25294.408489004163,False,-33.01,0.2,47.1,STOP_LOSS
short,RETEST,2026-01-30 09:45:00+05:30,2026-01-30 10:30:00+05:30,25305.55078125,25292.05078125,25336.399134592117,25336.399134592117,False,13.5,39.1,17.45,TIME_EXIT
long,MOMENTUM,2026-02-03 09:30:00+05:30,2026-02-03 10:15:00+05:30,25755.150390625,25753.349609375,25613.834607690325,25613.834607690325,False,-1.8,37.95,112.8,TIME_EXIT
long,MOMENTUM,2026-02-03 10:20:00+05:30,2026-02-03 11:05:00+05:30,25781.25,25778.0,25697.467179320593,25697.467179320593,False,-3.25,40.4,34.55,TIME_EXIT
short,MOMENTUM,2026-02-05 09:30:00+05:30,2026-02-05 10:15:00+05:30,25692.75,25670.55078125,25714.502181863496,25714.502181863496,False,22.2,79.65,14.3,TIME_EXIT
short,RETEST,2026-02-05 10:25:00+05:30,2026-02-05 11:10:00+05:30,25669.55078125,25673.55078125,25690.493905139367,25690.493905139367,False,-4.0,57.6,8.7,TIME_EXIT
short,MOMENTUM,2026-02-06 09:30:00+05:30,2026-02-06 10:15:00+05:30,25563.599609375,25544.849609375,25584.150833333482,25584.150833333482,False,18.75,58.85,7.2,TIME_EXIT
short,RETEST,2026-02-06 10:15:00+05:30,2026-02-06 11:00:00+05:30,25544.849609375,25546.75,25566.94553793794,25566.94553793794,False,-1.9,52.7,13.95,TIME_EXIT
long,MOMENTUM,2026-02-09 09:30:00+05:30,2026-02-09 10:15:00+05:30,25802.19921875,25816.650390625,25750.92507322366,25750.92507322366,False,14.45,28.9,20.65,TIME_EXIT
long,RETEST,2026-02-09 10:25:00+05:30,2026-02-09 11:30:00+05:30,25812.80078125,25854.48805137175,25784.079301867667,25854.48805137175,True,41.69,57.25,2.7,TRAIL_SL
long,MOMENTUM,2026-02-10 09:30:00+05:30,2026-02-10 10:15:00+05:30,25943.75,25966.0,25917.350136683508,25917.350136683508,False,22.25,27.8,14.95,TIME_EXIT
long,MOMENTUM,2026-02-10 10:15:00+05:30,2026-02-10 11:00:00+05:30,25966.0,25964.599609375,25942.518777116533,25942.518777116533,False,-1.4,12.55,14.65,TIME_EXIT
short,MOMENTUM,2026-02-12 09:30:00+05:30,2026-02-12 09:50:00+05:30,25838.349609375,25855.0970519778,25855.0970519778,25855.0970519778,False,-16.75,9.95,27.6,STOP_LOSS
short,RETEST,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,False,-15.61,15.2,15.8,STOP_LOSS
short,MOMENTUM,2026-02-13 09:30:00+05:30,2026-02-13 10:15:00+05:30,25547.69921875,25526.25,25580.021972107763,25580.021972107763,False,21.45,34.15,18.55,TIME_EXIT
short,RETEST,2026-02-13 10:25:00+05:30,2026-02-13 10:35:00+05:30,25548.94921875,25567.40599673665,25567.40599673665,25567.40599673665,False,-18.46,0.7,32.7,STOP_LOSS
short,MOMENTUM,2026-02-16 09:45:00+05:30,2026-02-16 09:55:00+05:30,25455.05078125,25479.93442019715,25479.93442019715,25479.93442019715,False,-24.88,23.15,42.9,STOP_LOSS
long,MOMENTUM,2026-02-17 10:15:00+05:30,2026-02-17 10:45:00+05:30,25690.69921875,25660.33957830632,25660.33957830632,25660.33957830632,False,-30.36,39.4,47.95,STOP_LOSS
short,MOMENTUM,2026-02-18 10:05:00+05:30,2026-02-18 10:50:00+05:30,25665.44921875,25685.46454409575,25685.46454409575,25685.46454409575,False,-20.02,19.55,31.35,STOP_LOSS
long,MOMENTUM,2026-02-23 09:45:00+05:30,2026-02-23 10:30:00+05:30,25741.400390625,25700.19921875,25699.004952081137,25699.004952081137,False,-41.2,5.25,47.85,TIME_EXIT
short,MOMENTUM,2026-02-24 09:30:00+05:30,2026-02-24 10:15:00+05:30,25513.900390625,25500.30078125,25540.238361413016,25540.238361413016,False,13.6,38.7,21.7,TIME_EXIT
short,MOMENTUM,2026-02-27 09:30:00+05:30,2026-02-27 10:15:00+05:30,25367.19921875,25302.80078125,25394.067821680474,25394.067821680474,False,64.4,65.45,16.45,TIME_EXIT
short,MOMENTUM,2026-02-27 10:15:00+05:30,2026-02-27 10:25:00+05:30,25302.80078125,25320.480724945803,25320.480724945803,25320.480724945803,False,-17.68,10.15,30.2,STOP_LOSS
short,MOMENTUM,2026-03-02 09:35:00+05:30,2026-03-02 10:55:00+05:30,24949.80078125,24839.70151788503,25009.561165929255,24839.70151788503,True,110.1,137.55,38.95,TRAIL_SL
short,MOMENTUM,2026-03-04 09:30:00+05:30,2026-03-04 09:40:00+05:30,24332.349609375,24399.86578820611,24399.86578820611,24399.86578820611,False,-67.52,15.2,79.65,STOP_LOSS
short,MOMENTUM,2026-03-04 09:40:00+05:30,2026-03-04 10:05:00+05:30,24408.75,24365.957723504445,24469.86855834981,24365.957723504445,True,42.79,102.15,7.45,TRAIL_SL
short,RETEST,2026-03-04 10:10:00+05:30,2026-03-04 10:55:00+05:30,24413.650390625,24391.44921875,24459.235881721717,24459.235881721717,False,22.2,37.95,23.7,TIME_EXIT
short,MOMENTUM,2026-03-09 09:30:00+05:30,2026-03-09 10:15:00+05:30,23764.400390625,23764.44921875,23841.137624083272,23841.137624083272,False,-0.05,52.55,69.75,TIME_EXIT
short,MOMENTUM,2026-03-11 09:45:00+05:30,2026-03-11 10:55:00+05:30,24198.80078125,24092.52431185912,24226.018104072715,24092.52431185912,True,106.28,149.4,6.55,TRAIL_SL
short,MOMENTUM,2026-03-12 09:30:00+05:30,2026-03-12 09:50:00+05:30,23592.650390625,23633.22395484842,23633.22395484842,23633.22395484842,False,-40.57,23.25,64.35,STOP_LOSS
short,RETEST,2026-03-12 09:50:00+05:30,2026-03-12 09:55:00+05:30,23656.75,23691.3586473652,23691.3586473652,23691.3586473652,False,-34.61,13.0,39.55,STOP_LOSS
short,MOMENTUM,2026-03-13 09:30:00+05:30,2026-03-13 10:25:00+05:30,23453.900390625,23334.076060447736,23493.965366493365,23334.076060447736,True,119.82,147.4,20.55,TRAIL_SL
short,RETEST,2026-03-13 10:25:00+05:30,2026-03-13 11:10:00+05:30,23353.44921875,23321.650390625,23382.337835016297,23382.337835016297,False,31.8,44.15,26.1,TIME_EXIT
short,MOMENTUM,2026-03-16 10:20:00+05:30,2026-03-16 10:55:00+05:30,23056.69921875,23012.23262291169,23091.878822063107,23012.23262291169,True,44.47,101.15,20.05,TRAIL_SL
