direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
short,2026-02-12 13:50:00+05:30,2026-02-12 15:00:00+05:30,25821.650390625,25823.94921875,62.65,-2.3,BREAKEVEN_SL
short,2026-02-13 10:05:00+05:30,2026-02-13 12:25:00+05:30,25534.94921875,25585.30078125,8.7,-50.35,STOP_LOSS
short,2026-02-13 13:00:00+05:30,2026-02-13 15:15:00+05:30,25542.5,25485.05078125,65.3,57.45,EOD_EXIT
long,2026-02-16 10:10:00+05:30,2026-02-16 15:15:00+05:30,25551.44921875,25680.94921875,137.2,129.5,EOD_EXIT
long,2026-02-17 10:15:00+05:30,2026-02-17 13:55:00+05:30,25690.69921875,25698.849609375,68.75,8.15,ST_TRAIL
short,2026-02-18 13:55:00+05:30,2026-02-18 14:10:00+05:30,25724.30078125,25756.80078125,0.0,-32.5,ST_TRAIL
long,2026-02-18 14:15:00+05:30,2026-02-18 15:15:00+05:30,25771.599609375,25818.30078125,54.1,46.7,EOD_EXIT
short,2026-02-19 10:20:00+05:30,2026-02-19 15:15:00+05:30,25754.05078125,25410.150390625,343.9,343.9,EOD_EXIT
long,2026-02-20 10:30:00+05:30,2026-02-20 12:55:00+05:30,25570.849609375,25594.599609375,82.6,23.75,ST_TRAIL
long,2026-02-20 14:20:00+05:30,2026-02-20 15:00:00+05:30,25604.55078125,25598.0,45.3,-6.55,BREAKEVEN_SL
short,2026-02-24 09:40:00+05:30,2026-02-24 14:10:00+05:30,25499.44921875,25440.5,159.6,58.95,ST_TRAIL
long,2026-02-25 10:05:00+05:30,2026-02-25 12:30:00+05:30,25629.849609375,25536.19921875,13.45,-93.65,STOP_LOSS
short,2026-02-27 09:55:00+05:30,2026-02-27 13:45:00+05:30,25330.0,25327.650390625,57.05,2.35,ST_TRAIL
short,2026-03-02 10:45:00+05:30,2026-03-02 14:00:00+05:30,24818.80078125,24687.30078125,204.05,131.5,ST_TRAIL
long,2026-03-02 14:05:00+05:30,2026-03-02 14:25:00+05:30,24746.5,24730.30078125,40.9,-16.2,BREAKEVEN_SL
short,2026-03-06 13:55:00+05:30,2026-03-06 14:15:00+05:30,24554.900390625,24609.25,0.0,-54.35,STOP_LOSS
short,2026-03-09 10:25:00+05:30,2026-03-09 10:50:00+05:30,23782.599609375,23851.44921875,29.5,-68.85,STOP_LOSS
long,2026-03-10 10:45:00+05:30,2026-03-10 12:10:00+05:30,24222.400390625,24172.5,29.65,-49.9,ST_TRAIL
long,2026-03-10 13:05:00+05:30,2026-03-10 15:15:00+05:30,24206.30078125,24274.25,79.65,67.95,EOD_EXIT
