entry_time,exit_time,direction,entry_price,exit_price,stop_loss,peak_profit,pnl,exit_reason,month
2017-11-13 11:35:00+05:30,2017-11-13 15:20:00+05:30,short,10260.6,10221.9,10291.381800000001,39.25,38.7,EOD_EXIT,2017-11
2017-11-15 09:40:00+05:30,2017-11-15 15:20:00+05:30,short,10151.1,10126.6,10181.5533,47.75,24.5,EOD_EXIT,2017-11
2017-11-21 09:50:00+05:30,2017-11-21 15:20:00+05:30,long,10333.55,10323.55,10302.54935,22.450000000000728,-10.0,EOD_EXIT,2017-11
2017-11-23 13:10:00+05:30,2017-11-23 14:40:00+05:30,short,10310.35,10351.9,10341.28105,0.0,-41.55,STOP_LOSS,2017-11
2017-11-27 10:40:00+05:30,2017-11-27 15:00:00+05:30,short,10358.9,10394.55,10389.9767,17.299999999999272,-35.65,STOP_LOSS,2017-11
2017-11-29 10:45:00+05:30,2017-11-29 15:20:00+05:30,short,10374.6,10348.25,10405.7238,26.350000000000364,26.35,EOD_EXIT,2017-11
2017-12-01 11:25:00+05:30,2017-12-01 15:20:00+05:30,short,10206.65,10121.3,10237.26995,90.19999999999891,85.35,EOD_EXIT,2017-12
2017-12-05 10:40:00+05:30,2017-12-05 14:05:00+05:30,short,10089.85,10123.25,10120.119550000001,9.450000000000728,-33.4,STOP_LOSS,2017-12
2017-12-08 09:45:00+05:30,2017-12-08 12:20:00+05:30,long,10231.15,10255.45,10200.456549999999,28.05000000000109,24.3,ST_TOUCH,2017-12
2017-12-11 09:50:00+05:30,2017-12-11 11:35:00+05:30,long,10320.8,10289.05,10289.837599999999,0.0,-31.75,STOP_LOSS,2017-12
2017-12-13 11:10:00+05:30,2017-12-13 13:55:00+05:30,long,10285.65,10248.05,10254.79305,6.700000000000728,-37.6,STOP_LOSS,2017-12
2017-12-15 09:40:00+05:30,2017-12-15 15:20:00+05:30,long,10364.65,10324.65,10333.55605,6.5,-40.0,EOD_EXIT,2017-12
2017-12-18 09:55:00+05:30,2017-12-18 13:15:00+05:30,long,10352.15,10404.8,10343.388662220941,89.70000000000073,52.65,ST_TOUCH,2017-12
2017-12-20 11:55:00+05:30,2017-12-20 15:00:00+05:30,long,10484.85,10446.5,10453.39545,0.0,-38.35,STOP_LOSS,2017-12
2017-12-27 10:25:00+05:30,2017-12-27 14:40:00+05:30,long,10538.35,10500.4,10506.73495,11.649999999999636,-37.95,STOP_LOSS,2017-12
2018-01-02 10:05:00+05:30,2018-01-02 10:35:00+05:30,short,10412.45,10444.4,10443.68735,0.0,-31.95,STOP_LOSS,2018-01
2018-01-03 10:00:00+05:30,2018-01-03 12:40:00+05:30,long,10497.7,10461.1,10466.206900000001,0.0,-36.6,STOP_LOSS,2018-01
