Date,Close,Open,High,Low,Vol.,Change %
2024-07-08,13.6,12.695,13.7575,12.695,,7.13%
2024-07-09,14.28,13.6,14.4025,12.79,,5.00%
2024-07-10,14.4325,14.28,14.915,13.4075,,1.07%
2024-07-11,13.995,14.4325,14.4325,12.68,,-3.03%
2024-07-12,13.725,13.995,14.0525,13.2225,,-1.93%
2024-07-15,14.1875,13.725,14.34,13.5675,,3.37%
2024-07-16,14.2225,14.1875,14.5875,13.8025,,0.25%
2024-07-18,14.51,14.2225,14.71,13.75,,2.02%
2024-07-19,14.825,14.51,14.965,12.7375,,2.17%
2024-07-22,15.4375,14.825,15.625,13.115,,4.13%
2024-07-23,12.7475,15.4375,16.065,12.5925,,-17.43%
2024-07-24,11.7625,12.7475,14.0375,11.6175,,-7.73%
2024-07-25,12.6175,11.7625,13.2175,11.275,,7.27%
2024-07-26,12.2475,12.6175,13.135,11.9775,,-2.93%
2024-07-29,12.945,12.2475,13.255,12.0275,,5.70%
2024-07-30,12.88,12.945,13.26,11.715,,-0.50%
2024-07-31,13.25,12.88,13.3875,11.6225,,2.87%
2024-08-01,12.93,13.25,13.305,11.9825,,-2.42%
2024-08-02,14.32,12.93,14.51,11.6925,,10.75%
2024-08-05,20.3675,14.32,23.1525,13.9075,,42.23%
2024-08-06,18.7425,20.3675,20.3675,14.8675,,-7.98%
2024-08-07,16.17,18.7425,18.7425,13.7225,,-13.73%
2024-08-08,16.6025,16.17,17.23,14.38,,2.67%
2024-08-09,15.335,16.6025,16.6025,13.4325,,-7.63%
2024-08-12,15.8675,15.335,16.5575,13.395,,3.47%
2024-08-13,16.1675,15.8675,16.375,14.2225,,1.89%
2024-08-14,15.435,16.1675,16.22,13.8225,,-4.53%
2024-08-16,14.4025,15.435,15.435,12.95,,-6.69%
2024-08-19,14.315,14.4025,14.83,13.1975,,-0.61%
2024-08-20,13.82,14.315,14.315,11.425,,-3.46%
2024-08-21,13.3325,13.82,14.045,11.8225,,-3.53%
2024-08-22,13,13.3325,13.7825,10.9575,,-2.49%
2024-08-23,13.5525,13,13.62,10.84,,4.25%
2024-08-26,13.795,13.5525,13.9925,12.01,,1.79%
2024-08-27,13.6325,13.795,14.01,12.71,,-1.18%
2024-08-28,13.95,13.6325,14.085,12.035,,2.33%
2024-08-29,13.7875,13.95,14.135,12.4825,,-1.16%
2024-08-30,13.3925,13.7875,13.905,12.54,,-2.86%
2024-09-02,14.06,13.3925,14.25,12.6275,,4.98%
2024-09-03,13.8425,14.06,14.15,12.69,,-1.55%
2024-09-04,14.3775,13.8425,14.555,12.805,,3.86%
2024-09-05,14.2075,14.3775,14.3775,13.335,,-1.18%
2024-09-06,15.2175,14.2075,15.6725,12.3525,,7.11%
2024-09-09,14.2375,15.2175,15.5625,14.11,,-6.44%
2024-09-10,13.36,14.2375,14.2375,12.1675,,-6.16%
2024-09-11,13.6275,13.36,13.765,11.325,,2.00%
2024-09-12,13.1825,13.6275,13.6275,11.14,,-3.27%
2024-09-13,12.55,13.1825,13.1825,12.4675,,-4.80%
2024-09-16,12.46,12.55,12.955,12.31,,-0.72%
2024-09-17,12.59,12.46,12.75,11.8825,,1.04%
2024-09-18,13.3725,12.59,13.8475,12.26,,6.22%
2024-09-19,12.47,13.3725,13.3725,12.1,,-6.75%
2024-09-20,12.79,12.47,13.11,10.9025,,2.57%
2024-09-23,13.785,12.79,14.03,12.4275,,7.78%
2024-09-24,13.3925,13.785,14.105,12.7425,,-2.85%
2024-09-25,12.7425,13.3925,13.61,8.98,,-4.85%
2024-09-26,12.0025,12.7425,12.7425,11.3525,,-5.81%
2024-09-27,11.9625,12.0025,12.08,10.5025,,-0.33%
2024-09-30,12.7875,11.9625,13.2375,11.6,,6.90%
2024-10-01,11.9875,12.7875,12.7875,11.7125,,-6.26%
