direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
long,RETEST,2025-01-29 10:15:00+05:30,2025-01-29 10:40:00+05:30,23055.4,23080.885730290425,23019.59322374714,23080.885730290425,True,25.49,51.05,0.0,TRAIL_SL,25,25.4857,0.3,0.315291,0.0006,-10.53,7.8211,12.6657,-0.702,0.0,7.1191,7.1191,462.74,50.0,412.74,2.3345,65
long,RETEST,2025-02-01 10:05:00+05:30,2025-02-01 11:00:00+05:30,23558.15,23578.43748329428,23520.246006174926,23578.43748329428,True,20.29,44.0,27.35,TRAIL_SL,55,20.2875,0.3,0.312172,0.0006,-10.53,6.1974,8.0258,-1.5444,0.0,4.653,4.653,302.44,50.0,252.44,5.1218,65
short,RETEST,2025-02-06 10:20:00+05:30,2025-02-06 11:40:00+05:30,23647.75,23612.120038561396,23666.057360967283,23612.120038561396,True,35.63,53.4,9.15,TRAIL_SL,80,-35.63,-0.3,-0.321378,0.0006,-10.53,11.0318,24.7551,-2.2464,0.0,8.7854,8.7854,571.05,50.0,521.05,-7.4328,65
short,CROSSOVER_BREAKOUT,2025-02-10 09:35:00+05:30,2025-02-10 10:35:00+05:30,23427.7,23387.3439052937,23455.745664866554,23387.3439052937,True,40.36,70.1,33.7,TRAIL_SL,60,-40.3561,-0.3,-0.324214,0.0006,-10.53,12.5466,31.758,-1.6848,0.0,10.8618,10.8618,706.01,50.0,656.01,-5.5848,65
short,RETEST,2025-02-11 09:40:00+05:30,2025-02-11 10:20:00+05:30,23339.95,23279.17948843486,23359.94291495327,23279.17948843486,True,60.77,78.7,3.4,TRAIL_SL,40,-60.7705,-0.3,-0.336462,0.0006,-10.53,19.2283,72.0146,-1.1232,0.0,18.1051,18.1051,1176.83,50.0,1126.83,-3.7301,65
short,RETEST,2025-02-11 10:25:00+05:30,2025-02-11 10:55:00+05:30,23289.0,23272.362805595974,23306.62185303051,23272.362805595974,True,16.64,38.1,3.0,TRAIL_SL,30,-16.6372,-0.3,-0.309982,0.0006,-10.53,5.0659,5.3975,-0.8424,0.0,4.2235,4.2235,274.53,50.0,224.53,-2.8002,65
short,CROSSOVER_BREAKOUT,2025-02-17 09:35:00+05:30,2025-02-17 10:05:00+05:30,22776.3,22775.3,22817.185223871697,22775.3,True,1.0,36.1,33.9,TRAIL_SL,30,-1.0,-0.3,-0.3006,0.0006,-10.53,0.3003,0.0195,-0.8424,0.0,-0.5421,-0.5421,-35.24,50.0,-85.24,-2.8002,65
short,RETEST,2025-02-17 10:05:00+05:30,2025-02-17 10:25:00+05:30,22779.0,22813.173971873883,22813.173971873883,22813.173971873883,False,-34.17,29.0,48.85,STOP_LOSS,20,34.174,-0.3,-0.279496,0.0006,-10.53,-9.9369,22.7733,-0.5616,0.0,-10.4985,-10.4985,-682.4,50.0,-732.4,-1.8685,65
short,CROSSOVER_BREAKOUT,2025-02-18 10:20:00+05:30,2025-02-18 10:40:00+05:30,22842.5,22837.823896484457,22869.285922403866,22837.823896484457,True,4.68,28.35,1.5,TRAIL_SL,20,-4.6761,-0.3,-0.302806,0.0006,-10.53,1.4087,0.4264,-0.5616,0.0,0.8471,0.8471,55.06,50.0,5.06,-1.8685,65
short,RETEST,2025-02-19 09:30:00+05:30,2025-02-19 09:45:00+05:30,22890.65,22915.157426706206,22915.157426706206,22915.157426706206,False,-24.51,8.55,74.25,STOP_LOSS,15,24.5074,-0.3,-0.285296,0.0006,-10.53,-7.1901,11.712,-0.4212,0.0,-7.6113,-7.6113,-494.73,50.0,-544.73,-1.402,65
