direction,entry_type,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,RETEST,2025-09-05 10:25:00+05:30,2025-09-05 11:00:00+05:30,24721.75,24687.27700184003,24751.139899965365,24687.27700184003,True,34.47,58.0,8.35,TRAIL_SL,35,-34.473,-0.3,-0.320684,0.0006,-10.53,10.6628,23.1736,-0.9828,0.0,9.68,9.68,629.2,50.0,579.2,-3.2653,65
long,CROSSOVER_BREAKOUT,2025-09-16 09:35:00+05:30,2025-09-16 10:20:00+05:30,25137.45,25163.430505664095,25118.615961781397,25163.430505664095,True,25.98,44.4,12.35,TRAIL_SL,45,25.9805,0.3,0.315588,0.0006,-10.53,7.9764,13.1622,-1.2636,0.0,6.7128,6.7128,436.33,50.0,386.33,4.1944,65
short,RETEST,2025-09-19 10:20:00+05:30,2025-09-19 12:10:00+05:30,25330.2,25296.96322886404,25344.179869328356,25296.96322886404,True,33.24,43.9,15.05,TRAIL_SL,110,-33.2368,-0.3,-0.319942,0.0006,-10.53,10.2693,21.5413,-3.0888,0.0,7.1805,7.1805,466.73,50.0,416.73,-10.1921,65
short,RETEST,2025-09-22 09:30:00+05:30,2025-09-22 11:40:00+05:30,25303.15,25278.634533123324,25326.042282639493,25278.634533123324,True,24.52,36.25,28.55,TRAIL_SL,130,-24.5155,-0.3,-0.314709,0.0006,-10.53,7.5169,11.7197,-3.6504,0.0,3.8665,3.8665,251.32,50.0,201.32,-12.0234,65
short,RETEST,2025-09-23 10:00:00+05:30,2025-09-23 10:35:00+05:30,25152.7,25131.86902983774,25171.854061287053,25131.86902983774,True,20.83,41.7,11.2,TRAIL_SL,35,-20.831,-0.3,-0.312499,0.0006,-10.53,6.3665,8.4616,-0.9828,0.0,5.3837,5.3837,349.94,50.0,299.94,-3.2653,65
short,RETEST,2025-09-25 10:20:00+05:30,2025-09-25 11:10:00+05:30,25042.3,25016.401270320315,25057.48402668205,25016.401270320315,True,25.9,42.8,11.5,TRAIL_SL,50,-25.8987,-0.3,-0.315539,0.0006,-10.53,7.9507,13.0795,-1.404,0.0,6.5467,6.5467,425.54,50.0,375.54,-4.6583,65
long,RETEST,2025-10-07 10:20:00+05:30,2025-10-07 11:15:00+05:30,25173.2,25148.539907451093,25148.539907451093,25148.539907451093,False,-24.66,22.75,32.95,STOP_LOSS,55,-24.6601,0.3,0.285204,0.0006,-10.53,-7.2338,11.8583,-1.5444,0.0,-8.7782,-8.7782,-570.59,50.0,-620.59,5.1218,65
short,CROSSOVER_BREAKOUT,2025-10-28 10:15:00+05:30,2025-10-28 10:40:00+05:30,25901.35,25887.157287695594,25924.10787960809,25887.157287695594,True,14.19,36.3,8.8,TRAIL_SL,25,-14.1927,-0.3,-0.308516,0.0006,-10.53,4.3122,3.9279,-0.702,0.0,3.6102,3.6102,234.66,50.0,184.66,-2.3345,65
short,CROSSOVER_BREAKOUT,2025-10-31 10:25:00+05:30,2025-10-31 10:40:00+05:30,25836.55,25813.29480845206,25855.907780338115,25813.29480845206,True,23.26,47.95,0.5,TRAIL_SL,15,-23.2552,-0.3,-0.313953,0.0006,-10.53,7.1226,10.5457,-0.4212,0.0,6.7014,6.7014,435.59,50.0,385.59,-1.402,65
short,RETEST,2025-11-04 10:00:00+05:30,2025-11-04 10:20:00+05:30,25716.65,25696.0771829106,25732.645722760175,25696.0771829106,True,20.57,42.75,2.2,TRAIL_SL,20,-20.5728,-0.3,-0.312344,0.0006,-10.53,6.2861,8.2532,-0.5616,0.0,5.7245,5.7245,372.09,50.0,322.09,-1.8685,65
short,RETEST,2025-11-04 10:20:00+05:30,2025-11-04 11:25:00+05:30,25702.2,25680.33351712713,25717.622781486487,25680.33351712713,True,21.87,43.85,18.35,TRAIL_SL,65,-21.8665,-0.3,-0.31312,0.0006,-10.53,6.689,9.3238,-1.8252,0.0,4.8638,4.8638,316.15,50.0,266.15,-6.0474,65
short,RETEST,2025-11-13 09:40:00+05:30,2025-11-13 09:45:00+05:30,25857.0,25876.86632313896,25876.86632313896,25876.86632313896,False,-19.87,1.45,25.95,STOP_LOSS,5,19.8663,-0.3,-0.28808,0.0006,-10.53,-5.8533,7.6961,-0.1404,0.0,-5.9937,-5.9937,-389.59,50.0,-439.59,-0.4678,65
short,RETEST,2025-12-02 10:25:00+05:30,2025-12-02 10:55:00+05:30,26078.8,26092.2033622572,26092.2033622572,26092.2033622572,False,-13.4,9.15,20.8,STOP_LOSS,30,13.4034,-0.3,-0.291958,0.0006,-10.53,-3.9725,3.5032,-0.8424,0.0,-4.8149,-4.8149,-312.97,50.0,-362.97,-2.8002,65
short,CROSSOVER_BREAKOUT,2025-12-03 09:30:00+05:30,2025-12-03 10:50:00+05:30,25933.55,25917.44598215564,25955.02854629126,25917.44598215564,True,16.1,37.3,19.25,TRAIL_SL,80,-16.104,-0.3,-0.309662,0.0006,-10.53,4.9012,5.0571,-2.2464,0.0,2.6548,2.6548,172.56,50.0,122.56,-7.4328,65
short,RETEST,2025-12-08 10:20:00+05:30,2025-12-08 11:20:00+05:30,26101.65,26070.622155721743,26118.60852995268,26070.622155721743,True,31.03,49.9,2.25,TRAIL_SL,60,-31.0278,-0.3,-0.318617,0.0006,-10.53,9.5683,18.7732,-1.6848,0.0,7.8835,7.8835,512.43,50.0,462.43,-5.5848,65
short,RETEST,2025-12-11 10:00:00+05:30,2025-12-11 10:05:00+05:30,25739.0,25763.69919092409,25763.69919092409,25763.69919092409,False,-24.7,5.6,35.1,STOP_LOSS,5,24.6992,-0.3,-0.28518,0.0006,-10.53,-7.245,11.896,-0.1404,0.0,-7.3854,-7.3854,-480.05,50.0,-530.05,-0.4678,65
short,CROSSOVER_BREAKOUT,2025-12-18 09:40:00+05:30,2025-12-18 10:05:00+05:30,25745.1,25763.091087976347,25763.091087976347,25763.091087976347,False,-17.99,18.8,30.25,STOP_LOSS,25,17.9911,-0.3,-0.289205,0.0006,-10.53,-5.3099,6.3117,-0.702,0.0,-6.0119,-6.0119,-390.78,50.0,-440.78,-2.3345,65
short,RETEST,2025-12-26 10:25:00+05:30,2025-12-26 12:10:00+05:30,26091.75,26057.76234844786,26102.91253154601,26057.76234844786,True,33.99,43.4,5.85,TRAIL_SL,105,-33.9877,-0.3,-0.320393,0.0006,-10.53,10.5082,22.5256,-2.9484,0.0,7.5598,7.5598,491.39,50.0,441.39,-9.7333,65
long,RETEST,2026-01-02 10:25:00+05:30,2026-01-02 11:55:00+05:30,26247.1,26287.265278896484,26226.79093433461,26287.265278896484,True,40.17,51.6,12.05,TRAIL_SL,90,40.1653,0.3,0.324099,0.0006,-10.53,12.4852,31.4584,-2.5272,0.0,9.958,9.958,647.27,50.0,597.27,8.3542,65
long,CROSSOVER_BREAKOUT,2026-01-05 10:15:00+05:30,2026-01-05 11:20:00+05:30,26357.3,26326.073220898917,26326.073220898917,26326.073220898917,False,-31.23,15.9,36.9,STOP_LOSS,65,-31.2268,0.3,0.281264,0.0006,-10.53,-9.1048,19.0147,-1.8252,0.0,-10.93,-10.93,-710.45,50.0,-760.45,6.0474,65
short,RETEST,2026-01-09 09:50:00+05:30,2026-01-09 12:00:00+05:30,25877.3,25754.539409558874,25907.512554068468,25754.539409558874,True,122.76,142.15,24.65,TRAIL_SL,130,-122.7606,-0.3,-0.373656,0.0006,-10.53,40.8971,293.8682,-3.6504,0.0,37.2467,37.2467,2421.04,50.0,2371.04,-12.0234,65
short,CROSSOVER_BREAKOUT,2026-01-13 09:55:00+05:30,2026-01-13 10:00:00+05:30,25709.85,25739.69423151021,25739.69423151021,25739.69423151021,False,-29.84,4.65,41.95,STOP_LOSS,5,29.8442,-0.3,-0.282093,0.0006,-10.53,-8.7128,17.3682,-0.1404,0.0,-8.8532,-8.8532,-575.46,50.0,-625.46,-0.4678,65
