direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,B,2026-03-13 09:40:00+05:30,2026-03-13 10:55:00+05:30,23425.5,23365.0,23462.838626145294,23365.0,True,60.5,119.0,1.05,TRAIL_SL,1955,1970
short,B,2026-03-13 12:20:00+05:30,2026-03-13 14:10:00+05:30,23269.55078125,23173.400390625,23291.57751642834,23173.400390625,True,96.15,156.25,21.7,TRAIL_SL,1987,2009
short,B,2026-03-16 10:20:00+05:30,2026-03-16 11:05:00+05:30,23056.69921875,23055.69921875,23091.878822063107,23055.69921875,True,1.0,101.15,22.3,TRAIL_SL,2038,2047
long,C,2026-03-17 13:05:00+05:30,2026-03-17 15:15:00+05:30,23517.0,23562.55078125,23375.349609375,23562.55078125,True,45.55,139.2,12.85,TRAIL_SL,2146,2172
long,A,2026-03-18 09:55:00+05:30,2026-03-18 12:05:00+05:30,23691.25,23782.0,23638.554462478278,23782.0,True,90.75,143.85,50.55,TRAIL_SL,2183,2209
long,C,2026-03-18 13:25:00+05:30,2026-03-18 15:00:00+05:30,23824.349609375,23804.69921875,23757.400390625,23757.400390625,False,-19.65,37.45,57.45,EOD_EXIT,2225,2244
short,B,2026-03-19 09:35:00+05:30,2026-03-19 15:20:00+05:30,23257.25,23049.44921875,23312.73307836191,23049.44921875,True,207.8,325.3,60.55,TRAIL_SL,2254,2323
short,C,2026-03-20 12:00:00+05:30,2026-03-20 12:50:00+05:30,23228.94921875,23221.400390625,23349.900390625,23221.400390625,True,7.55,108.6,12.4,TRAIL_SL,2358,2368
short,B,2026-03-23 09:40:00+05:30,2026-03-23 13:35:00+05:30,22706.400390625,22517.55078125,22756.32054136411,22517.55078125,True,188.85,234.3,0.25,TRAIL_SL,2405,2452
long,B,2026-03-25 09:40:00+05:30,2026-03-25 11:35:00+05:30,23270.900390625,23372.30078125,23208.631998483812,23372.30078125,True,101.4,163.35,24.35,TRAIL_SL,2555,2578
long,C,2026-03-25 12:15:00+05:30,2026-03-25 14:20:00+05:30,23441.400390625,23338.5,23338.5,23338.5,False,-102.9,23.85,124.6,STOP_LOSS,2586,2611
short,B,2026-03-27 09:50:00+05:30,2026-03-27 12:25:00+05:30,23014.94921875,22959.25,23049.370635366817,22959.25,True,55.7,108.55,23.7,TRAIL_SL,2632,2663
short,A,2026-03-30 09:30:00+05:30,2026-03-30 11:35:00+05:30,22683.599609375,22511.30078125,22738.313514756603,22511.30078125,True,172.3,229.6,29.7,TRAIL_SL,2703,2728
short,A,2026-03-30 11:55:00+05:30,2026-03-30 12:00:00+05:30,22484.0,22506.986787162878,22506.986787162878,22506.986787162878,False,-22.99,3.7,76.6,STOP_LOSS,2732,2733
short,B,2026-04-02 09:35:00+05:30,2026-04-02 12:30:00+05:30,22251.44921875,22301.67890951602,22301.67890951602,22301.67890951602,False,-50.23,68.15,68.0,STOP_LOSS,2854,2889
long,B,2026-04-06 12:50:00+05:30,2026-04-07 09:15:00+05:30,22775.25,22949.19921875,22722.757271423143,22949.19921875,True,173.95,222.4,54.8,TRAIL_SL,2968,3000
short,B,2026-04-07 09:40:00+05:30,2026-04-07 09:55:00+05:30,22801.80078125,22846.611179521296,22846.611179521296,22846.611179521296,False,-44.81,0.0,90.85,STOP_LOSS,3005,3008
long,B,2026-04-08 09:35:00+05:30,2026-04-08 11:30:00+05:30,23913.900390625,23976.30078125,23801.671402578577,23976.30078125,True,62.4,100.1,44.8,TRAIL_SL,3079,3102
long,A,2026-04-08 11:40:00+05:30,2026-04-08 11:55:00+05:30,23980.55078125,23946.48134853405,23946.48134853405,23946.48134853405,False,-34.07,18.05,57.05,STOP_LOSS,3104,3107
short,B,2026-04-09 09:40:00+05:30,2026-04-09 10:15:00+05:30,23861.150390625,23858.150390625,23897.505076161062,23858.150390625,True,3.0,100.6,21.9,TRAIL_SL,3155,3162
short,A,2026-04-09 10:20:00+05:30,2026-04-09 12:05:00+05:30,23864.80078125,23896.410048641865,23896.410048641865,23896.410048641865,False,-31.61,61.15,40.6,STOP_LOSS,3163,3184
long,B,2026-04-10 09:45:00+05:30,2026-04-10 14:15:00+05:30,23974.349609375,23997.349609375,23920.9844879379,23997.349609375,True,23.0,73.5,58.05,TRAIL_SL,3231,3285
short,B,2026-04-13 09:35:00+05:30,2026-04-13 09:50:00+05:30,23592.849609375,23639.138645385516,23639.138645385516,23639.138645385516,False,-46.29,4.5,64.2,STOP_LOSS,3304,3307
long,B,2026-04-15 09:40:00+05:30,2026-04-15 10:50:00+05:30,24207.349609375,24236.55078125,24134.433103342522,24236.55078125,True,29.2,65.8,20.65,TRAIL_SL,3380,3394
long,A,2026-04-16 09:35:00+05:30,2026-04-16 09:55:00+05:30,24326.80078125,24279.32202328103,24279.32202328103,24279.32202328103,False,-47.48,10.25,55.65,STOP_LOSS,3454,3458
long,B,2026-04-21 09:45:00+05:30,2026-04-21 11:30:00+05:30,24502.19921875,24535.0,24464.760893052044,24535.0,True,32.8,62.3,17.2,TRAIL_SL,3611,3632
long,C,2026-04-21 12:15:00+05:30,2026-04-21 15:00:00+05:30,24561.25,24559.44921875,24508.650390625,24508.650390625,False,-1.8,38.9,38.65,EOD_EXIT,3641,3674
short,B,2026-04-22 09:35:00+05:30,2026-04-22 15:00:00+05:30,24438.69921875,24385.099609375,24465.623456790683,24465.623456790683,False,53.6,85.0,19.55,EOD_EXIT,3684,3749
short,A,2026-04-23 09:45:00+05:30,2026-04-23 10:00:00+05:30,24271.650390625,24303.62127376974,24303.62127376974,24303.62127376974,False,-31.97,5.6,34.85,STOP_LOSS,3761,3764
short,B,2026-04-24 09:35:00+05:30,2026-04-24 14:25:00+05:30,24002.44921875,23863.55078125,24028.443586694237,23863.55078125,True,138.9,187.1,3.95,TRAIL_SL,3834,3892
short,A,2026-04-28 12:40:00+05:30,2026-04-28 15:00:00+05:30,24029.849609375,24002.150390625,24046.117921925008,24046.117921925008,False,27.7,68.25,19.15,EOD_EXIT,4021,4049
long,B,2026-04-29 10:00:00+05:30,2026-04-29 11:25:00+05:30,24201.30078125,24265.55078125,24162.657303100546,24265.55078125,True,64.25,97.55,4.65,TRAIL_SL,4064,4081
long,A,2026-04-29 11:30:00+05:30,2026-04-29 13:25:00+05:30,24278.150390625,24309.55078125,24252.44366925578,24309.55078125,True,31.4,56.05,14.5,TRAIL_SL,4082,4105
short,B,2026-04-30 09:35:00+05:30,2026-04-30 10:35:00+05:30,23908.94921875,23850.75,23943.557664770095,23850.75,True,58.2,108.1,47.5,TRAIL_SL,4134,4146
long,A,2026-05-04 10:00:00+05:30,2026-05-04 10:20:00+05:30,24223.94921875,24173.74851332341,24173.74851332341,24173.74851332341,False,-50.2,22.3,81.15,STOP_LOSS,4214,4218
short,A,2026-05-05 09:45:00+05:30,2026-05-05 12:10:00+05:30,24036.05078125,23931.25,24068.422383847847,23931.25,True,104.8,152.55,19.4,TRAIL_SL,4286,4315
