direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,2015-11-09 10:00:00+05:30,2015-11-09 10:10:00+05:30,7847.85,7862.154519334658,7862.154519334658,7862.154519334658,False,-14.3,1.8,20.55,STOP_LOSS,10,14.3045,-0.2,-0.191417,0.0006,-10.53,-2.8057,3.9901,-0.2808,0.0,-3.0865,-3.0865,-200.62,50.0,-250.62,-1.4011,65
short,2015-11-09 10:20:00+05:30,2015-11-09 11:05:00+05:30,7856.7,7868.664378799352,7868.664378799352,7868.664378799352,False,-11.96,3.35,15.95,STOP_LOSS,45,11.9644,-0.2,-0.192821,0.0006,-10.53,-2.3542,2.7914,-1.2636,0.0,-3.6178,-3.6178,-235.16,50.0,-285.16,-6.2592,65
short,2015-11-13 09:40:00+05:30,2015-11-13 11:35:00+05:30,7763.85,7738.74645666151,7772.424637747821,7738.74645666151,True,25.1,32.15,10.9,TRAIL_SL,115,-25.1035,-0.2,-0.215062,0.0006,-10.53,5.1909,12.2887,-3.2292,0.0,1.9617,1.9617,127.51,50.0,77.51,-15.7728,65
short,2015-11-16 10:10:00+05:30,2015-11-16 10:15:00+05:30,7728.9,7735.1295458641525,7735.1295458641525,7735.1295458641525,False,-6.23,1.05,8.6,STOP_LOSS,5,6.2295,-0.2,-0.196262,0.0006,-10.53,-1.2354,0.7567,-0.1404,0.0,-1.3758,-1.3758,-89.43,50.0,-139.43,-0.7013,65
short,2015-11-16 10:20:00+05:30,2015-11-16 10:35:00+05:30,7729.1,7735.675414449075,7735.675414449075,7735.675414449075,False,-6.58,0.15,7.9,STOP_LOSS,15,6.5754,-0.2,-0.196055,0.0006,-10.53,-1.3034,0.8431,-0.4212,0.0,-1.7246,-1.7246,-112.1,50.0,-162.1,-2.0994,65
long,2015-11-17 09:30:00+05:30,2015-11-17 11:15:00+05:30,7826.7,7812.361892144413,7812.361892144413,7812.361892144413,False,-14.34,16.15,18.65,STOP_LOSS,105,-14.3381,0.2,0.191397,0.0006,-10.53,-2.8121,4.0088,-2.9484,0.0,-5.7605,-5.7605,-374.43,50.0,-424.43,14.4297,65
long,2015-11-17 14:40:00+05:30,2015-11-17 14:50:00+05:30,7844.6,7833.411571281107,7833.411571281107,7833.411571281107,False,-11.19,1.1,13.9,STOP_LOSS,10,-11.1884,0.2,0.193287,0.0006,-10.53,-2.2039,2.441,-0.2808,0.0,-2.4847,-2.4847,-161.5,50.0,-211.5,1.4011,65
short,2015-11-18 10:25:00+05:30,2015-11-18 11:30:00+05:30,7822.85,7828.38349243078,7828.38349243078,7828.38349243078,False,-5.53,7.9,7.15,STOP_LOSS,65,5.5335,-0.2,-0.19668,0.0006,-10.53,-1.0984,0.5971,-1.8252,0.0,-2.9236,-2.9236,-190.04,50.0,-240.04,-9.0044,65
short,2015-11-18 14:40:00+05:30,2015-11-18 15:15:00+05:30,7746.1,7733.1,7754.409987832959,7754.409987832959,False,13.0,20.75,0.0,SOFT_EOD_EXIT,35,-13.0,-0.2,-0.2078,0.0006,-10.53,2.6456,3.2955,-0.9828,0.0,1.6628,1.6628,108.08,50.0,58.08,-4.8783,65
short,2015-11-23 09:30:00+05:30,2015-11-23 11:50:00+05:30,7862.35,7871.995112820398,7871.995112820398,7871.995112820398,False,-9.65,15.4,14.35,STOP_LOSS,140,9.6451,-0.2,-0.194213,0.0006,-10.53,-1.9039,1.814,-3.9312,0.0,-5.8351,-5.8351,-379.28,50.0,-429.28,-19.1083,65
short,2015-11-24 14:50:00+05:30,2015-11-24 15:15:00+05:30,7837.5,7830.15,7844.943897419366,7844.943897419366,False,7.35,10.05,5.15,SOFT_EOD_EXIT,25,-7.35,-0.2,-0.20441,0.0006,-10.53,1.4846,1.0534,-0.702,0.0,0.7826,0.7826,50.87,50.0,0.87,-3.4917,65
