direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
short,B,2025-01-06 09:40:00+05:30,2025-01-06 10:00:00+05:30,23947.75,23981.914358238046,23981.914358238046,23981.914358238046,False,-34.16,36.3,70.15,STOP_LOSS,1505,1509
short,B,2025-01-06 11:40:00+05:30,2025-01-06 12:00:00+05:30,23708.85,23634.024684675172,23740.644436037037,23634.024684675172,True,74.83,107.35,0.3,TRAIL_SL,1529,1533
short,A,2025-01-06 12:05:00+05:30,2025-01-06 12:10:00+05:30,23683.45,23719.302787278357,23719.302787278357,23719.302787278357,False,-35.85,0.3,44.15,STOP_LOSS,1534,1535
short,A,2025-01-08 11:35:00+05:30,2025-01-08 13:40:00+05:30,23579.55,23600.868630820903,23600.868630820903,23600.868630820903,False,-21.32,83.4,57.2,STOP_LOSS,1678,1703
short,A,2025-01-09 09:50:00+05:30,2025-01-09 11:10:00+05:30,23625.0,23560.990395291592,23644.645435787585,23560.990395291592,True,64.01,87.05,27.85,TRAIL_SL,1732,1748
short,B,2025-01-10 09:45:00+05:30,2025-01-10 10:45:00+05:30,23419.3,23448.748535885836,23448.748535885836,23448.748535885836,False,-29.45,74.95,47.75,STOP_LOSS,1806,1818
short,B,2025-01-13 09:35:00+05:30,2025-01-13 10:00:00+05:30,23219.75,23257.94659775299,23257.94659775299,23257.94659775299,False,-38.2,23.3,54.85,STOP_LOSS,1879,1884
short,A,2025-01-13 10:00:00+05:30,2025-01-13 10:25:00+05:30,23261.45,23296.92166096395,23296.92166096395,23296.92166096395,False,-35.47,22.25,62.0,STOP_LOSS,1884,1889
long,A,2025-01-16 09:50:00+05:30,2025-01-16 15:00:00+05:30,23306.9,23310.6,23274.344796288653,23274.344796288653,False,3.7,34.0,34.85,SOFT_EOD_EXIT,2107,2169
short,A,2025-01-17 09:55:00+05:30,2025-01-17 10:25:00+05:30,23226.0,23252.713379248027,23252.713379248027,23252.713379248027,False,-26.71,28.5,38.15,STOP_LOSS,2183,2189
short,A,2025-01-17 11:35:00+05:30,2025-01-17 12:00:00+05:30,23156.1,23174.764992334483,23174.764992334483,23174.764992334483,False,-18.66,20.45,62.1,STOP_LOSS,2203,2208
long,B,2025-01-20 11:35:00+05:30,2025-01-20 12:30:00+05:30,23366.4,23337.12140526841,23337.12140526841,23337.12140526841,False,-29.28,10.1,39.95,STOP_LOSS,2278,2289
short,B,2025-01-21 10:05:00+05:30,2025-01-21 10:35:00+05:30,23263.5,23168.54694070981,23290.72782874524,23168.54694070981,True,94.95,135.8,10.85,TRAIL_SL,2335,2341
short,A,2025-01-21 11:30:00+05:30,2025-01-21 11:40:00+05:30,23164.05,23189.020622696404,23189.020622696404,23189.020622696404,False,-24.97,11.6,41.1,STOP_LOSS,2352,2354
short,B,2025-01-21 12:30:00+05:30,2025-01-21 12:55:00+05:30,23144.8,23190.001603152134,23190.001603152134,23190.001603152134,False,-45.2,18.45,126.2,STOP_LOSS,2364,2369
short,A,2025-01-24 10:20:00+05:30,2025-01-24 10:35:00+05:30,23156.9,23183.321773323176,23183.321773323176,23183.321773323176,False,-26.42,0.0,70.2,STOP_LOSS,2563,2566
long,B,2025-01-24 11:40:00+05:30,2025-01-24 12:30:00+05:30,23321.75,23287.98929855743,23287.98929855743,23287.98929855743,False,-33.76,25.55,48.5,STOP_LOSS,2579,2589
short,B,2025-01-27 10:15:00+05:30,2025-01-27 12:00:00+05:30,22900.5,22929.64845318898,22929.64845318898,22929.64845318898,False,-29.15,73.65,39.45,STOP_LOSS,2637,2658
long,A,2025-01-29 10:15:00+05:30,2025-01-29 11:10:00+05:30,23055.4,23106.49690141993,23019.59322374714,23106.49690141993,True,51.1,70.45,0.0,TRAIL_SL,2787,2798
long,B,2025-01-30 10:05:00+05:30,2025-01-30 10:55:00+05:30,23281.05,23248.546723021074,23248.546723021074,23248.546723021074,False,-32.5,30.1,45.15,STOP_LOSS,2860,2870
long,B,2025-01-31 09:45:00+05:30,2025-01-31 10:05:00+05:30,23377.8,23341.228272606735,23341.228272606735,23341.228272606735,False,-36.57,25.95,42.55,STOP_LOSS,2931,2935
long,A,2025-01-31 10:10:00+05:30,2025-01-31 11:05:00+05:30,23340.2,23426.480875863013,23299.343542124738,23426.480875863013,True,86.28,104.35,8.5,TRAIL_SL,2936,2947
long,A,2025-02-01 10:05:00+05:30,2025-02-01 11:35:00+05:30,23558.15,23609.014537449166,23520.246006174926,23609.014537449166,True,50.86,74.3,27.35,TRAIL_SL,3010,3028
short,B,2025-02-01 12:05:00+05:30,2025-02-01 12:15:00+05:30,23429.65,23482.9845292564,23482.9845292564,23482.9845292564,False,-53.33,26.2,137.7,STOP_LOSS,3034,3036
short,A,2025-02-01 12:15:00+05:30,2025-02-01 13:20:00+05:30,23493.1,23387.490079788317,23555.689824197027,23387.490079788317,True,105.61,174.8,55.9,TRAIL_SL,3036,3049
short,B,2025-02-03 09:35:00+05:30,2025-02-03 11:15:00+05:30,23288.45,23326.777949481755,23326.777949481755,23326.777949481755,False,-38.33,66.45,50.15,STOP_LOSS,3079,3099
long,B,2025-02-04 09:45:00+05:30,2025-02-04 10:10:00+05:30,23569.45,23529.21441443773,23529.21441443773,23529.21441443773,False,-40.24,5.9,65.35,STOP_LOSS,3156,3161
long,A,2025-02-04 10:15:00+05:30,2025-02-04 10:35:00+05:30,23525.35,23489.11336775267,23489.11336775267,23489.11336775267,False,-36.24,9.15,102.2,STOP_LOSS,3162,3166
long,A,2025-02-05 09:50:00+05:30,2025-02-05 11:15:00+05:30,23759.5,23726.87669032651,23726.87669032651,23726.87669032651,False,-32.62,26.8,45.0,STOP_LOSS,3232,3249
short,A,2025-02-06 10:20:00+05:30,2025-02-06 13:55:00+05:30,23647.75,23576.653044696355,23666.057360967283,23576.653044696355,True,71.1,85.5,9.15,TRAIL_SL,3313,3356
short,B,2025-02-10 09:35:00+05:30,2025-02-10 12:20:00+05:30,23427.7,23353.250411528123,23455.745664866554,23353.250411528123,True,74.45,90.0,33.7,TRAIL_SL,3454,3487
