datetime,Open,High,Low,Close,Volume
17-07-2025 11:45,25197.05,25199.3,25182.25,25189.85,0
17-07-2025 12:00,25189.65,25193.45,25181.15,25184.3,0
17-07-2025 12:15,25184.05,25186.65,25173.95,25180.1,0
17-07-2025 12:30,25180.05,25210.45,25168.45,25193.55,0
17-07-2025 12:45,25193.75,25193.75,25174.45,25179.7,0
17-07-2025 13:00,25179.95,25182.75,25163.65,25167.1,0
17-07-2025 13:15,25168.05,25174.35,25155.55,25166.5,0
17-07-2025 13:30,25166.7,25172.75,25160.4,25168.85,0
17-07-2025 13:45,25168.6,25194.5,25160.7,25177.45,0
17-07-2025 14:00,25177.4,25182,25149.25,25156,0
17-07-2025 14:15,25156.15,25163.05,25133,25133,0
17-07-2025 14:30,25134.15,25151.75,25124.3,25138.45,0
17-07-2025 14:45,25138.6,25139.3,25107.25,25115.65,0
17-07-2025 15:00,25117.55,25122.8,25101,25120.6,0
17-07-2025 15:15,25120.1,25121.9,25106.25,25109.5,0
18-07-2025 09:15,25108.55,25144.6,25061.1,25070.2,0
18-07-2025 09:30,25071.85,25086.15,25043.15,25044.3,0
18-07-2025 09:45,25043.7,25050.2,25026.2,25039.8,0
18-07-2025 10:00,25040.3,25042.25,25004.65,25013.3,0
18-07-2025 10:15,25013.15,25013.15,24938.15,24952.55,0
18-07-2025 10:30,24951.45,24962.6,24931.4,24942.35,0
18-07-2025 10:45,24941.95,24953.05,24930,24930,0
18-07-2025 11:00,24930.7,24961.45,24925.25,24958.4,0
18-07-2025 11:15,24958.65,24976.55,24954.15,24971.3,0
18-07-2025 11:30,24971.65,24972.9,24920.45,24922,0
18-07-2025 11:45,24921.25,24963.55,24921.25,24951.35,0
18-07-2025 12:00,24951.7,24953.95,24932.15,24933.4,0
18-07-2025 12:15,24933.1,24943.05,24918.65,24939.4,0
18-07-2025 12:30,24939.4,24951.8,24929.3,24936.3,0
18-07-2025 12:45,24936.3,24952.7,24931.05,24951.55,0
18-07-2025 13:00,24951.55,24991.2,24941.05,24949.25,0
18-07-2025 13:15,24949.8,24951.7,24935.55,24946.8,0
18-07-2025 13:30,24946.1,24971.35,24941.8,24968.55,0
18-07-2025 13:45,24969.45,24994.25,24949.3,24960,0
18-07-2025 14:00,24960.1,24972.4,24958.3,24969.35,0
18-07-2025 14:15,24968.4,24988.15,24958.1,24986.5,0
18-07-2025 14:30,24985.65,25005.2,24963.5,24964.15,0
18-07-2025 14:45,24964.55,24974.8,24952.95,24973.1,0
18-07-2025 15:00,24971.85,24980.9,24962.7,24971,0
18-07-2025 15:15,24971,24978.4,24963.3,24967.45,0
21-07-2025 09:15,24999,25037.2,24894.55,24901.55,0
21-07-2025 09:30,24901.9,24944.5,24882.3,24938.7,0
21-07-2025 09:45,24939.8,25049.1,24930.95,25035.25,0
21-07-2025 10:00,25033.95,25071.05,25024.2,25052.55,0
21-07-2025 10:15,25052.3,25054.95,25035.45,25044.45,0
21-07-2025 10:30,25045.15,25063.4,25043.2,25051.4,0
21-07-2025 10:45,25051.05,25066.4,25036.5,25060.2,0
21-07-2025 11:00,25059.95,25079.5,25054.95,25065.7,0
21-07-2025 11:15,25065.55,25071.3,25052.3,25053.55,0
21-07-2025 11:30,25053.25,25066.75,25000.1,25019.1,0
21-07-2025 11:45,25019.25,25043.6,25009.55,25042.75,0
21-07-2025 12:00,25043.4,25047.5,25033.2,25044.75,0
21-07-2025 12:15,25044.45,25050.7,25028.1,25029,0
21-07-2025 12:30,25029.35,25047.15,25010,25045.8,0
21-07-2025 12:45,25045.9,25056.75,25039.45,25039.75,0
21-07-2025 13:00,25040.7,25059.2,25039.3,25046.75,0
21-07-2025 13:15,25047.55,25051.95,25037.35,25044.4,0
21-07-2025 13:30,25044.35,25053.1,25040.5,25041.85,0
21-07-2025 13:45,25042.7,25044.8,24988.1,25012.35,0
21-07-2025 14:00,25012.4,25034.95,25006.6,25024.9,0
21-07-2025 14:15,25024.9,25039.95,25022.35,25032.75,0
21-07-2025 14:30,25032.85,25036,25000,25030.7,0
21-07-2025 14:45,25030.55,25050.95,25029.55,25050.45,0
21-07-2025 15:00,25050.85,25091.15,25050.85,25088.1,0
