entry_type,direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
breakout,short,2026-02-12 09:35:00+05:30,2026-02-12 09:50:00+05:30,25842.25,25858.579294005758,25858.579294005758,25858.579294005758,False,-16.33,13.85,23.7,STOP_LOSS,15,16.3293,-0.2,-0.190202,0.0006,-5.53,-3.1939,5.1996,-0.2212,0.0,-3.4151,-3.4151,-221.98,50.0,-271.98,-1.1042,65
pullback,short,2026-02-12 09:55:00+05:30,2026-02-12 10:10:00+05:30,25865.099609375,25880.712240263983,25880.712240263983,25880.712240263983,False,-15.61,15.2,15.8,STOP_LOSS,15,15.6126,-0.2,-0.190632,0.0006,-5.53,-3.0567,4.7532,-0.2212,0.0,-3.2779,-3.2779,-213.06,50.0,-263.06,-1.1042,65
breakout,short,2026-02-13 09:30:00+05:30,2026-02-13 12:20:00+05:30,25547.69921875,25580.021972107763,25580.021972107763,25580.021972107763,False,-32.32,34.15,36.6,STOP_LOSS,170,32.3228,-0.2,-0.180606,0.0006,-5.53,-6.1825,20.3728,-2.5069,0.0,-8.6894,-8.6894,-564.81,50.0,-614.81,-12.3075,65
breakout,short,2026-02-13 14:45:00+05:30,2026-02-13 15:10:00+05:30,25508.150390625,25477.19921875,25521.559808124035,25521.559808124035,False,30.95,35.0,20.15,SOFT_EOD_EXIT,25,-30.9512,-0.2,-0.218571,0.0006,-5.53,6.4489,18.6805,-0.3687,0.0,6.0802,6.0802,395.21,50.0,345.21,-1.8383,65
breakout,short,2026-02-16 09:50:00+05:30,2026-02-16 09:55:00+05:30,25466.599609375,25491.635351670866,25491.635351670866,25491.635351670866,False,-25.04,2.9,31.35,STOP_LOSS,5,25.0357,-0.2,-0.184979,0.0006,-5.53,-4.8379,12.2224,-0.0737,0.0,-4.9116,-4.9116,-319.26,50.0,-369.26,-0.3685,65
breakout,long,2026-02-17 10:15:00+05:30,2026-02-17 10:45:00+05:30,25690.69921875,25660.33957830632,25660.33957830632,25660.33957830632,False,-30.36,39.4,47.95,STOP_LOSS,30,-30.3596,0.2,0.181784,0.0006,-5.53,-5.8231,17.9733,-0.4424,0.0,-6.2655,-6.2655,-407.26,50.0,-457.26,2.2047,65
breakout,long,2026-02-17 11:55:00+05:30,2026-02-17 13:55:00+05:30,25729.44921875,25706.29835107401,25706.29835107401,25706.29835107401,False,-23.15,34.45,32.7,STOP_LOSS,120,-23.1509,0.2,0.186109,0.0006,-5.53,-4.4855,10.4513,-1.7696,0.0,-6.2551,-6.2551,-406.58,50.0,-456.58,8.7336,65
breakout,short,2026-02-18 10:40:00+05:30,2026-02-18 10:45:00+05:30,25660.75,25677.25321591595,25677.25321591595,25677.25321591595,False,-16.5,1.9,22.85,STOP_LOSS,5,16.5032,-0.2,-0.190098,0.0006,-5.53,-3.2271,5.3109,-0.0737,0.0,-3.3008,-3.3008,-214.55,50.0,-264.55,-0.3685,65
breakout,short,2026-02-19 11:15:00+05:30,2026-02-19 12:20:00+05:30,25705.650390625,25615.78149316432,25721.626191143114,25615.78149316432,True,89.87,118.8,4.1,TRAIL_SL,65,-89.8689,-0.2,-0.253921,0.0006,-5.53,20.1544,157.4902,-0.9585,0.0,19.1959,19.1959,1247.73,50.0,1197.73,-4.7587,65
breakout,short,2026-02-19 12:35:00+05:30,2026-02-19 13:05:00+05:30,25593.80078125,25611.463768991856,25611.463768991856,25611.463768991856,False,-17.66,25.6,36.0,STOP_LOSS,30,17.663,-0.2,-0.189402,0.0006,-5.53,-3.4484,6.0836,-0.4424,0.0,-3.8908,-3.8908,-252.9,50.0,-302.9,-2.2047,65
