direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
long,2020-10-21 10:20:00+05:30,2020-10-21 11:15:00+05:30,11999.55,11986.611511695459,11986.611511695459,-12.94,STOP_LOSS
long,2020-10-21 11:25:00+05:30,2020-10-21 13:15:00+05:30,11995.9,11984.412617932941,11984.412617932941,-11.49,STOP_LOSS
short,2020-10-21 14:40:00+05:30,2020-10-21 14:45:00+05:30,11833.65,11854.780011950543,11854.780011950543,-21.13,STOP_LOSS
short,2020-10-22 14:45:00+05:30,2020-10-22 15:00:00+05:30,11865.25,11882.1675999246,11882.1675999246,-16.92,STOP_LOSS
long,2020-10-23 10:15:00+05:30,2020-10-23 11:05:00+05:30,11945.0,11926.473273590887,11926.473273590887,-18.53,STOP_LOSS
short,2020-10-26 09:55:00+05:30,2020-10-26 11:25:00+05:30,11907.2,11861.496413188157,11861.496413188157,45.7,TRAIL_SL
short,2020-10-26 13:45:00+05:30,2020-10-26 14:20:00+05:30,11778.05,11734.619123653254,11734.619123653254,43.43,TRAIL_SL
short,2020-10-26 14:20:00+05:30,2020-10-26 14:55:00+05:30,11741.4,11755.879454985554,11755.879454985554,-14.48,STOP_LOSS
long,2020-10-28 09:45:00+05:30,2020-10-28 10:00:00+05:30,11901.8,11877.460044817806,11877.460044817806,-24.34,STOP_LOSS
short,2020-10-28 13:15:00+05:30,2020-10-28 14:05:00+05:30,11762.7,11704.190472462504,11704.190472462504,58.51,TRAIL_SL
short,2020-10-28 14:15:00+05:30,2020-10-28 14:25:00+05:30,11721.55,11738.855014074119,11738.855014074119,-17.31,STOP_LOSS
short,2020-10-29 09:45:00+05:30,2020-10-29 09:55:00+05:30,11675.3,11695.01561054318,11695.01561054318,-19.72,STOP_LOSS
short,2020-10-29 10:40:00+05:30,2020-10-29 11:50:00+05:30,11679.95,11694.594663063968,11694.594663063968,-14.64,STOP_LOSS
short,2020-10-29 13:50:00+05:30,2020-10-29 15:15:00+05:30,11663.75,11670.9,11682.678923076635,-7.15,EOD_EXIT
short,2020-10-30 12:30:00+05:30,2020-10-30 13:30:00+05:30,11578.2,11594.62764298006,11594.62764298006,-16.43,STOP_LOSS
short,2020-11-02 10:00:00+05:30,2020-11-02 10:35:00+05:30,11592.9,11612.295354928476,11612.295354928476,-19.4,STOP_LOSS
long,2020-11-03 10:00:00+05:30,2020-11-03 12:55:00+05:30,11764.6,11824.046328481683,11824.046328481683,59.45,TRAIL_SL
long,2020-11-04 12:15:00+05:30,2020-11-04 13:00:00+05:30,11889.9,11869.99706912656,11869.99706912656,-19.9,STOP_LOSS
short,2020-11-04 13:45:00+05:30,2020-11-04 13:55:00+05:30,11826.5,11848.85639478406,11848.85639478406,-22.36,STOP_LOSS
long,2020-11-05 10:30:00+05:30,2020-11-05 15:15:00+05:30,12068.0,12121.2,12045.085925054453,53.2,EOD_EXIT
long,2020-11-06 10:30:00+05:30,2020-11-06 10:50:00+05:30,12185.15,12169.66844931362,12169.66844931362,-15.48,STOP_LOSS
long,2020-11-06 13:20:00+05:30,2020-11-06 14:25:00+05:30,12237.8,12223.372674656777,12223.372674656777,-14.43,STOP_LOSS
long,2020-11-09 10:30:00+05:30,2020-11-09 10:45:00+05:30,12422.7,12402.57856387831,12402.57856387831,-20.12,STOP_LOSS
long,2020-11-09 11:10:00+05:30,2020-11-09 11:20:00+05:30,12405.7,12385.917307487423,12385.917307487423,-19.78,STOP_LOSS
long,2020-11-09 14:50:00+05:30,2020-11-09 15:15:00+05:30,12439.5,12465.55,12426.388722634812,26.05,EOD_EXIT
long,2020-11-10 10:25:00+05:30,2020-11-10 13:15:00+05:30,12534.2,12606.570087787335,12606.570087787335,72.37,TRAIL_SL
long,2020-11-11 10:00:00+05:30,2020-11-11 11:00:00+05:30,12732.3,12704.906169325184,12704.906169325184,-27.39,STOP_LOSS
short,2020-11-12 13:45:00+05:30,2020-11-12 13:55:00+05:30,12655.5,12670.67313123144,12670.67313123144,-15.17,STOP_LOSS
long,2020-11-13 11:15:00+05:30,2020-11-13 11:25:00+05:30,12694.3,12673.0231866974,12673.0231866974,-21.28,STOP_LOSS
long,2020-11-17 10:20:00+05:30,2020-11-17 10:35:00+05:30,12852.05,12828.907211542362,12828.907211542362,-23.14,STOP_LOSS
long,2020-11-17 13:50:00+05:30,2020-11-17 14:35:00+05:30,12856.1,12842.229166247698,12842.229166247698,-13.87,STOP_LOSS
long,2020-11-19 09:45:00+05:30,2020-11-19 13:30:00+05:30,12922.95,12897.356284338392,12897.356284338392,-25.59,STOP_LOSS
short,2020-11-19 14:40:00+05:30,2020-11-20 09:15:00+05:30,12830.1,12772.807482209386,12772.807482209386,57.29,TRAIL_SL
short,2020-11-20 11:40:00+05:30,2020-11-20 11:55:00+05:30,12756.55,12771.132522521524,12771.132522521524,-14.58,STOP_LOSS
