direction,entry_time,exit_time,entry_price,exit_price,peak_profit,pnl,exit_reason
short,2023-07-25 13:15:00+05:30,2023-07-25 13:45:00+05:30,19652.95,19664.95,31.5,-12.0,ST_TRAIL
long,2023-07-26 09:55:00+05:30,2023-07-26 12:55:00+05:30,19796.15,19793.7,23.35,-2.45,ST_TRAIL
long,2023-07-26 14:25:00+05:30,2023-07-26 14:35:00+05:30,19822.85,19791.5,0.0,-31.35,ST_TRAIL
short,2023-07-27 11:10:00+05:30,2023-07-27 15:10:00+05:30,19780.6,19664.7,174.3,115.9,ST_TRAIL
short,2023-07-28 11:20:00+05:30,2023-07-28 12:40:00+05:30,19601.2,19604.85,26.5,-3.65,ST_TRAIL
short,2023-07-28 13:45:00+05:30,2023-07-28 14:10:00+05:30,19570.75,19597.25,0.0,-26.5,ST_TRAIL
long,2023-07-31 09:55:00+05:30,2023-07-31 12:30:00+05:30,19657.05,19684.65,58.25,27.6,ST_TRAIL
long,2023-07-31 13:25:00+05:30,2023-07-31 15:15:00+05:30,19708.8,19755.65,52.8,46.85,EOD_EXIT
short,2023-08-01 14:00:00+05:30,2023-08-01 15:15:00+05:30,19736.1,19732.9,10.7,3.2,EOD_EXIT
short,2023-08-02 09:40:00+05:30,2023-08-02 12:45:00+05:30,19620.8,19555.6,99.25,65.2,ST_TRAIL
short,2023-08-02 13:25:00+05:30,2023-08-02 14:35:00+05:30,19478.45,19465.85,49.65,12.6,ST_TRAIL
short,2023-08-03 13:00:00+05:30,2023-08-03 14:35:00+05:30,19348.7,19345.25,42.8,3.45,ST_TRAIL
long,2023-08-04 10:20:00+05:30,2023-08-04 12:35:00+05:30,19479.4,19496.5,52.5,17.1,ST_TRAIL
long,2023-08-07 10:15:00+05:30,2023-08-07 10:55:00+05:30,19574.15,19542.05,8.4,-32.1,ST_TRAIL
long,2023-08-07 13:30:00+05:30,2023-08-07 14:05:00+05:30,19598.2,19588.15,16.85,-10.05,ST_TRAIL
short,2023-08-08 11:10:00+05:30,2023-08-08 11:50:00+05:30,19560.85,19565.35,24.8,-4.5,ST_TRAIL
short,2023-08-09 09:40:00+05:30,2023-08-09 12:35:00+05:30,19505.25,19503.45,27.55,1.8,ST_TRAIL
long,2023-08-09 14:00:00+05:30,2023-08-09 15:15:00+05:30,19526.55,19641.05,114.5,114.5,EOD_EXIT
short,2023-08-10 10:25:00+05:30,2023-08-10 10:50:00+05:30,19539.6,19550.55,33.7,-10.95,ST_TRAIL
short,2023-08-10 13:30:00+05:30,2023-08-10 14:30:00+05:30,19553.7,19555.95,39.9,-2.25,ST_TRAIL
short,2023-08-11 09:45:00+05:30,2023-08-11 13:00:00+05:30,19470.4,19477.85,32.55,-7.45,ST_TRAIL
long,2023-08-14 13:45:00+05:30,2023-08-14 15:15:00+05:30,19401.8,19427.8,56.65,26.0,EOD_EXIT
long,2023-08-16 13:15:00+05:30,2023-08-16 15:15:00+05:30,19436.0,19471.5,40.05,35.5,EOD_EXIT
short,2023-08-17 09:40:00+05:30,2023-08-17 13:40:00+05:30,19405.35,19360.4,75.4,44.95,ST_TRAIL
short,2023-08-18 09:50:00+05:30,2023-08-18 11:30:00+05:30,19274.55,19297.1,13.1,-22.55,ST_TRAIL
long,2023-08-18 14:10:00+05:30,2023-08-18 15:00:00+05:30,19353.8,19325.1,15.75,-28.7,ST_TRAIL
long,2023-08-21 10:35:00+05:30,2023-08-21 14:10:00+05:30,19350.5,19389.4,61.75,38.9,ST_TRAIL
long,2023-08-22 09:40:00+05:30,2023-08-22 09:50:00+05:30,19439.9,19389.25,0.0,-50.65,STOP_LOSS
short,2023-08-23 09:55:00+05:30,2023-08-23 11:05:00+05:30,19383.3,19411.05,9.95,-27.75,ST_TRAIL
long,2023-08-23 11:30:00+05:30,2023-08-23 15:05:00+05:30,19422.65,19443.55,42.45,20.9,ST_TRAIL
long,2023-08-24 09:40:00+05:30,2023-08-24 10:25:00+05:30,19567.45,19540.95,14.35,-26.5,ST_TRAIL
short,2023-08-24 10:45:00+05:30,2023-08-24 15:15:00+05:30,19525.95,19375.15,150.8,150.8,EOD_EXIT
short,2023-08-25 10:30:00+05:30,2023-08-25 11:20:00+05:30,19237.75,19308.05,0.0,-70.3,STOP_LOSS
short,2023-08-25 14:20:00+05:30,2023-08-25 15:00:00+05:30,19265.45,19291.85,4.7,-26.4,ST_TRAIL
long,2023-08-28 11:15:00+05:30,2023-08-28 14:10:00+05:30,19324.25,19335.85,39.0,11.6,ST_TRAIL
short,2023-08-29 14:25:00+05:30,2023-08-29 15:05:00+05:30,19319.8,19343.15,5.8,-23.35,ST_TRAIL
long,2023-08-30 10:00:00+05:30,2023-08-30 12:45:00+05:30,19429.95,19433.0,19.15,3.05,ST_TRAIL
short,2023-08-30 14:15:00+05:30,2023-08-30 15:15:00+05:30,19410.75,19335.55,75.2,75.2,EOD_EXIT
long,2023-08-31 09:50:00+05:30,2023-08-31 10:05:00+05:30,19386.9,19345.0,0.0,-41.9,ST_TRAIL
short,2023-08-31 10:35:00+05:30,2023-08-31 11:30:00+05:30,19320.6,19338.7,10.8,-18.1,ST_TRAIL
short,2023-08-31 13:20:00+05:30,2023-08-31 13:35:00+05:30,19281.05,19308.55,0.0,-27.5,ST_TRAIL
short,2023-08-31 14:15:00+05:30,2023-08-31 15:10:00+05:30,19278.3,19280.55,30.8,-2.25,ST_TRAIL
long,2023-09-01 09:40:00+05:30,2023-09-01 15:15:00+05:30,19317.6,19426.85,135.7,109.25,EOD_EXIT
short,2023-09-04 10:40:00+05:30,2023-09-04 11:10:00+05:30,19443.95,19473.05,2.25,-29.1,ST_TRAIL
long,2023-09-05 09:45:00+05:30,2023-09-05 12:15:00+05:30,19577.2,19563.5,5.1,-13.7,ST_TRAIL
long,2023-09-06 14:30:00+05:30,2023-09-06 15:15:00+05:30,19540.0,19623.45,83.45,83.45,EOD_EXIT
long,2023-09-07 10:45:00+05:30,2023-09-07 11:30:00+05:30,19612.0,19614.5,26.7,2.5,ST_TRAIL
long,2023-09-07 13:25:00+05:30,2023-09-07 15:15:00+05:30,19635.95,19721.7,95.3,85.75,EOD_EXIT
long,2023-09-08 11:30:00+05:30,2023-09-08 13:10:00+05:30,19793.65,19810.4,40.75,16.75,ST_TRAIL
long,2023-09-11 10:00:00+05:30,2023-09-11 15:15:00+05:30,19928.65,20006.85,78.2,78.2,EOD_EXIT
