direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
short,B,2023-09-25 09:30:00+05:30,2023-09-25 11:30:00+05:30,19672.9,19618.55,19694.026180448465,19616.084963621015,True,54.35,70.85,15.35,64.85,TRAIL_SL,120,2H:00M,-54.35,-0.2,-0.24348,0.0008,0.0,6.0,,,0.0,11.9334,0.0,88.6177,0.0,0.0,11.9334,11.9334,895.01,50.0,845.01,0.0
short,B,2023-09-25 11:30:00+05:30,2023-09-25 11:50:00+05:30,19618.55,19640.4,19628.739543922766,19628.739543922766,False,-21.85,5.5,24.35,1.45,STOP_LOSS,20,0H:20M,21.85,-0.2,-0.18252,0.0008,0.0,6.0,,,0.0,-4.1981,0.0,14.3227,0.0,0.0,-4.1981,-4.1981,-314.86,50.0,-364.86,0.0
long,C,2023-09-25 12:30:00+05:30,2023-09-25 13:45:00+05:30,19706.15,19680.05,19686.170415603185,19686.170415603185,False,-26.1,28.0,27.95,23.05,STOP_LOSS,75,1H:15M,-26.1,0.2,0.17912,0.0008,0.0,6.0,,,0.0,-4.9748,0.0,20.4363,0.0,0.0,-4.9748,-4.9748,-373.11,50.0,-423.11,0.0
short,C,2023-09-27 09:30:00+05:30,2023-09-27 09:50:00+05:30,19604.95,19619.2,19617.665635159745,19617.665635159745,False,-14.25,2.35,19.2,0.0,STOP_LOSS,20,0H:20M,14.25,-0.2,-0.1886,0.0008,0.0,6.0,,,0.0,-2.7769,0.0,6.0919,0.0,0.0,-2.7769,-2.7769,-208.27,50.0,-258.27,0.0
short,C,2023-09-27 10:30:00+05:30,2023-09-27 10:40:00+05:30,19560.2,19576.05,19570.831511133427,19570.831511133427,False,-15.85,6.2,16.1,0.0,STOP_LOSS,10,0H:10M,15.85,-0.2,-0.18732,0.0008,0.0,6.0,,,0.0,-3.0796,0.0,7.5367,0.0,0.0,-3.0796,-3.0796,-230.97,50.0,-280.97,0.0
long,C,2023-09-27 11:40:00+05:30,2023-09-27 13:35:00+05:30,19650.3,19692.95,19633.478210688696,19704.9362162836,True,42.65,64.85,18.7,62.4,TRAIL_SL,115,1H:55M,42.65,0.2,0.23412,0.0008,0.0,6.0,,,0.0,9.1848,0.0,54.5707,0.0,0.0,9.1848,9.1848,688.86,50.0,638.86,0.0
long,A,2023-09-28 09:30:00+05:30,2023-09-28 09:35:00+05:30,19731.9,19704.65,19709.885785225175,19709.885785225175,False,-27.25,2.6,32.35,0.0,STOP_LOSS,5,0H:05M,-27.25,0.2,0.1782,0.0008,0.0,6.0,,,0.0,-5.1827,0.0,22.2769,0.0,0.0,-5.1827,-5.1827,-388.7,50.0,-438.7,0.0
short,C,2023-09-28 11:00:00+05:30,2023-09-28 12:15:00+05:30,19685.45,19631.9,19698.989720729536,19630.853997110324,True,53.55,65.45,13.65,64.3,TRAIL_SL,75,1H:15M,-53.55,-0.2,-0.24284,0.0008,0.0,6.0,,,0.0,11.7423,0.0,86.0281,0.0,0.0,11.7423,11.7423,880.68,50.0,830.68,0.0
short,B,2023-09-28 12:15:00+05:30,2023-09-28 13:40:00+05:30,19631.9,19582.8,19643.01997506469,19571.888149883947,True,49.1,74.15,2.05,68.55,TRAIL_SL,85,1H:25M,-49.1,-0.2,-0.23928,0.0008,0.0,6.0,,,0.0,10.6879,0.0,72.3243,0.0,0.0,10.6879,10.6879,801.59,50.0,751.59,0.0
long,C,2023-09-29 10:00:00+05:30,2023-09-29 12:15:00+05:30,19599.4,19665.55,19577.62280228349,19666.55963774242,True,66.15,79.9,25.15,75.0,TRAIL_SL,135,2H:15M,66.15,0.2,0.25292,0.0008,0.0,6.0,,,0.0,14.8053,0.0,131.2747,0.0,0.0,14.8053,14.8053,1110.4,50.0,1060.4,0.0
