direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,A,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25681.962149454237,25681.962149454237,25681.962149454237,False,-35.89,15.85,62.7,STOP_LOSS,911,917
short,B,2026-02-24 09:35:00+05:30,2026-02-24 13:55:00+05:30,25508.150390625,25385.19921875,25533.136592912113,25385.19921875,True,122.95,180.15,27.45,TRAIL_SL,979,1031
short,B,2026-02-25 12:45:00+05:30,2026-02-25 14:15:00+05:30,25467.849609375,25487.77836733339,25487.77836733339,25487.77836733339,False,-19.93,39.45,27.9,STOP_LOSS,1092,1110
short,C,2026-02-27 10:10:00+05:30,2026-02-27 15:00:00+05:30,25322.599609375,25251.269100009762,25370.15328228516,25319.80078125,True,71.33,142.95,29.45,PATH_C_TARGET,1211,1269
short,B,2026-03-02 09:35:00+05:30,2026-03-02 14:05:00+05:30,24949.80078125,24692.849609375,25009.561165929255,24692.849609375,True,256.95,345.85,38.95,TRAIL_SL,1279,1333
short,C,2026-03-04 09:35:00+05:30,2026-03-04 14:10:00+05:30,24346.849609375,24514.86043795134,24514.86043795134,24514.86043795134,False,-168.01,40.25,209.6,STOP_LOSS,1354,1409
short,B,2026-03-09 09:40:00+05:30,2026-03-09 10:05:00+05:30,23738.69921875,23802.92980326977,23802.92980326977,23802.92980326977,False,-64.23,26.85,74.4,STOP_LOSS,1580,1585
short,C,2026-03-09 10:05:00+05:30,2026-03-09 14:40:00+05:30,23809.349609375,23936.72739597011,23936.72739597011,23936.72739597011,False,-127.38,64.5,146.95,STOP_LOSS,1585,1640
short,B,2026-03-11 09:50:00+05:30,2026-03-11 14:25:00+05:30,24148.55078125,23965.900390625,24177.954166758853,23965.900390625,True,182.65,256.35,22.0,TRAIL_SL,1732,1787
short,B,2026-03-12 09:35:00+05:30,2026-03-12 09:45:00+05:30,23572.849609375,23611.8383650353,23611.8383650353,23611.8383650353,False,-38.99,3.45,51.7,STOP_LOSS,1804,1806
short,A,2026-03-12 09:50:00+05:30,2026-03-12 09:55:00+05:30,23656.75,23691.3586473652,23691.3586473652,23691.3586473652,False,-34.61,13.0,39.55,STOP_LOSS,1807,1808
short,C,2026-03-13 09:35:00+05:30,2026-03-13 10:55:00+05:30,23454.75,23365.0,23558.23784006244,23365.0,True,89.75,148.25,7.25,TRAIL_SL,1879,1895
short,B,2026-03-13 12:20:00+05:30,2026-03-13 14:10:00+05:30,23269.55078125,23173.400390625,23291.57751642834,23173.400390625,True,96.15,156.25,21.7,TRAIL_SL,1912,1934
short,B,2026-03-16 10:20:00+05:30,2026-03-16 11:05:00+05:30,23056.69921875,23055.69921875,23091.878822063107,23055.69921875,True,1.0,101.15,22.3,TRAIL_SL,1963,1972
long,B,2026-03-17 13:15:00+05:30,2026-03-17 13:35:00+05:30,23554.5,23515.768858890846,23515.768858890846,23515.768858890846,False,-38.73,36.9,41.95,STOP_LOSS,2073,2077
long,A,2026-03-18 09:55:00+05:30,2026-03-18 12:05:00+05:30,23691.25,23782.0,23638.554462478278,23782.0,True,90.75,143.85,50.55,TRAIL_SL,2108,2134
