direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason,holding_mins,holding_time,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_vix_entry,opt_vix_exit,opt_vix_chg,opt_delta_effect,opt_gamma_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_pnl_total,opt_breakeven_dS
short,B,2026-01-21 09:30:00+05:30,2026-01-21 10:55:00+05:30,25242.849609375,24993.599609375,25279.53002924053,24992.688995147408,True,249.25,322.65,8.45,272.65,TRAIL_SL,85,1H:25M,-249.25,-0.2,-0.3994,0.0008,-10.0,6.0,13.78,13.78,0.0,72.2152,0.0,1863.7669,-2.2667,0.0,69.9485,69.9485,5246.14,50.0,5196.14,-11.0875
short,C,2026-01-21 10:55:00+05:30,2026-01-21 11:10:00+05:30,24993.599609375,25054.75,25026.603572868025,25026.603572868025,False,-61.15,18.6,76.5,0.0,STOP_LOSS,15,0H:15M,61.1504,-0.2,-0.15108,0.0008,-10.0,6.0,13.78,13.78,0.0,-10.8839,0.0,112.1811,-0.4,0.0,-11.2839,-11.2839,-846.29,50.0,-896.29,-1.9921
short,B,2026-01-21 11:25:00+05:30,2026-01-21 11:50:00+05:30,25029.150390625,25059.900390625,25059.778083219426,25059.778083219426,False,-30.75,4.7,51.1,0.0,STOP_LOSS,25,0H:25M,30.75,-0.2,-0.1754,0.0008,-10.0,6.0,13.78,13.78,0.0,-5.8096,0.0,28.3669,-0.6667,0.0,-6.4763,-6.4763,-485.72,50.0,-535.72,-3.3114
long,C,2026-01-21 12:30:00+05:30,2026-01-21 13:05:00+05:30,25185.44921875,25260.0,25133.943916711803,25263.74240140412,True,74.55,115.2,1.85,101.7,TRAIL_SL,35,0H:35M,74.5508,0.2,0.259641,0.0008,-10.0,6.0,13.78,13.78,0.0,16.911,0.0,166.7346,-0.9333,0.0,15.9776,15.9776,1198.32,50.0,1148.32,4.6239
long,C,2026-01-22 09:30:00+05:30,2026-01-22 10:15:00+05:30,25406.650390625,25341.30078125,25351.169952779746,25351.169952779746,False,-65.35,28.2,65.35,14.35,STOP_LOSS,45,0H:45M,-65.3496,0.2,0.14772,0.0008,-10.0,6.0,13.35,13.35,0.0,-11.5325,0.0,128.1171,-1.2,0.0,-12.7325,-12.7325,-954.94,50.0,-1004.94,5.9297
long,A,2026-01-22 10:20:00+05:30,2026-01-22 10:25:00+05:30,25347.80078125,25291.900390625,25302.83469619788,25302.83469619788,False,-55.9,1.0,57.05,0.0,STOP_LOSS,5,0H:05M,-55.9004,0.2,0.15528,0.0008,-10.0,6.0,13.35,13.35,0.0,-10.0551,0.0,93.7456,-0.1333,0.0,-10.1885,-10.1885,-764.13,50.0,-814.13,0.6658
short,C,2026-01-22 11:45:00+05:30,2026-01-22 12:15:00+05:30,25211.80078125,25239.650390625,25237.396806065382,25237.396806065382,False,-27.85,28.5,35.4,23.6,STOP_LOSS,30,0H:30M,27.8496,-0.2,-0.17772,0.0008,-10.0,6.0,13.35,13.35,0.0,-5.2907,0.0,23.268,-0.8,0.0,-6.0907,-6.0907,-456.8,50.0,-506.8,-3.9685
short,C,2026-01-23 11:45:00+05:30,2026-01-23 11:55:00+05:30,25193.349609375,25215.19921875,25210.47908392401,25210.47908392401,False,-21.85,1.75,31.3,0.0,STOP_LOSS,10,0H:10M,21.8496,-0.2,-0.18252,0.0008,-10.0,6.0,14.19,14.19,0.0,-4.1981,0.0,14.3222,-0.2667,0.0,-4.4647,-4.4647,-334.85,50.0,-384.85,-1.3298
short,B,2026-01-23 12:15:00+05:30,2026-01-23 14:05:00+05:30,25219.599609375,25067.69921875,25237.93739559649,25066.28960350301,True,151.9,175.45,24.2,170.05,TRAIL_SL,110,1H:50M,-151.9004,-0.2,-0.32152,0.0008,-10.0,6.0,14.19,14.19,0.0,38.6866,0.0,692.2119,-2.9333,0.0,35.7533,35.7533,2681.5,50.0,2631.5,-14.26
short,B,2026-01-27 09:30:00+05:30,2026-01-27 09:35:00+05:30,24989.5,25091.5,25023.867554169152,25023.867554169152,False,-102.0,11.7,105.65,0.0,STOP_LOSS,5,0H:05M,102.0,-0.2,-0.1184,0.0008,-10.0,6.0,14.45,14.45,0.0,-16.6546,0.0,312.12,-0.1333,0.0,-16.7879,-16.7879,-1259.09,50.0,-1309.09,-0.6658
