direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,adx_tier,be_triggered,micro_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-03-12 12:05:00+05:30,2025-03-12 12:30:00+05:30,22360.95,22378.188703005166,22378.188703005166,22378.188703005166,3,False,False,-17.24,14.6,23.85,STOP_LOSS
short,2025-03-13 12:10:00+05:30,2025-03-13 14:40:00+05:30,22443.2,22403.427512066504,22460.660117945674,22403.427512066504,2,True,True,39.77,48.55,18.85,TRAIL_SL
long,2025-03-18 10:55:00+05:30,2025-03-18 12:35:00+05:30,22750.8,22724.95668740048,22724.95668740048,22724.95668740048,3,False,False,-25.84,30.6,42.85,STOP_LOSS
long,2025-03-19 11:15:00+05:30,2025-03-19 12:50:00+05:30,22896.95,22926.68295798212,22874.111593910256,22926.68295798212,2,True,True,29.73,38.4,21.5,TRAIL_SL
long,2025-03-20 09:45:00+05:30,2025-03-20 10:05:00+05:30,23021.25,23006.584753521245,22986.053408450985,23006.584753521245,2,False,True,-14.67,24.4,38.75,MICRO_SL
long,2025-03-24 13:40:00+05:30,2025-03-24 14:25:00+05:30,23650.45,23698.336114931186,23632.577542793362,23698.336114931186,2,True,True,47.89,58.3,21.9,TRAIL_SL
long,2025-03-24 14:30:00+05:30,2025-03-24 15:00:00+05:30,23674.95,23654.187265880722,23654.187265880722,23654.187265880722,2,False,False,-20.76,8.4,45.0,STOP_LOSS
long,2025-03-25 10:15:00+05:30,2025-03-25 10:35:00+05:30,23798.2,23777.972241378862,23749.653379309268,23777.972241378862,2,False,True,-20.23,28.15,92.3,MICRO_SL
short,2025-03-26 14:20:00+05:30,2025-03-26 14:55:00+05:30,23545.75,23466.994986488393,23562.52510968268,23466.994986488393,2,True,True,78.76,94.05,6.75,TRAIL_SL
short,2025-03-28 13:20:00+05:30,2025-03-28 13:55:00+05:30,23503.5,23467.748984756123,23521.74331595618,23467.748984756123,2,True,True,35.75,49.85,19.0,TRAIL_SL
short,2025-03-28 14:05:00+05:30,2025-03-28 14:10:00+05:30,23476.75,23495.308885003407,23495.308885003407,23495.308885003407,2,False,False,-18.56,5.85,28.5,STOP_LOSS
short,2025-04-01 12:10:00+05:30,2025-04-01 12:15:00+05:30,23209.9,23229.65521419377,23229.65521419377,23229.65521419377,3,False,False,-19.76,0.65,36.75,STOP_LOSS
short,2025-04-01 13:40:00+05:30,2025-04-01 15:05:00+05:30,23171.1,23178.0,23188.26611115808,23188.26611115808,3,False,False,-6.9,33.65,15.7,EOD_KILL_LOSER
short,2025-04-03 10:00:00+05:30,2025-04-03 10:10:00+05:30,23250.1,23274.716839549757,23274.716839549757,23274.716839549757,2,False,False,-24.62,3.6,32.35,STOP_LOSS
short,2025-04-04 10:35:00+05:30,2025-04-04 10:55:00+05:30,22961.6,22989.890559462485,22989.890559462485,22989.890559462485,3,False,False,-28.29,12.2,37.55,STOP_LOSS
short,2025-04-04 14:10:00+05:30,2025-04-04 15:00:00+05:30,22909.6,22868.633693725347,22926.833141209514,22868.633693725347,2,True,True,40.97,52.15,9.2,TRAIL_SL
short,2025-04-07 10:25:00+05:30,2025-04-07 10:40:00+05:30,22005.15,21974.04083470753,22067.368330584944,21974.04083470753,3,True,False,31.11,69.4,16.5,TRAIL_SL
short,2025-04-09 10:00:00+05:30,2025-04-09 10:15:00+05:30,22430.3,22391.652093174507,22473.435362161716,22391.652093174507,2,True,True,38.65,73.7,25.15,TRAIL_SL
short,2025-04-09 10:15:00+05:30,2025-04-09 10:45:00+05:30,22415.85,22391.072255721738,22459.693100939046,22391.072255721738,2,True,True,24.78,47.1,7.15,TRAIL_SL
short,2025-04-09 10:45:00+05:30,2025-04-09 11:10:00+05:30,22402.7,22369.70443799663,22430.602819652173,22369.70443799663,2,True,True,33.0,49.45,7.5,TRAIL_SL
long,2025-04-15 10:50:00+05:30,2025-04-15 12:50:00+05:30,23304.3,23338.51763788005,23282.082418557,23338.51763788005,3,True,False,34.22,46.05,12.65,TRAIL_SL
long,2025-04-21 10:15:00+05:30,2025-04-21 11:30:00+05:30,24021.0,24109.825235900957,23980.473750089965,24109.825235900957,3,True,False,88.83,111.75,11.7,TRAIL_SL
long,2025-04-23 14:45:00+05:30,2025-04-23 15:15:00+05:30,24299.1,24332.59736916209,24280.17230848662,24332.59736916209,2,True,True,33.5,41.15,0.0,TRAIL_SL
short,2025-04-25 11:35:00+05:30,2025-04-25 12:05:00+05:30,23922.25,23884.241735245,23951.710996244503,23884.241735245,3,True,False,38.01,74.4,5.0,TRAIL_SL
short,2025-04-25 12:05:00+05:30,2025-04-25 12:10:00+05:30,23894.65,23917.394834528128,23917.394834528128,23917.394834528128,3,False,False,-22.74,3.35,52.0,STOP_LOSS
long,2025-04-28 13:00:00+05:30,2025-04-28 14:20:00+05:30,24330.9,24306.777680000403,24306.777680000403,24306.777680000403,3,False,False,-24.12,22.8,26.2,STOP_LOSS
short,2025-05-02 12:45:00+05:30,2025-05-02 13:15:00+05:30,24295.85,24318.851920536796,24318.851920536796,24318.851920536796,3,False,False,-23.0,29.65,56.0,STOP_LOSS
long,2025-05-05 10:50:00+05:30,2025-05-05 11:35:00+05:30,24493.5,24461.924589140577,24461.924589140577,24461.924589140577,2,False,False,-31.58,3.05,46.9,STOP_LOSS
short,2025-05-08 14:20:00+05:30,2025-05-08 14:55:00+05:30,24337.55,24260.876677896176,24352.679662312923,24260.876677896176,2,True,True,76.67,93.55,19.75,TRAIL_SL
long,2025-05-12 10:55:00+05:30,2025-05-12 11:55:00+05:30,24678.2,24723.11491065824,24642.115179078213,24723.11491065824,3,True,False,44.91,67.55,0.0,TRAIL_SL
short,2025-05-13 13:40:00+05:30,2025-05-13 14:20:00+05:30,24614.5,24576.665796511366,24637.820024016455,24576.665796511366,2,True,True,37.83,53.8,3.35,TRAIL_SL
short,2025-05-13 14:20:00+05:30,2025-05-13 15:25:00+05:30,24595.9,24583.007243191598,24616.88127955398,24583.007243191598,3,True,False,12.89,48.4,40.95,TRAIL_SL
short,2025-05-14 13:00:00+05:30,2025-05-14 13:25:00+05:30,24619.55,24643.63081184901,24643.63081184901,24643.63081184901,2,False,False,-24.08,15.2,41.4,STOP_LOSS
short,2025-05-15 10:10:00+05:30,2025-05-15 10:30:00+05:30,24561.7,24581.51660487188,24591.424907307817,24581.51660487188,2,False,True,-19.82,28.5,65.55,MICRO_SL
long,2025-05-15 11:05:00+05:30,2025-05-15 11:10:00+05:30,24693.8,24622.269023592868,24622.269023592868,24622.269023592868,2,False,False,-71.53,1.35,93.2,STOP_LOSS
short,2025-05-20 10:30:00+05:30,2025-05-20 10:35:00+05:30,24895.3,24911.920111180905,24911.920111180905,24911.920111180905,2,False,False,-16.62,1.55,36.7,STOP_LOSS
short,2025-05-21 12:40:00+05:30,2025-05-21 12:55:00+05:30,24780.3,24758.869652666777,24807.95536968046,24758.869652666777,2,True,True,21.43,44.0,5.25,TRAIL_SL
short,2025-05-22 10:15:00+05:30,2025-05-22 11:40:00+05:30,24609.7,24556.304220211583,24637.732379482433,24556.304220211583,2,True,True,53.4,66.65,18.9,TRAIL_SL
short,2025-05-22 14:35:00+05:30,2025-05-22 14:40:00+05:30,24500.8,24518.247671529356,24518.247671529356,24518.247671529356,3,False,False,-17.45,0.0,76.75,STOP_LOSS
short,2025-05-27 10:30:00+05:30,2025-05-27 11:00:00+05:30,24775.4,24799.557080469112,24799.557080469112,24799.557080469112,3,False,False,-24.16,21.15,97.6,STOP_LOSS
short,2025-06-02 09:55:00+05:30,2025-06-02 10:25:00+05:30,24598.05,24585.32625344515,24623.4974931097,24585.32625344515,3,True,False,12.72,43.85,8.75,TRAIL_SL
short,2025-06-02 10:25:00+05:30,2025-06-02 10:35:00+05:30,24588.3,24609.451030243672,24609.451030243672,24609.451030243672,3,False,False,-21.15,6.05,40.15,STOP_LOSS
long,2025-06-06 12:10:00+05:30,2025-06-06 12:35:00+05:30,24998.85,24974.705694412834,24974.705694412834,24974.705694412834,3,False,False,-24.14,0.7,31.8,STOP_LOSS
long,2025-06-09 10:55:00+05:30,2025-06-09 11:25:00+05:30,25128.95,25111.47485278195,25111.47485278195,25111.47485278195,3,False,False,-17.48,13.75,19.7,STOP_LOSS
short,2025-06-11 14:30:00+05:30,2025-06-11 15:00:00+05:30,25141.15,25146.4,25153.214977197702,25153.214977197702,2,False,False,-5.25,10.55,16.45,EOD_KILL_LOSER
short,2025-06-12 10:25:00+05:30,2025-06-12 10:45:00+05:30,25103.8,25057.04773108828,25121.444386416104,25057.04773108828,2,True,True,46.75,62.25,11.95,TRAIL_SL
short,2025-06-13 10:10:00+05:30,2025-06-13 10:45:00+05:30,24644.15,24674.369426385627,24674.369426385627,24674.369426385627,3,False,False,-30.22,18.95,43.9,STOP_LOSS
long,2025-06-16 13:45:00+05:30,2025-06-16 15:10:00+05:30,24942.0,24950.7,24924.109923540844,24924.109923540844,3,False,False,8.7,25.1,14.35,EOD_KILL_NON_TRAIL
short,2025-06-17 10:25:00+05:30,2025-06-17 10:30:00+05:30,24872.25,24888.491787045776,24888.491787045776,24888.491787045776,2,False,False,-16.24,3.95,19.55,STOP_LOSS
