direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,B,2023-03-31 09:50:00+05:30,2023-03-31 10:30:00+05:30,17279.45,17248.922967681523,17248.922967681523,17248.922967681523,17357.43,False,-30.53,2.4,39.5,STOP_LOSS,7807,7815,TP=17357 RR=2.55 space=93pts opp_str=62 no_align
short,B,2023-05-19 10:00:00+05:30,2023-05-19 10:25:00+05:30,18072.7,18088.818126552902,18088.818126552902,18088.818126552902,17829.52,False,-16.12,5.9,19.9,STOP_LOSS,10134,10139,TP=17830 RR=15.09 space=258pts opp_str=60 SUP@18102(str=78)
short,B,2023-05-31 09:35:00+05:30,2023-05-31 13:35:00+05:30,18557.2,18511.95,18570.72106076837,18511.95,18400.68,True,45.25,73.15,18.9,TRAIL_SL,10729,10777,TP=18401 RR=11.58 space=172pts opp_str=65 no_align
short,B,2023-06-08 12:00:00+05:30,2023-06-08 12:20:00+05:30,18691.55,18701.561041221572,18701.561041221572,18701.561041221572,18596.48,False,-10.01,3.15,14.95,STOP_LOSS,11208,11212,TP=18596 RR=9.50 space=110pts opp_str=68 no_align
long,B,2023-07-03 09:45:00+05:30,2023-07-03 11:05:00+05:30,19312.0,19287.1141884724,19287.1141884724,19287.1141884724,19386.65743458281,False,-24.89,24.1,28.1,STOP_LOSS,12381,12397,TP=19387 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-07-13 09:35:00+05:30,2023-07-13 11:05:00+05:30,19496.85,19538.5,19468.862608352774,19538.5,19580.81217494167,True,41.65,69.8,2.1,TRAIL_SL,12979,12997,TP=19581 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@19469(str=59)
short,B,2023-07-21 10:20:00+05:30,2023-07-21 11:40:00+05:30,19809.4,19786.25,19831.315702645607,19786.25,19581.82,False,23.15,46.3,9.7,STOP_LOSS,13438,13454,TP=19582 RR=10.38 space=243pts opp_str=62 no_align
short,B,2023-07-21 14:50:00+05:30,2023-07-21 15:00:00+05:30,19721.65,19719.8,19735.178588732568,19735.178588732568,19581.82,False,1.85,21.65,12.85,EOD_EXIT,13492,13494,TP=19582 RR=10.34 space=155pts opp_str=62 no_align
short,B,2023-07-24 11:55:00+05:30,2023-07-24 12:00:00+05:30,19671.25,19684.06642727314,19684.06642727314,19684.06642727314,19581.82,False,-12.82,0.0,29.0,STOP_LOSS,13532,13533,TP=19582 RR=6.98 space=104pts opp_str=59 SUP@19695(str=67)
short,B,2023-08-18 09:50:00+05:30,2023-08-18 11:30:00+05:30,19274.55,19288.64900743722,19288.64900743722,19288.64900743722,18810.1,False,-14.1,20.95,23.95,STOP_LOSS,14857,14877,TP=18810 RR=32.94 space=479pts opp_str=58 SUP@19298(str=54)
long,B,2023-09-11 09:35:00+05:30,2023-09-11 13:40:00+05:30,19910.35,19937.5,19884.295984044205,19937.5,19988.51204786738,True,27.15,51.25,25.65,TRAIL_SL,16054,16103,TP=19989 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2023-09-14 09:35:00+05:30,2023-09-14 10:00:00+05:30,20161.3,20136.59074659698,20136.59074659698,20136.59074659698,20235.42776020906,False,-24.71,6.35,43.75,STOP_LOSS,16279,16284,TP=20235 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
