direction,entry_tier,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,peak_profit_pts,exit_reason
short,C,2025-12-30 09:30:00+05:30,2025-12-30 09:35:00+05:30,25905.349609375,25924.150390625,25915.43498327796,25915.43498327796,False,-18.8,1.75,19.75,0.0,STOP_LOSS
long,C,2025-12-30 10:30:00+05:30,2025-12-30 10:35:00+05:30,25973.69921875,25952.55078125,25959.13428989831,25959.13428989831,False,-21.15,0.35,22.8,0.0,STOP_LOSS
long,C,2025-12-31 09:30:00+05:30,2025-12-31 09:40:00+05:30,26004.80078125,25973.25,25983.38744231371,25983.38744231371,False,-31.55,8.6,32.75,2.1,STOP_LOSS
long,C,2025-12-31 10:30:00+05:30,2025-12-31 13:15:00+05:30,26030.94921875,26147.25,26016.15216956843,26148.44339169159,True,116.3,125.75,8.6,124.4,TRAIL_SL
long,C,2026-01-01 09:45:00+05:30,2026-01-01 09:55:00+05:30,26188.55078125,26157.19921875,26168.106762620322,26168.106762620322,False,-31.35,8.45,35.05,0.55,STOP_LOSS
long,C,2026-01-02 09:30:00+05:30,2026-01-02 09:55:00+05:30,26197.650390625,26254.599609375,26178.99978376568,26255.15128652384,True,56.95,73.15,1.75,70.35,TRAIL_SL
long,A,2026-01-02 10:05:00+05:30,2026-01-02 11:55:00+05:30,26239.69921875,26280.0,26223.392253365837,26287.512122866487,True,40.3,57.4,4.65,54.9,TRAIL_SL
long,C,2026-01-05 10:15:00+05:30,2026-01-05 11:20:00+05:30,26357.30078125,26320.75,26335.450681847957,26335.450681847957,False,-36.55,15.55,36.9,10.4,STOP_LOSS
short,C,2026-01-06 09:30:00+05:30,2026-01-06 09:55:00+05:30,26215.05078125,26256.80078125,26229.186441763788,26229.186441763788,False,-41.75,24.4,43.95,15.7,STOP_LOSS
short,C,2026-01-06 11:15:00+05:30,2026-01-06 11:25:00+05:30,26156.599609375,26173.05078125,26167.584850057534,26167.584850057534,False,-16.45,15.55,16.65,1.75,STOP_LOSS
short,C,2026-01-07 09:40:00+05:30,2026-01-07 09:55:00+05:30,26108.19921875,26138.80078125,26121.774895058497,26121.774895058497,False,-30.6,10.95,30.85,0.15,STOP_LOSS
short,C,2026-01-08 10:00:00+05:30,2026-01-08 11:35:00+05:30,26066.05078125,25982.400390625,26078.198939236463,25977.76386689393,True,83.65,103.5,6.0,97.6,TRAIL_SL
short,C,2026-01-09 11:10:00+05:30,2026-01-09 12:50:00+05:30,25799.0,25692.900390625,25811.39952505716,25686.25686030022,True,106.1,133.75,22.65,125.55,TRAIL_SL
short,C,2026-01-12 09:30:00+05:30,2026-01-12 09:45:00+05:30,25568.75,25595.44921875,25586.49545276549,25586.49545276549,False,-26.7,25.1,28.35,11.15,STOP_LOSS
short,B,2026-01-12 10:00:00+05:30,2026-01-12 11:45:00+05:30,25589.69921875,25490.849609375,25608.53018537486,25489.972838210546,True,98.85,116.3,8.5,112.8,TRAIL_SL
short,C,2026-01-13 09:55:00+05:30,2026-01-13 10:00:00+05:30,25709.849609375,25749.599609375,25729.416129015004,25729.416129015004,False,-39.75,4.65,41.95,0.0,STOP_LOSS
long,C,2026-01-14 09:30:00+05:30,2026-01-14 09:45:00+05:30,25734.19921875,25689.44921875,25701.344515863493,25701.344515863493,False,-44.75,12.4,59.8,0.0,STOP_LOSS
long,C,2026-01-14 11:25:00+05:30,2026-01-14 12:10:00+05:30,25770.400390625,25743.349609375,25746.54100009162,25746.54100009162,False,-27.05,20.9,28.2,16.55,STOP_LOSS
long,C,2026-01-16 09:30:00+05:30,2026-01-16 10:40:00+05:30,25708.25,25843.69921875,25681.202200010663,25849.307620545136,True,135.45,164.6,24.45,157.0,TRAIL_SL
long,C,2026-01-16 10:40:00+05:30,2026-01-16 11:10:00+05:30,25843.69921875,25812.44921875,25820.374230467914,25820.374230467914,False,-31.25,20.2,41.85,12.0,STOP_LOSS
long,A,2026-01-16 11:25:00+05:30,2026-01-16 11:45:00+05:30,25813.25,25789.099609375,25795.02986108329,25795.02986108329,False,-24.15,17.4,29.9,0.0,STOP_LOSS
short,C,2026-01-19 09:30:00+05:30,2026-01-19 10:55:00+05:30,25588.0,25547.69921875,25607.228746590525,25520.43147705476,True,40.3,93.05,8.3,84.2,TRAIL_SL
short,C,2026-01-19 10:55:00+05:30,2026-01-19 13:35:00+05:30,25547.69921875,25560.30078125,25559.97470538434,25559.97470538434,False,-12.6,39.0,17.55,32.35,STOP_LOSS
short,C,2026-01-20 09:30:00+05:30,2026-01-20 12:45:00+05:30,25495.55078125,25423.05078125,25509.97703230164,25419.422924767892,True,72.5,89.95,8.45,85.8,TRAIL_SL
short,B,2026-01-21 09:30:00+05:30,2026-01-21 10:55:00+05:30,25242.849609375,24993.599609375,25267.303222618684,24992.688995147408,True,249.25,322.65,8.45,272.65,TRAIL_SL
short,C,2026-01-21 10:55:00+05:30,2026-01-21 11:10:00+05:30,24993.599609375,25054.75,25015.602251703684,25015.602251703684,False,-61.15,18.6,76.5,0.0,STOP_LOSS
short,B,2026-01-21 11:25:00+05:30,2026-01-21 11:45:00+05:30,25029.150390625,25050.25,25049.568852354616,25049.568852354616,False,-21.1,4.7,42.05,0.0,STOP_LOSS
long,C,2026-01-22 09:30:00+05:30,2026-01-22 10:05:00+05:30,25406.650390625,25366.150390625,25367.35174715128,25367.35174715128,False,-40.5,28.2,43.35,14.35,STOP_LOSS
short,C,2026-01-22 10:55:00+05:30,2026-01-22 11:20:00+05:30,25221.69921875,25253.69921875,25241.145774593857,25241.145774593857,False,-32.0,19.25,43.55,7.25,STOP_LOSS
long,C,2026-01-23 09:30:00+05:30,2026-01-23 09:50:00+05:30,25315.400390625,25281.400390625,25281.406198826335,25281.406198826335,False,-34.0,3.85,47.7,0.0,STOP_LOSS
short,B,2026-01-27 09:30:00+05:30,2026-01-27 09:35:00+05:30,24989.5,25091.5,25012.411702779435,25012.411702779435,False,-102.0,11.7,105.65,0.0,STOP_LOSS
long,C,2026-01-27 09:50:00+05:30,2026-01-27 10:40:00+05:30,25137.25,25030.0,25092.024429334884,25092.024429334884,False,-107.25,46.75,117.55,39.35,STOP_LOSS
short,C,2026-01-27 10:50:00+05:30,2026-01-27 11:05:00+05:30,24994.69921875,25019.25,25019.14625607082,25019.14625607082,False,-24.55,15.65,45.1,11.45,STOP_LOSS
long,C,2026-01-28 09:30:00+05:30,2026-01-28 10:05:00+05:30,25309.30078125,25252.099609375,25272.019574937305,25272.019574937305,False,-57.2,10.55,64.85,1.8,STOP_LOSS
long,A,2026-01-28 10:15:00+05:30,2026-01-28 11:35:00+05:30,25260.400390625,25309.400390625,25230.319879383238,25324.729290432875,True,49.0,90.65,26.35,77.5,TRAIL_SL
short,C,2026-01-29 09:40:00+05:30,2026-01-29 09:45:00+05:30,25210.69921875,25229.099609375,25228.43337913429,25228.43337913429,False,-18.4,6.3,22.1,0.0,STOP_LOSS
short,C,2026-01-29 10:40:00+05:30,2026-01-29 10:50:00+05:30,25190.0,25224.05078125,25207.438072067675,25207.438072067675,False,-34.05,6.45,37.95,5.15,STOP_LOSS
short,C,2026-01-30 09:30:00+05:30,2026-01-30 09:35:00+05:30,25261.400390625,25290.650390625,25283.405789544442,25283.405789544442,False,-29.25,0.2,47.1,0.0,STOP_LOSS
short,C,2026-01-30 10:30:00+05:30,2026-01-30 13:50:00+05:30,25292.05078125,25329.599609375,25307.260470051264,25307.260470051264,False,-37.55,78.25,46.85,62.25,STOP_LOSS
long,C,2026-02-03 09:30:00+05:30,2026-02-03 10:45:00+05:30,25755.150390625,25763.69921875,25655.05171104627,25780.222600347013,True,8.55,66.5,112.8,58.85,TRAIL_SL
long,A,2026-02-03 10:45:00+05:30,2026-02-03 11:45:00+05:30,25763.69921875,25833.25,25719.994274427117,25836.36971080035,True,69.55,99.45,17.0,94.7,TRAIL_SL
short,C,2026-02-04 09:35:00+05:30,2026-02-04 09:40:00+05:30,25729.75,25788.650390625,25752.272310020762,25752.272310020762,False,-58.9,0.05,61.3,0.0,STOP_LOSS
short,C,2026-02-04 11:15:00+05:30,2026-02-04 11:50:00+05:30,25708.94921875,25721.900390625,25721.01121793618,25721.01121793618,False,-12.95,23.0,16.65,10.9,STOP_LOSS
short,C,2026-02-05 09:30:00+05:30,2026-02-05 12:55:00+05:30,25692.75,25640.80078125,25707.251454575664,25627.13423596345,True,51.95,88.65,14.3,77.7,TRAIL_SL
short,C,2026-02-06 09:30:00+05:30,2026-02-06 11:15:00+05:30,25563.599609375,25578.19921875,25577.300425347323,25577.300425347323,False,-14.6,71.45,17.6,65.35,STOP_LOSS
long,C,2026-02-09 09:30:00+05:30,2026-02-09 11:30:00+05:30,25802.19921875,25848.400390625,25765.88003233551,25854.48805137175,True,46.2,67.85,20.65,62.4,TRAIL_SL
long,C,2026-02-10 09:30:00+05:30,2026-02-10 13:30:00+05:30,25943.75,25922.900390625,25925.050096817486,25925.050096817486,False,-20.85,45.45,34.9,40.4,STOP_LOSS
long,A,2026-02-11 09:30:00+05:30,2026-02-11 09:35:00+05:30,25955.349609375,25933.599609375,25933.869776698844,25933.869776698844,False,-21.75,5.4,22.85,0.0,STOP_LOSS
long,C,2026-02-11 10:40:00+05:30,2026-02-11 11:05:00+05:30,25969.05078125,25942.55078125,25952.102286976766,25952.102286976766,False,-26.5,9.55,30.15,7.5,STOP_LOSS
short,C,2026-02-12 09:30:00+05:30,2026-02-12 09:45:00+05:30,25838.349609375,25854.69921875,25849.514571110198,25849.514571110198,False,-16.35,9.95,24.4,0.0,STOP_LOSS
short,C,2026-02-12 10:30:00+05:30,2026-02-12 14:50:00+05:30,25872.80078125,25775.400390625,25882.072800799826,25772.305442681463,True,97.4,120.4,6.5,113.8,TRAIL_SL
short,C,2026-02-13 09:30:00+05:30,2026-02-13 10:35:00+05:30,25547.69921875,25579.400390625,25569.24772098851,25569.24772098851,False,-31.7,34.15,33.95,21.45,STOP_LOSS
short,C,2026-02-13 10:35:00+05:30,2026-02-13 12:30:00+05:30,25579.400390625,25602.44921875,25591.28677422239,25591.28677422239,False,-23.05,56.6,26.65,49.35,STOP_LOSS
long,C,2026-02-16 10:15:00+05:30,2026-02-16 10:45:00+05:30,25550.150390625,25518.599609375,25523.624225358708,25523.624225358708,False,-31.55,1.65,33.65,0.0,STOP_LOSS
long,C,2026-02-17 10:10:00+05:30,2026-02-17 10:45:00+05:30,25679.25,25656.650390625,25657.836832329685,25657.836832329685,False,-22.6,50.85,36.5,45.15,STOP_LOSS
long,C,2026-02-17 11:25:00+05:30,2026-02-17 12:25:00+05:30,25693.599609375,25733.650390625,25678.33671555511,25737.116116283752,True,40.05,59.95,6.05,53.8,TRAIL_SL
short,C,2026-02-18 10:00:00+05:30,2026-02-18 10:45:00+05:30,25666.44921875,25681.849609375,25680.11109762173,25680.11109762173,False,-15.4,20.55,18.25,5.7,STOP_LOSS
long,C,2026-02-19 09:30:00+05:30,2026-02-19 09:40:00+05:30,25804.30078125,25779.900390625,25783.669795156846,25783.669795156846,False,-24.4,16.9,27.5,0.0,STOP_LOSS
short,C,2026-02-19 10:20:00+05:30,2026-02-19 12:20:00+05:30,25754.05078125,25633.349609375,25766.051434684763,25615.78149316432,True,120.7,167.2,0.9,150.55,TRAIL_SL
short,B,2026-02-20 09:30:00+05:30,2026-02-20 09:45:00+05:30,25466.349609375,25507.900390625,25491.80626149113,25491.80626149113,False,-41.55,16.0,48.4,0.0,STOP_LOSS
long,C,2026-02-20 10:25:00+05:30,2026-02-20 12:35:00+05:30,25550.80078125,25632.75,25518.995097186013,25640.532857289436,True,81.95,112.55,0.0,102.65,TRAIL_SL
long,C,2026-02-23 09:30:00+05:30,2026-02-23 10:25:00+05:30,25740.5,25705.55078125,25706.674799640055,25706.674799640055,False,-34.95,27.75,44.55,0.9,STOP_LOSS
