bar_open,bar_close,direction,signal_type,confidence,entry,stop,target_1,target_2,target_3,exit_price,exit_reason,r_multiple,size,t1_hit,t2_hit
48817,48853,long,failure_test,0.71,24861.15,24861.15,24965.6035,25070.057,25174.5106,25001.45,time_stop,1.343,12.0,True,False
49039,49043,long,pullback,0.62,25055.0,25169.3967,25169.3967,25056.1705,30065.2295,25169.3967,stop,1.0,11.0,True,True
49109,49145,long,pullback,0.58,25239.8,25268.6074,25268.6074,25265.905,30319.265,25318.85,time_stop,2.744,49.0,True,True
49151,49158,long,breakout,0.6,25382.0,25382.0,25408.1665,25441.8959,25475.5823,25382.0,stop,0.0,61.0,True,False
49159,49164,short,failed_breakout,0.65,25379.1,25434.2048,25323.9952,25337.975,25307.15,25434.2048,stop,-1.0,29.0,False,False
49225,49261,long,pullback,0.62,25611.4,25534.5815,25688.2185,25621.209,30745.709,25630.6,time_stop,0.25,20.0,False,False
49262,49266,short,failed_breakout,0.55,25631.3,25661.0225,25601.5775,25620.59,25612.25,25661.0225,stop,-1.0,52.0,False,False
49527,49536,long,pullback,0.63,25503.8,25503.8,25529.7833,25574.5833,30689.9233,25503.8,stop,0.0,57.0,True,False
49702,49705,short,failure_test,0.76,25457.4,25440.6984,25440.6984,25423.9968,25407.2952,25440.6984,stop,1.0,88.0,True,True
49712,49716,long,failure_test,0.78,25466.5,25448.0025,25484.9975,25503.4949,25521.9924,25448.0025,stop,-1.0,84.0,False,False
49827,49836,long,pullback,0.62,25539.0,25500.1421,25577.8579,25547.912,30657.522,25500.1421,stop,-1.0,38.0,False,False
49837,49840,short,failure_test,0.74,25491.35,25536.5869,25446.1131,25400.8762,25355.6393,25536.5869,stop,-1.0,31.0,False,False
49847,49853,long,pullback,0.53,25522.0,25497.8494,25546.1506,25545.507,30655.117,25497.8494,stop,-1.0,55.0,False,False
49859,49869,long,failure_test,0.69,25446.0,25446.0,25489.1654,25532.3309,25575.4963,25446.0,stop,0.0,29.0,True,False
49875,49878,long,failure_test,0.85,25427.0,25400.2703,25453.7297,25480.4594,25507.1891,25400.2703,stop,-1.0,47.0,False,False
49995,50031,short,pb_after_breakout,0.75,25147.4,25466.1803,24828.6197,25138.3272,25133.7907,25086.8,time_stop,0.19,3.0,False,False
50042,50078,short,pullback,0.62,25046.85,25101.8084,24991.8916,25044.3953,20036.0153,25058.8,time_stop,-0.217,22.0,False,False
50114,50127,long,failure_test,0.73,25231.1,25196.2949,25265.9051,25300.7101,25335.5152,25196.2949,stop,-1.0,34.0,False,False
50228,50241,short,failure_test,0.64,25236.9,25236.9,25212.4393,25187.9786,25163.5179,25236.9,stop,0.0,46.0,True,False
50392,50393,short,pullback,0.66,24955.2,24923.706,24923.706,24953.7126,19963.1226,24923.706,stop,1.0,36.0,True,True
50437,50447,long,pullback,0.58,25049.1,24994.6942,25103.5058,25069.5412,30083.7512,24994.6942,stop,-1.0,22.0,False,False
50453,50465,long,pullback,0.62,25037.1,25091.8543,25091.8543,25068.9059,30083.1159,25091.8543,stop,1.0,20.0,True,True
50486,50488,long,failure_test,0.74,25092.05,25062.1017,25121.9983,25151.9467,25181.895,25062.1017,stop,-1.0,39.0,False,False
50551,50561,long,breakout,0.5,25095.15,25125.8961,25125.8961,25097.3755,25100.2818,25100.2818,target_3,0.167,36.0,True,True
50582,50588,long,failure_test,0.67,25185.55,25159.5514,25211.5486,25237.5471,25263.5457,25159.5514,stop,-1.0,44.0,False,False
50589,50591,short,failure_test,0.65,25159.6,25159.6,25143.6299,25127.6599,25111.6898,25159.6,stop,0.0,68.0,True,False
50594,50601,long,failure_test,0.78,25172.7,25187.9371,25187.9371,25203.1741,25218.4112,25218.4112,target_3,3.0,71.0,True,True
50617,50649,short,failure_test,0.85,25204.1,25150.2429,25150.2429,25096.3857,25042.5286,25042.5286,target_3,3.0,23.0,True,True
50650,50654,short,failure_test,0.73,25037.45,25073.7573,25001.1427,24964.8354,24928.5281,25073.7573,stop,-1.0,39.0,False,False
