bottom,top,center,strength,touches,kinds
26270.80078125,26290.19921875,26278.4203125,7,5,"['high', 'low']"
23309.650390625,23318.900390625,23316.06298828125,6,4,"['low', 'high']"
23338.599609375,23355.69921875,23345.6748046875,6,4,"['low', 'high']"
23443.0,23465.25,23455.275390625,6,4,"['low', 'high']"
23589.900390625,23608.900390625,23598.93798828125,6,4,"['low', 'high']"
23640.69921875,23665.0,23654.57470703125,6,4,"['low', 'high']"
23828.349609375,23835.099609375,23832.5625,6,4,"['high', 'low']"
23853.849609375,23861.80078125,23858.5,6,4,"['low', 'high']"
24588.349609375,24603.94921875,24597.0498046875,6,4,"['low', 'high']"
25202.05078125,25219.150390625,25209.36279296875,6,4,"['high', 'low']"
26243.30078125,26267.849609375,26260.2001953125,6,4,"['high', 'low']"
26333.94921875,26350.400390625,26344.26220703125,6,4,"['high', 'low']"
22624.900390625,22646.55078125,22636.417317708332,5,3,"['low', 'high']"
23172.55078125,23196.44921875,23187.633463541668,5,3,"['low', 'high']"
23284.349609375,23306.5,23298.449869791668,5,3,"['low', 'high']"
23369.69921875,23380.349609375,23376.533203125,5,3,"['high', 'low']"
23493.19921875,23504.150390625,23499.783203125,5,3,"['high', 'low']"
23526.849609375,23546.55078125,23535.766927083332,5,3,"['high', 'low']"
23557.849609375,23576.55078125,23564.083333333332,5,3,"['low', 'high']"
23696.349609375,23701.94921875,23698.716145833332,5,3,"['low', 'high']"
23892.19921875,23914.19921875,23900.799479166668,5,3,"['high', 'low']"
24215.599609375,24236.5,24228.432942708332,5,3,"['high', 'low']"
24402.30078125,24416.19921875,24411.416666666668,5,3,"['high', 'low']"
24437.349609375,24461.349609375,24449.916666666668,5,3,"['high', 'low']"
24616.44921875,24623.5,24618.966145833332,5,3,"['low', 'high']"
24675.650390625,24688.099609375,24680.949869791668,5,3,"['low', 'high']"
24914.849609375,24933.05078125,24922.699869791668,5,3,"['low', 'high']"
24979.05078125,24998.25,24988.68359375,5,3,"['low', 'high']"
25107.80078125,25132.25,25119.966796875,5,3,"['low', 'high']"
25978.55078125,26000.650390625,25985.750390625,5,5,['high']
26210.349609375,26235.05078125,26222.516927083332,5,3,"['low', 'high']"
22875.349609375,22897.650390625,22886.5,4,2,"['high', 'low']"
22906.400390625,22928.05078125,22913.775390625,4,4,['low']
22961.80078125,22968.5,22965.150390625,4,2,"['low', 'high']"
23057.099609375,23067.900390625,23062.5,4,2,"['low', 'high']"
23086.349609375,23106.44921875,23093.6494140625,4,4,['low']
23972.349609375,23977.05078125,23974.7001953125,4,2,"['low', 'high']"
24529.55078125,24543.80078125,24535.650390625,4,4,['low']
25401.599609375,25406.150390625,25404.1875,4,4,['low']
22472.099609375,22478.69921875,22476.299479166668,3,3,['low']
22505.0,22515.25,22509.516927083332,3,3,['low']
22931.94921875,22955.55078125,22946.033203125,3,3,['low']
23025.19921875,23038.650390625,23033.916666666668,3,3,['high']
23113.30078125,23138.099609375,23123.916666666668,3,3,['low']
24354.150390625,24375.69921875,24362.533203125,3,3,['low']
24556.900390625,24576.05078125,24569.567057291668,3,3,['low']
25041.349609375,25056.5,25047.333333333332,3,3,['low']
26068.30078125,26083.19921875,26076.333333333332,3,3,['low']
22992.94921875,23001.150390625,22997.0498046875,2,2,['high']
23414.900390625,23434.25,23424.5751953125,2,2,['high']
23932.0,23937.55078125,23934.775390625,2,2,['high']
24005.349609375,24024.19921875,24014.7744140625,2,2,['high']
24190.400390625,24201.94921875,24196.1748046875,2,2,['low']
24255.30078125,24262.849609375,24259.0751953125,2,2,['high']
24842.80078125,24853.900390625,24848.3505859375,2,2,['high']
26040.349609375,26050.150390625,26045.25,2,2,['low']
26365.0,26372.849609375,26368.9248046875,2,2,['high']
