direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,A,2026-04-16 10:00:00+05:30,2026-04-16 11:40:00+05:30,24303.849609375,24256.897670963794,24256.897670963794,24256.897670963794,24444.70542460862,False,-46.95,29.35,50.15,STOP_LOSS,1209,1229,TP=24445 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2026-04-17 10:00:00+05:30,2026-04-17 12:00:00+05:30,24255.30078125,24268.5,24211.34743494614,24268.5,24387.160820161585,True,13.2,66.95,17.55,TRAIL_SL,1284,1308,TP=24387 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2026-04-21 09:35:00+05:30,2026-04-21 11:30:00+05:30,24469.900390625,24535.0,24433.13836306855,24535.0,24580.18647329435,True,65.1,94.6,19.15,TRAIL_SL,1359,1382,TP=24580 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-04-22 09:35:00+05:30,2026-04-22 15:00:00+05:30,24438.69921875,24385.099609375,24465.623456790683,24465.623456790683,24063.42,False,53.6,85.0,19.55,EOD_EXIT,1434,1499,TP=24063 RR=13.94 space=390pts opp_str=66 no_align
short,A,2026-04-23 09:45:00+05:30,2026-04-23 10:00:00+05:30,24271.650390625,24303.62127376974,24303.62127376974,24303.62127376974,24063.42,False,-31.97,5.6,34.85,STOP_LOSS,1511,1514,TP=24063 RR=6.51 space=223pts opp_str=66 no_align
short,A,2026-04-23 10:05:00+05:30,2026-04-23 11:50:00+05:30,24285.900390625,24208.94921875,24312.99721010688,24208.94921875,24063.42,True,76.95,113.05,5.75,TRAIL_SL,1515,1536,TP=24063 RR=8.21 space=237pts opp_str=66 no_align
long,B,2026-04-29 10:00:00+05:30,2026-04-29 11:25:00+05:30,24201.30078125,24265.55078125,24162.657303100546,24265.55078125,24317.231215698364,True,64.25,97.55,4.65,TRAIL_SL,1814,1831,TP=24317 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-04-29 11:30:00+05:30,2026-04-29 13:25:00+05:30,24278.150390625,24309.55078125,24252.44366925578,24309.55078125,24355.270554732662,True,31.4,56.05,14.5,TRAIL_SL,1832,1855,TP=24355 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-05-04 10:00:00+05:30,2026-05-04 10:20:00+05:30,24223.94921875,24173.74851332341,24173.74851332341,24173.74851332341,24374.551335029762,False,-50.2,22.3,81.15,STOP_LOSS,1964,1968,TP=24375 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-05-04 10:25:00+05:30,2026-05-04 12:10:00+05:30,24196.650390625,24148.07283615222,24148.07283615222,24148.07283615222,24342.383054043337,False,-48.58,52.5,80.85,STOP_LOSS,1969,1990,TP=24342 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-05-06 10:25:00+05:30,2026-05-06 10:50:00+05:30,24136.400390625,24105.26821328754,24105.26821328754,24105.26821328754,24229.79692263737,False,-31.13,13.75,45.05,STOP_LOSS,2119,2124,TP=24230 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2026-05-07 09:40:00+05:30,2026-05-07 09:50:00+05:30,24397.349609375,24351.69666650058,24351.69666650058,24351.69666650058,24534.308437998265,False,-45.65,4.05,71.7,STOP_LOSS,2185,2187,TP=24534 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,A,2026-05-07 09:55:00+05:30,2026-05-07 11:40:00+05:30,24342.94921875,24298.39635073293,24298.39635073293,24298.39635073293,24476.607822801205,False,-44.55,36.1,54.55,STOP_LOSS,2188,2209,TP=24477 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2026-05-08 09:35:00+05:30,2026-05-08 10:20:00+05:30,24191.19921875,24223.67659121668,24223.67659121668,24223.67659121668,24063.42,False,-32.48,52.25,41.05,STOP_LOSS,2259,2268,TP=24063 RR=3.93 space=143pts opp_str=66 no_align
short,B,2026-05-12 10:25:00+05:30,2026-05-12 12:30:00+05:30,23613.25,23522.30078125,23635.929869584637,23594.25,23574.26,True,90.95,91.2,25.4,SR_ZONE_EXIT,2419,2444,TP=23574 RR=1.72 space=54pts opp_str=78 SUP@23640(str=79)
long,A,2026-05-22 10:25:00+05:30,2026-05-22 12:45:00+05:30,23761.44921875,23813.0,23730.115613567024,23762.44921875,23804.08,True,51.55,66.8,11.4,SR_ZONE_EXIT,3019,3047,TP=23804 RR=1.36 space=58pts opp_str=77 SUP@23737(str=67)
short,B,2026-05-29 13:15:00+05:30,2026-05-29 15:00:00+05:30,23780.69921875,23569.400390625,23796.394234453717,23779.69921875,23752.4,True,211.3,214.1,21.35,SR_ZONE_EXIT,3353,3374,TP=23752 RR=1.80 space=43pts opp_str=67 SUP@23819(str=77)
