direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,sr_tp,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx,sr_notes
long,B,2024-06-28 09:35:00+05:30,2024-06-28 12:15:00+05:30,24143.1,24102.13348387953,24102.13348387953,24102.13348387953,24265.9995483614,False,-40.97,30.9,70.4,STOP_LOSS,174861,174893,TP=24266 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-07-03 09:40:00+05:30,2024-07-03 15:00:00+05:30,24283.35,24269.9,24243.18586483441,24243.18586483441,24403.84240549677,False,-13.45,23.9,47.1,EOD_EXIT,175087,175151,TP=24404 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-07-04 09:40:00+05:30,2024-07-04 10:20:00+05:30,24392.55,24361.961265615446,24361.961265615446,24361.961265615446,24484.31620315366,False,-30.59,8.45,55.4,STOP_LOSS,175162,175170,TP=24484 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-07-05 09:50:00+05:30,2024-07-05 10:05:00+05:30,24179.6,24201.020830048958,24201.020830048958,24201.020830048958,24051.6,False,-21.42,10.75,29.4,STOP_LOSS,175239,175242,TP=24052 RR=5.98 space=143pts opp_str=68 no_align
short,B,2024-07-18 09:35:00+05:30,2024-07-18 09:40:00+05:30,24523.7,24542.84975546886,24542.84975546886,24542.84975546886,24418.82,False,-19.15,1.45,57.2,STOP_LOSS,175836,175837,TP=24419 RR=5.48 space=120pts opp_str=69 no_align
short,B,2024-07-19 10:10:00+05:30,2024-07-19 10:20:00+05:30,24685.85,24706.52880857319,24706.52880857319,24706.52880857319,24418.82,False,-20.68,7.45,32.75,STOP_LOSS,175918,175920,TP=24419 RR=12.91 space=282pts opp_str=69 no_align
long,B,2024-07-26 12:30:00+05:30,2024-07-26 14:20:00+05:30,24692.25,24771.55,24672.166750809378,24771.55,24752.499747571863,True,79.3,126.0,9.45,TRAIL_SL,176321,176343,TP=24752 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@24660(str=62)
long,B,2024-07-29 11:30:00+05:30,2024-07-29 12:10:00+05:30,24973.35,24950.703835328535,24950.703835328535,24950.703835328535,25041.28849401439,False,-22.65,26.4,93.15,STOP_LOSS,176384,176392,TP=25041 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-08-05 11:30:00+05:30,2024-08-05 11:40:00+05:30,23948.2,23995.729408190382,23995.729408190382,23995.729408190382,22668.75,False,-47.53,12.85,84.3,STOP_LOSS,176759,176761,TP=22669 RR=26.92 space=1294pts opp_str=63 no_align
long,B,2024-08-26 09:35:00+05:30,2024-08-26 10:25:00+05:30,24967.85,25005.824999999997,24936.396983185758,25005.824999999997,25062.209050442718,True,37.97,75.95,3.05,TRAIL_SL,177786,177796,TP=25062 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-08-28 11:40:00+05:30,2024-08-28 12:40:00+05:30,25104.15,25098.9,25079.58399696048,25079.58399696048,25177.84800911857,False,-5.25,9.9,23.35,NO_PROGRESS,177961,177973,TP=25178 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-12 14:20:00+05:30,2024-09-12 15:00:00+05:30,25248.9,25414.45,25200.788438974472,25299.675000000003,25393.234683076585,True,165.55,165.55,10.25,EOD_EXIT,178818,178826,TP=25393 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-16 09:40:00+05:30,2024-09-16 10:35:00+05:30,25434.85,25407.628941243744,25407.628941243744,25407.628941243744,25516.513176268763,False,-27.22,10.85,35.0,STOP_LOSS,178912,178923,TP=25517 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-19 09:40:00+05:30,2024-09-19 09:50:00+05:30,25604.95,25557.049278655522,25557.049278655522,25557.049278655522,25748.65216403344,False,-47.9,7.0,71.65,STOP_LOSS,179137,179139,TP=25749 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-20 09:55:00+05:30,2024-09-20 12:30:00+05:30,25585.15,25692.2,25531.938291845814,25692.2,25744.78512446256,True,107.05,141.5,43.5,TRAIL_SL,179215,179246,TP=25745 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-20 12:45:00+05:30,2024-09-20 13:30:00+05:30,25803.45,25764.256095115456,25764.256095115456,25764.256095115456,25921.031714653633,False,-39.19,3.5,195.45,STOP_LOSS,179249,179258,TP=25921 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-09-26 14:35:00+05:30,2024-09-26 15:00:00+05:30,26177.2,26233.5,26144.239573616618,26178.2,26276.081279150152,True,56.3,73.7,9.9,EOD_EXIT,179571,179576,TP=26276 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-09-30 09:35:00+05:30,2024-09-30 10:05:00+05:30,26035.2,25998.375,26062.024806563026,25998.375,25626.95,False,36.83,73.65,0.0,STOP_LOSS,179661,179667,TP=25627 RR=15.22 space=423pts opp_str=69 no_align
short,B,2024-09-30 14:20:00+05:30,2024-09-30 14:50:00+05:30,25807.75,25822.701557410714,25822.701557410714,25822.701557410714,25626.95,False,-14.95,11.1,35.65,STOP_LOSS,179718,179724,TP=25627 RR=12.09 space=196pts opp_str=69 no_align
short,B,2024-10-03 09:55:00+05:30,2024-10-03 15:00:00+05:30,25575.5,25254.3,25608.597717324028,25278.85,25432.3,True,321.2,345.2,5.05,EOD_EXIT,179815,179876,TP=25432 RR=4.33 space=158pts opp_str=64 SUP@25612(str=64)
short,B,2024-10-07 14:25:00+05:30,2024-10-07 14:30:00+05:30,24721.9,24753.169985023138,24753.169985023138,24753.169985023138,24398.79,False,-31.27,0.0,56.95,STOP_LOSS,180019,180020,TP=24399 RR=10.33 space=338pts opp_str=63 no_align
short,B,2024-10-23 14:25:00+05:30,2024-10-23 15:00:00+05:30,24455.65,24451.15,24475.004719270008,24475.004719270008,24351.61,False,4.5,33.25,10.95,EOD_EXIT,180919,180926,TP=24352 RR=5.38 space=119pts opp_str=63 no_align
short,B,2024-10-24 09:45:00+05:30,2024-10-24 09:50:00+05:30,24354.6,24379.20939719523,24379.20939719523,24379.20939719523,24280.7718084143,False,-24.61,3.05,30.9,STOP_LOSS,180938,180939,TP=24281 RR=3.00 space=ATR_RUNWAY opp_str=? SUP@24382(str=72)
short,B,2024-10-25 09:45:00+05:30,2024-10-25 11:15:00+05:30,24305.55,24189.7,24334.87531565048,24189.7,24217.574053048564,True,115.85,192.5,18.15,TRAIL_SL,181013,181031,TP=24218 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-10-25 11:30:00+05:30,2024-10-25 14:45:00+05:30,24132.65,24103.275,24159.675716280955,24103.275,24051.57285115714,False,29.38,58.75,31.75,STOP_LOSS,181034,181073,TP=24052 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-04 09:45:00+05:30,2024-11-04 09:55:00+05:30,24025.9,24059.199574768376,24059.199574768376,24059.199574768376,23926.00127569488,False,-33.3,8.55,38.4,STOP_LOSS,181388,181390,TP=23926 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-11-06 14:20:00+05:30,2024-11-06 14:35:00+05:30,24528.45,24503.730532645746,24503.730532645746,24503.730532645746,24639.5,False,-24.72,0.85,46.45,STOP_LOSS,181593,181596,TP=24640 RR=4.49 space=126pts opp_str=67 no_align
short,B,2024-11-11 14:15:00+05:30,2024-11-11 14:25:00+05:30,24092.35,24110.87968089604,24110.87968089604,24110.87968089604,23966.0,False,-18.53,11.75,48.1,STOP_LOSS,181817,181819,TP=23966 RR=6.82 space=141pts opp_str=67 SUP@24117(str=70)
short,B,2024-11-13 09:40:00+05:30,2024-11-13 09:50:00+05:30,23755.6,23732.125,23789.5451705484,23732.125,23653.76448835479,False,23.47,46.95,51.45,STOP_LOSS,181912,181914,TP=23654 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-13 10:00:00+05:30,2024-11-13 10:25:00+05:30,23742.0,23710.675,23779.66203636608,23710.675,23629.013890901755,False,31.33,62.65,7.6,STOP_LOSS,181916,181921,TP=23629 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-13 14:20:00+05:30,2024-11-13 14:50:00+05:30,23612.85,23579.175,23634.20214710859,23579.175,23548.79355867422,False,33.67,67.35,14.2,STOP_LOSS,181968,181974,TP=23549 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-18 09:35:00+05:30,2024-11-18 09:45:00+05:30,23395.05,23424.478295601217,23424.478295601217,23424.478295601217,23306.765113196347,False,-29.43,32.7,44.0,STOP_LOSS,182061,182063,TP=23307 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
short,B,2024-11-21 09:35:00+05:30,2024-11-21 10:00:00+05:30,23283.0,23323.2476716966,23323.2476716966,23323.2476716966,23162.256984910196,False,-40.25,19.85,64.1,STOP_LOSS,182211,182216,TP=23162 RR=3.00 space=ATR_RUNWAY opp_str=? no_align
long,B,2024-11-22 13:15:00+05:30,2024-11-22 13:30:00+05:30,23729.7,23693.022551782156,23693.022551782156,23693.022551782156,23833.82,False,-36.68,0.0,67.95,STOP_LOSS,182330,182333,TP=23834 RR=2.84 space=119pts opp_str=67 no_align
long,B,2024-12-04 09:35:00+05:30,2024-12-04 11:55:00+05:30,24543.05,24513.69325147159,24513.69325147159,24513.69325147159,24783.58,False,-29.36,30.15,176.75,STOP_LOSS,182886,182914,TP=24784 RR=8.19 space=256pts opp_str=65 SUP@24503(str=66)
long,B,2024-12-05 12:20:00+05:30,2024-12-05 13:50:00+05:30,24605.55,24637.074999999997,24545.42312830146,24637.074999999997,24783.58,False,31.52,63.05,44.8,STOP_LOSS,182994,183012,TP=24784 RR=2.96 space=193pts opp_str=65 no_align
