direction,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl,exit_reason
short,2026-02-19 14:20:00+05:30,2026-02-19 15:10:00+05:30,25580.94921875,25488.92632119495,25607.2414751943,25488.92632119495,92.02,TAKE_PROFIT
long,2026-02-23 10:10:00+05:30,2026-02-23 10:40:00+05:30,25717.849609375,25687.943392774363,25687.943392774363,25822.521367477228,-29.91,STOP_LOSS
short,2026-02-24 13:00:00+05:30,2026-02-24 13:30:00+05:30,25421.900390625,25352.64243587523,25441.688377696362,25352.64243587523,69.26,TAKE_PROFIT
short,2026-02-24 14:00:00+05:30,2026-02-24 14:10:00+05:30,25388.75,25415.568282400054,25415.568282400054,25294.886011599807,-26.82,STOP_LOSS
long,2026-02-25 10:40:00+05:30,2026-02-25 11:40:00+05:30,25619.900390625,25600.09668753746,25600.09668753746,25689.213351431386,-19.8,STOP_LOSS
short,2026-02-25 13:55:00+05:30,2026-02-25 14:15:00+05:30,25472.650390625,25491.84174252269,25491.84174252269,25405.480658983077,-19.19,STOP_LOSS
long,2026-02-26 10:30:00+05:30,2026-02-26 10:55:00+05:30,25536.599609375,25510.89181070163,25510.89181070163,25626.57690473179,-25.71,STOP_LOSS
short,2026-02-26 13:40:00+05:30,2026-02-26 14:30:00+05:30,25438.19921875,25458.875673983945,25458.875673983945,25365.831625431194,-20.68,STOP_LOSS
short,2026-02-27 11:15:00+05:30,2026-02-27 15:00:00+05:30,25325.349609375,25258.749523641083,25344.378205298977,25258.749523641083,66.6,TAKE_PROFIT
short,2026-03-02 10:55:00+05:30,2026-03-02 12:35:00+05:30,24855.150390625,24726.352750241327,24891.949716448908,24726.352750241327,128.8,TAKE_PROFIT
short,2026-03-04 10:20:00+05:30,2026-03-04 13:10:00+05:30,24399.349609375,24454.498242171492,24454.498242171492,24206.32939458728,-55.15,STOP_LOSS
short,2026-03-06 10:05:00+05:30,2026-03-06 14:45:00+05:30,24653.599609375,24510.0675431272,24694.608771160085,24510.0675431272,143.53,TAKE_PROFIT
short,2026-03-09 11:10:00+05:30,2026-03-09 11:25:00+05:30,23818.599609375,23866.603361777296,23866.603361777296,23650.586475966964,-48.0,STOP_LOSS
short,2026-03-11 12:10:00+05:30,2026-03-11 14:15:00+05:30,24011.599609375,23915.575689731933,24039.035014987305,23915.575689731933,96.02,TAKE_PROFIT
