bar_idx,bar_time,direction,entry_price,stop_price,target_price,risk_pts,reward_pts,rr_ratio,score_contraction,score_signature,score_time,score_sr,score_rev_guard,confidence,signature_tags,contraction_start,contraction_end,sr_context,reason,hit_target,hit_stop,outcome_pts,bars_to_close
46155,2025-04-30 12:30:00,long,24359.85,24343.39,24392.78,16.46,32.93,2.0,0.86,0.55,0.65,0.3,1.0,67.2,"['SQUEEZE(avg=10.7pts)', 'DOJI(x1)']",46116,46154,near_resistance,"C Q=0.86 bars=46116-46154 | Sigs=[SQUEEZE(avg=10.7pts), DOJI(x1)] | T=12:30(s=0.65) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=67.2",False,True,-16.46,5
46755,2025-05-13 12:30:00,short,24669.45,24716.45,24763.45,47.0,94.0,2.0,0.803,0.2,0.65,0.3,1.0,55.3,['DOJI(x1)'],46735,46752,near_support,C Q=0.80 bars=46735-46752 | Sigs=[DOJI(x1)] | T=12:30(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=55.3,True,False,94.0,1
47369,2025-05-23 13:40:00,short,24851.0,24883.19,24915.39,32.19,64.39,2.0,0.703,0.35,0.65,0.3,1.0,57.3,['SQUEEZE(avg=14.4pts)'],47343,47366,near_support,C Q=0.70 bars=47343-47366 | Sigs=[SQUEEZE(avg=14.4pts)] | T=13:40(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=57.3,True,False,64.39,1
47685,2025-05-29 15:00:00,long,24797.75,24758.43,24876.39,39.32,78.64,2.0,0.753,0.72,1.0,0.3,1.0,74.9,"['SQUEEZE(avg=15.6pts)', 'DOJI(x1)', 'LH_CASCADE(bearish)']",47656,47682,near_resistance,"C Q=0.75 bars=47656-47682 | Sigs=[SQUEEZE(avg=15.6pts), DOJI(x1), LH_CASCADE(bearish)] | T=15:00(s=1.00) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=74.9",True,False,78.64,5
49116,2025-06-26 09:15:00,long,25283.65,25246.18,25358.59,37.47,74.94,2.0,0.769,0.35,0.1,0.9,0.75,56.0,['SQUEEZE(avg=9.8pts)'],49101,49115,broke_above_sr,C Q=0.77 bars=49101-49115 | Sigs=[SQUEEZE(avg=9.8pts)] | T=09:15(s=0.10) | SR=broke_above_sr(s=0.90) | Rev=0.75 | Conf=56.0,True,False,74.94,3
49542,2025-07-03 13:30:00,long,25517.1,25506.32,25538.67,10.78,21.57,2.0,0.803,0.55,0.65,0.3,1.0,65.8,"['SQUEEZE(avg=16.3pts)', 'DOJI(x1)']",49517,49539,near_resistance,"C Q=0.80 bars=49517-49539 | Sigs=[SQUEEZE(avg=16.3pts), DOJI(x1)] | T=13:30(s=0.65) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=65.8",True,False,21.57,1
59225,2026-01-09 13:10:00,long,25691.05,25669.48,25734.19,21.57,43.14,2.0,0.701,0.55,0.65,0.7,0.7,64.8,"['SQUEEZE(avg=22.3pts)', 'DOJI(x1)']",59188,59222,clear,"C Q=0.70 bars=59188-59222 | Sigs=[SQUEEZE(avg=22.3pts), DOJI(x1)] | T=13:10(s=0.65) | SR=clear(s=0.70) | Rev=0.70 | Conf=64.8",False,True,-21.57,8
60175,2026-01-30 11:05:00,short,25263.1,25285.56,25308.02,22.46,44.92,2.0,0.811,0.7,0.4,0.3,0.8,63.8,"['SQUEEZE(avg=17.0pts)', 'DOJI(x2)', 'HL_STAIRCASE(bullish)']",60157,60171,near_support,"C Q=0.81 bars=60157-60171 | Sigs=[SQUEEZE(avg=17.0pts), DOJI(x2), HL_STAIRCASE(bullish)] | T=11:05(s=0.40) | SR=near_support(s=0.30) | Rev=0.80 | Conf=63.8",True,False,44.92,1
60717,2026-02-09 12:30:00,short,25839.65,25849.47,25859.29,9.82,19.64,2.0,0.791,0.35,0.65,0.3,1.0,59.5,['SQUEEZE(avg=10.1pts)'],60689,60716,near_support,C Q=0.79 bars=60689-60716 | Sigs=[SQUEEZE(avg=10.1pts)] | T=12:30(s=0.65) | SR=near_support(s=0.30) | Rev=1.00 | Conf=59.5,True,False,19.64,1
62738,2026-03-19 12:10:00,long,23265.5,23230.78,23334.95,34.72,69.45,2.0,0.78,0.72,0.65,0.3,1.0,70.4,"['SQUEEZE(avg=17.9pts)', 'DOJI(x1)', 'LH_CASCADE(bearish)']",62711,62737,near_resistance,"C Q=0.78 bars=62711-62737 | Sigs=[SQUEEZE(avg=17.9pts), DOJI(x1), LH_CASCADE(bearish)] | T=12:10(s=0.65) | SR=near_resistance(s=0.30) | Rev=1.00 | Conf=70.4",False,True,-34.72,6
