direction,entry_time,exit_time,entry_price,exit_price,stop_loss_at_exit,pnl,exit_reason
short,2026-01-19 10:50:00+05:30,2026-01-19 10:55:00+05:30,25519.650390625,25537.42902734789,25537.42902734789,-17.78,STOP_LOSS
short,2026-01-19 11:10:00+05:30,2026-01-19 13:05:00+05:30,25537.75,25555.405853296394,25555.405853296394,-17.66,STOP_LOSS
short,2026-01-20 10:05:00+05:30,2026-01-20 14:00:00+05:30,25479.80078125,25375.03649516594,25375.03649516594,104.76,TRAIL_SL
short,2026-01-21 11:30:00+05:30,2026-01-21 12:00:00+05:30,25043.650390625,25074.8693908735,25074.8693908735,-31.22,STOP_LOSS
short,2026-01-21 14:30:00+05:30,2026-01-21 15:15:00+05:30,25162.849609375,25159.900390625,25191.41250861032,2.95,EOD_EXIT
short,2026-01-22 11:20:00+05:30,2026-01-22 14:35:00+05:30,25253.69921875,25280.868852678137,25280.868852678137,-27.17,STOP_LOSS
short,2026-01-23 14:25:00+05:30,2026-01-23 15:15:00+05:30,25069.349609375,25039.25,25091.73217439586,30.1,EOD_EXIT
short,2026-01-27 11:20:00+05:30,2026-01-27 11:35:00+05:30,25039.400390625,25068.883401162013,25068.883401162013,-29.48,STOP_LOSS
short,2026-01-27 14:30:00+05:30,2026-01-27 14:35:00+05:30,25041.75,25063.44728471475,25063.44728471475,-21.7,STOP_LOSS
long,2026-01-28 09:50:00+05:30,2026-01-28 13:20:00+05:30,25288.400390625,25244.72685086191,25244.72685086191,-43.67,STOP_LOSS
short,2026-01-28 14:30:00+05:30,2026-01-28 14:40:00+05:30,25224.30078125,25241.807603383153,25241.807603383153,-17.51,STOP_LOSS
short,2026-01-29 10:10:00+05:30,2026-01-29 11:00:00+05:30,25211.650390625,25238.099229731888,25238.099229731888,-26.45,STOP_LOSS
long,2026-01-29 14:15:00+05:30,2026-01-29 15:15:00+05:30,25401.849609375,25421.55078125,25372.79785846439,19.7,EOD_EXIT
short,2026-01-30 09:45:00+05:30,2026-01-30 13:55:00+05:30,25305.55078125,25336.399134592117,25336.399134592117,-30.85,STOP_LOSS
long,2026-01-30 14:25:00+05:30,2026-01-30 15:15:00+05:30,25336.099609375,25324.44921875,25308.322377467168,-11.65,EOD_EXIT
long,2026-02-03 09:55:00+05:30,2026-02-03 11:45:00+05:30,25702.599609375,25836.36971080035,25836.36971080035,133.77,TRAIL_SL
long,2026-02-03 12:05:00+05:30,2026-02-03 12:25:00+05:30,25828.25,25794.991930410477,25794.991930410477,-33.26,STOP_LOSS
long,2026-02-04 14:00:00+05:30,2026-02-04 15:15:00+05:30,25766.19921875,25768.94921875,25746.677753287357,2.75,EOD_EXIT
short,2026-02-05 10:25:00+05:30,2026-02-05 15:15:00+05:30,25669.55078125,25629.25,25690.493905139367,40.3,EOD_EXIT
