bar_index,time,open,high,low,close,candle_range,avg_range_lookback,range_std_dev,min_range_window,max_range_window,compression_ratio,compression_pct,atr,atr_pct_of_close,body_ratio,wick_ratio,candle_direction,zone_type,zone_score,is_progressive_squeeze,prior_trend,price_vs_sma20,resistance_level,support_level,range_above_support,range_below_resist,volume_ratio_vs_avg,candles_to_breakout,breakout_direction,breakout_magnitude,max_move_next_5,max_move_next_10
4508,03-03-2025 09:55,22053.8,22075.7,22050.55,22067.5,25.15,44.385,20.6602,19.5,80.5,0.5666,56.7%,40.6519,0.18%,0.545,0.455,Bullish,Moderate Contraction,47.7,True,Downtrend,Below SMA20,22261.55,22052.5,15.0,194.05,N/A,1,Downside Breakdown,22.85,55.25,55.25
4511,03-03-2025 10:10,22018.85,22035.6,22013.45,22024.9,22.15,43.46,17.3227,25.15,80.5,0.5097,51.0%,37.2828,0.17%,0.273,0.727,Bullish,Moderate Contraction,37.0,False,Downtrend,Below SMA20,22257.65,22012.25,12.65,232.75,N/A,11,Downside Breakdown,1.55,79.3,79.3
4520,03-03-2025 10:55,22052.65,22053.7,22035.1,22045.1,18.6,36.625,10.8614,22.15,59.0,0.5078,50.8%,35.2818,0.16%,0.406,0.594,Bearish,Moderate Contraction,39.3,False,Uptrend,Below SMA20,22104.2,22012.25,32.85,59.1,N/A,2,Downside Breakdown,1.55,40.4,40.4
4524,03-03-2025 11:15,22030.55,22032.7,22008.0,22011.95,24.7,35.475,11.6032,18.6,59.0,0.6963,69.6%,32.0784,0.15%,0.753,0.247,Bearish,Mild Contraction,17.6,False,Downtrend,Below SMA20,22104.2,22005.7,6.25,92.25,N/A,1,Downside Breakdown,1.0,32.3,32.3
4529,03-03-2025 11:40,22020.3,22027.9,22013.75,22017.75,14.15,24.615,5.9318,13.95,34.55,0.5749,57.5%,25.7509,0.12%,0.18,0.82,Bearish,Moderate Contraction,35.6,False,Downtrend,Below SMA20,22078.65,22004.7,13.05,60.9,N/A,8,Upside Breakout,7.85,24.85,86.15
4532,03-03-2025 11:55,22016.1,22025.75,22011.35,22012.8,14.4,22.245,5.0711,13.95,28.45,0.6473,64.7%,23.4407,0.11%,0.229,0.771,Bearish,Mild Contraction,29.7,False,Downtrend,Below SMA20,22044.25,22004.7,8.1,31.45,N/A,3,Upside Breakout,11.6,73.7,139.9
4545,03-03-2025 13:00,22113.55,22124.1,22105.0,22119.15,19.1,31.545,8.6328,19.35,46.85,0.6055,60.5%,28.5952,0.13%,0.293,0.707,Bullish,Strong Contraction,52.6,True,Uptrend,Above SMA20,22154.15,22024.45,94.7,35.0,N/A,2,Upside Breakout,0.9,55.0,55.0
4552,03-03-2025 13:35,22108.3,22124.5,22107.5,22118.5,17.0,29.425,9.6568,19.1,46.85,0.5777,57.8%,26.7612,0.12%,0.6,0.4,Bullish,Moderate Contraction,33.4,False,Downtrend,Above SMA20,22174.15,22092.45,26.05,55.65,N/A,6,Downside Breakdown,20.55,31.25,46.6
4565,03-03-2025 14:40,22128.95,22142.85,22126.7,22138.65,16.15,31.45,9.5827,20.9,47.3,0.5135,51.4%,27.456,0.12%,0.601,0.399,Bullish,Strong Contraction,58.6,True,Uptrend,Above SMA20,22153.55,22071.9,66.75,14.9,N/A,10,Downside Breakdown,107.3,39.45,174.05
4570,03-03-2025 15:05,22110.8,22124.7,22110.5,22116.9,14.2,26.29,6.128,16.15,33.65,0.5401,54.0%,25.4254,0.11%,0.43,0.57,Bullish,Moderate Contraction,39.0,False,Uptrend,Below SMA20,22153.55,22092.3,24.6,36.65,N/A,5,Downside Breakdown,127.7,152.3,152.3
4582,04-03-2025 09:50,22058.25,22067.45,22046.3,22066.35,21.15,37.63,16.8695,10.5,65.4,0.5621,56.2%,40.198,0.18%,0.383,0.617,Bullish,Mild Contraction,24.9,False,Downtrend,Below SMA20,22146.55,21964.6,101.75,80.2,N/A,,,,34.25,34.25
4586,04-03-2025 10:10,22038.35,22050.25,22032.1,22049.95,18.15,39.175,12.9125,21.15,65.4,0.4633,46.3%,35.3599,0.16%,0.639,0.361,Bullish,Moderate Contraction,41.7,False,Uptrend,Below SMA20,22091.05,21984.25,65.7,41.1,N/A,10,Upside Breakout,4.65,27.25,45.75
4591,04-03-2025 10:35,22073.5,22076.05,22061.3,22062.45,14.75,26.915,10.2193,13.5,44.9,0.548,54.8%,27.5897,0.13%,0.749,0.251,Bearish,Moderate Contraction,32.8,False,Uptrend,Above SMA20,22091.05,22013.6,48.85,28.6,N/A,5,Upside Breakout,4.65,33.25,41.8
4594,04-03-2025 10:50,22070.0,22080.0,22065.05,22075.95,14.95,23.99,8.651,13.5,40.3,0.6232,62.3%,24.9356,0.11%,0.398,0.602,Bullish,Mild Contraction,26.9,False,Downtrend,Above SMA20,22091.05,22032.1,43.85,15.1,N/A,2,Upside Breakout,4.65,28.3,28.3
4598,04-03-2025 11:10,22084.55,22091.0,22077.85,22083.7,13.15,20.605,5.1265,13.5,29.05,0.6382,63.8%,22.4397,0.1%,0.065,0.935,Bearish,Moderate Contraction,30.8,False,Uptrend,Above SMA20,22104.25,22048.15,35.55,20.55,N/A,11,Downside Breakdown,0.2,20.5,34.9
4601,04-03-2025 11:25,22071.0,22076.85,22067.8,22069.5,9.05,18.84,4.904,11.8,24.7,0.4804,48.0%,19.481,0.09%,0.166,0.834,Bearish,Moderate Contraction,42.5,False,Uptrend,Above SMA20,22104.25,22048.6,20.9,34.75,N/A,8,Downside Breakdown,0.65,20.7,21.55
4604,04-03-2025 11:40,22078.1,22078.2,22069.0,22070.2,9.2,16.21,5.513,9.05,23.75,0.5676,56.8%,16.6056,0.08%,0.859,0.141,Bearish,Moderate Contraction,33.5,False,Downtrend,Below SMA20,22104.25,22063.2,7.0,34.05,N/A,1,Downside Breakdown,14.4,22.25,22.25
4607,04-03-2025 11:55,22066.45,22073.15,22065.2,22072.1,7.95,14.98,5.5638,9.05,23.75,0.5307,53.1%,15.6132,0.07%,0.711,0.289,Bullish,Moderate Contraction,36.0,False,Downtrend,Below SMA20,22104.25,22048.8,23.3,32.15,N/A,2,Downside Breakdown,0.85,24.15,24.15
4610,04-03-2025 12:10,22057.15,22062.35,22055.55,22057.65,6.8,13.28,4.3671,7.95,20.65,0.512,51.2%,14.8162,0.07%,0.074,0.926,Bullish,Moderate Contraction,38.2,False,Downtrend,Below SMA20,22086.35,22047.95,9.7,28.7,N/A,10,Downside Breakdown,7.95,17.7,17.7
4615,04-03-2025 12:35,22069.95,22074.65,22067.3,22069.0,7.35,13.35,4.5797,6.8,20.65,0.5506,55.1%,12.7505,0.06%,0.129,0.871,Bearish,Strong Contraction,53.4,True,Uptrend,Below SMA20,22075.35,22047.95,21.05,6.35,N/A,5,Downside Breakdown,7.95,29.0,33.95
4638,04-03-2025 14:30,22085.35,22087.8,22077.95,22084.85,9.85,16.95,3.6528,11.4,23.9,0.5811,58.1%,15.3547,0.07%,0.051,0.949,Bearish,Strong Contraction,56.5,True,Uptrend,Above SMA20,22105.05,22039.95,44.9,20.2,N/A,12,Upside Breakout,44.8,19.8,19.8
4643,04-03-2025 14:55,22100.05,22102.1,22092.8,22098.6,9.3,16.355,5.019,9.85,25.0,0.5686,56.9%,15.1606,0.07%,0.156,0.844,Bearish,Moderate Contraction,34.5,False,Uptrend,Above SMA20,22105.05,22064.85,33.75,6.45,N/A,6,Downside Breakdown,0.15,23.75,122.8
4647,04-03-2025 15:15,22082.6,22088.25,22079.85,22087.95,8.4,14.775,4.9407,9.3,25.0,0.5685,56.9%,14.8304,0.07%,0.637,0.363,Bullish,Moderate Contraction,34.0,False,Uptrend,Above SMA20,22104.65,22074.85,13.1,16.7,N/A,2,Downside Breakdown,10.15,109.9,175.85
4654,05-03-2025 09:35,22209.6,22219.6,22200.6,22207.1,19.0,30.235,23.2545,8.4,82.05,0.6284,62.8%,28.9095,0.13%,0.132,0.868,Bearish,Moderate Contraction,36.8,True,Uptrend,Above SMA20,22221.4,22064.7,142.4,14.3,N/A,1,Upside Breakout,28.8,58.05,58.05
4657,05-03-2025 09:50,22257.2,22258.8,22240.35,22251.0,18.45,34.88,22.2091,8.4,82.05,0.529,52.9%,29.6059,0.13%,0.336,0.664,Bearish,Mild Contraction,25.9,False,Uptrend,Above SMA20,22263.8,22064.7,186.3,12.8,N/A,1,Upside Breakout,0.3,32.6,39.9
4660,05-03-2025 10:05,22234.1,22251.8,22231.9,22251.8,19.9,38.17,19.2058,18.45,82.05,0.5214,52.1%,27.8448,0.13%,0.889,0.111,Bullish,Moderate Contraction,33.5,False,Uptrend,Above SMA20,22265.15,22067.8,184.0,13.35,N/A,5,Upside Breakout,3.05,40.7,40.7
