direction,entry_time,exit_time,entry_price,exit_price,vwap_at_entry,price_vs_vwap,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason
short,2025-01-15 14:15:00+05:30,2025-01-15 14:40:00+05:30,23187.85,23202.481827600477,23221.97,-34.12,23202.481827600477,23202.481827600477,False,-14.63,28.6,26.9,STOP_LOSS
short,2025-01-24 10:20:00+05:30,2025-01-24 10:35:00+05:30,23156.9,23183.321773323176,23192.06,-35.16,23183.321773323176,23183.321773323176,False,-26.42,0.0,70.2,STOP_LOSS
short,2025-01-24 14:30:00+05:30,2025-01-24 14:55:00+05:30,23153.25,23078.270713078266,23218.36,-65.11,23174.364961674524,23078.270713078266,True,74.98,103.25,0.0,TRAIL_SL
short,2025-01-27 14:50:00+05:30,2025-01-27 15:00:00+05:30,22826.85,22816.7,22885.59,-58.74,22846.70741673268,22846.70741673268,False,10.15,11.25,6.5,SOFT_EOD_EXIT
long,2025-01-29 10:15:00+05:30,2025-01-29 11:10:00+05:30,23055.4,23106.49690141993,23042.2,13.2,23019.59322374714,23106.49690141993,True,51.1,70.45,0.0,TRAIL_SL
short,2025-01-30 14:40:00+05:30,2025-01-30 14:55:00+05:30,23174.6,23191.89894273465,23239.63,-65.03,23191.89894273465,23191.89894273465,False,-17.3,25.8,31.1,STOP_LOSS
long,2025-02-01 10:05:00+05:30,2025-02-01 11:35:00+05:30,23558.15,23609.014537449166,23546.62,11.53,23520.246006174926,23609.014537449166,True,50.86,74.3,27.35,TRAIL_SL
long,2025-02-04 14:30:00+05:30,2025-02-04 15:15:00+05:30,23663.0,23739.16835540936,23573.38,89.62,23626.58415967352,23739.16835540936,True,76.17,99.75,3.75,TRAIL_SL
short,2025-02-06 10:20:00+05:30,2025-02-06 13:55:00+05:30,23647.75,23576.653044696355,23662.14,-14.39,23666.057360967283,23576.653044696355,True,71.1,85.5,9.15,TRAIL_SL
short,2025-02-07 14:35:00+05:30,2025-02-07 15:00:00+05:30,23486.6,23505.383308295248,23578.14,-91.54,23505.383308295248,23505.383308295248,False,-18.78,36.35,42.95,STOP_LOSS
