direction,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,holding_mins,opt_dS,opt_delta_entry,opt_delta_exit,opt_gamma,opt_theta_daily,opt_vega,opt_delta_effect,opt_gamma_pnl,opt_theta_effect,opt_vega_effect,opt_change,opt_pnl_per_lot,opt_gross_pnl,opt_slippage,opt_total_pnl,opt_breakeven_dS,opt_lot_size
short,2025-03-28 09:50:00+05:30,2025-03-28 10:30:00+05:30,23549.55,23571.60574428887,23571.60574428887,23571.60574428887,False,-22.06,30.55,77.5,STOP_LOSS,40,22.0557,-0.45,-0.434561,0.0007,-10.53,5.0,-9.7719,11.0669,-1.1232,0.0,-10.8951,-10.8951,-708.18,50.0,-758.18,-2.4912,65
short,2025-04-01 10:15:00+05:30,2025-04-01 12:10:00+05:30,23480.15,23197.746914525906,23510.580464192837,23197.746914525906,True,282.4,307.05,3.55,TRAIL_SL,115,-282.4031,-0.45,-0.647682,0.0007,-10.53,5.0,152.2031,1814.3467,-3.2292,0.0,148.9739,148.9739,9683.3,50.0,9633.3,-7.1364,65
short,2025-04-03 10:00:00+05:30,2025-04-03 10:10:00+05:30,23250.1,23274.716839549757,23274.716839549757,23274.716839549757,False,-24.62,3.6,32.35,STOP_LOSS,10,24.6168,-0.45,-0.432768,0.0007,-10.53,5.0,-10.8867,13.7862,-0.2808,0.0,-11.1675,-11.1675,-725.89,50.0,-775.89,-0.6237,65
short,2025-04-07 10:25:00+05:30,2025-04-07 12:35:00+05:30,22005.15,21843.026929216743,22067.368330584944,21843.026929216743,True,162.12,208.25,77.55,TRAIL_SL,130,-162.1231,-0.45,-0.563486,0.0007,-10.53,5.0,81.2348,597.9585,-3.6504,0.0,77.5844,77.5844,5042.99,50.0,4992.99,-8.0615,65
short,2025-04-09 09:40:00+05:30,2025-04-09 10:00:00+05:30,22467.85,22423.14418045697,22513.71684060211,22423.14418045697,True,44.71,86.55,0.85,TRAIL_SL,20,-44.7058,-0.45,-0.481294,0.0007,-10.53,5.0,20.7472,45.4684,-0.5616,0.0,20.1856,20.1856,1312.06,50.0,1262.06,-1.2468,65
short,2025-04-09 10:00:00+05:30,2025-04-09 15:00:00+05:30,22430.3,22394.9,22473.435362161716,22473.435362161716,False,35.4,77.05,25.15,SOFT_EOD_EXIT,300,-35.4,-0.45,-0.47478,0.0007,-10.53,5.0,16.3247,28.5094,-8.424,0.0,7.9007,7.9007,513.55,50.0,463.55,-18.4551,65
long,2025-04-11 10:20:00+05:30,2025-04-11 10:35:00+05:30,22794.8,22747.8724397088,22747.8724397088,22747.8724397088,False,-46.93,41.4,58.75,STOP_LOSS,15,-46.9276,0.45,0.417151,0.0007,-10.53,5.0,-20.4237,50.1,-0.4212,0.0,-20.8449,-20.8449,-1354.92,50.0,-1404.92,0.9353,65
long,2025-04-16 10:10:00+05:30,2025-04-16 10:15:00+05:30,23355.8,23332.193241520657,23332.193241520657,23332.193241520657,False,-23.61,3.15,47.05,STOP_LOSS,5,-23.6068,0.45,0.433475,0.0007,-10.53,5.0,-10.4475,12.6781,-0.1404,0.0,-10.5879,-10.5879,-688.21,50.0,-738.21,0.3119,65
long,2025-04-21 10:15:00+05:30,2025-04-21 11:30:00+05:30,24021.0,24113.401866865934,23980.473750089965,24113.401866865934,True,92.4,111.75,11.7,TRAIL_SL,75,92.4019,0.45,0.514681,0.0007,-10.53,5.0,44.2703,194.2419,-2.106,0.0,42.1643,42.1643,2740.68,50.0,2690.68,4.6631,65
long,2025-05-02 10:20:00+05:30,2025-05-02 10:30:00+05:30,24551.3,24510.781375900846,24510.781375900846,24510.781375900846,False,-40.52,5.6,66.55,STOP_LOSS,10,-40.5186,0.45,0.421637,0.0007,-10.53,5.0,-17.7162,37.35,-0.2808,0.0,-17.997,-17.997,-1169.81,50.0,-1219.81,0.6237,65
long,2025-05-05 10:20:00+05:30,2025-05-05 11:45:00+05:30,24477.05,24438.34482472569,24438.34482472569,24438.34482472569,False,-38.71,49.35,47.85,STOP_LOSS,85,-38.7052,0.45,0.422906,0.0007,-10.53,5.0,-16.9454,34.0816,-2.3868,0.0,-19.3322,-19.3322,-1256.59,50.0,-1306.59,5.2823,65
short,2025-05-07 10:20:00+05:30,2025-05-07 11:15:00+05:30,24348.35,24380.450752173296,24380.450752173296,24380.450752173296,False,-32.1,23.6,51.85,STOP_LOSS,55,32.1008,-0.45,-0.427529,0.0007,-10.53,5.0,-14.1207,23.4429,-1.5444,0.0,-15.6651,-15.6651,-1018.23,50.0,-1068.23,-3.4229,65
short,2025-05-09 10:10:00+05:30,2025-05-09 11:00:00+05:30,24060.65,24004.217746456296,24103.87936955738,24004.217746456296,True,56.43,84.0,26.1,TRAIL_SL,50,-56.4323,-0.45,-0.489503,0.0007,-10.53,5.0,26.3977,72.4496,-1.404,0.0,24.9937,24.9937,1624.59,50.0,1574.59,-3.1125,65
short,2025-05-13 10:10:00+05:30,2025-05-13 10:40:00+05:30,24770.85,24696.423056225933,24818.87874076156,24696.423056225933,True,74.43,135.95,26.75,TRAIL_SL,30,-74.4269,-0.45,-0.502099,0.0007,-10.53,5.0,35.237,126.0207,-0.8424,0.0,34.3946,34.3946,2235.65,50.0,2185.65,-1.8693,65
long,2025-05-14 10:25:00+05:30,2025-05-14 10:55:00+05:30,24744.65,24710.55800797602,24710.55800797602,24710.55800797602,False,-34.09,2.5,61.2,STOP_LOSS,30,-34.092,0.45,0.426136,0.0007,-10.53,5.0,-14.9753,26.4415,-0.8424,0.0,-15.8177,-15.8177,-1028.15,50.0,-1078.15,1.8693,65
short,2025-05-15 10:10:00+05:30,2025-05-15 10:30:00+05:30,24561.7,24591.424907307817,24591.424907307817,24591.424907307817,False,-29.72,28.5,65.55,STOP_LOSS,20,29.7249,-0.45,-0.429193,0.0007,-10.53,5.0,-13.0979,20.1012,-0.5616,0.0,-13.6595,-13.6595,-887.87,50.0,-937.87,-1.2468,65
short,2025-05-20 10:10:00+05:30,2025-05-20 10:35:00+05:30,24899.4,24920.26796955756,24920.26796955756,24920.26796955756,False,-20.87,20.4,32.6,STOP_LOSS,25,20.868,-0.45,-0.435392,0.0007,-10.53,5.0,-9.2534,9.907,-0.702,0.0,-9.9554,-9.9554,-647.1,50.0,-697.1,-1.5581,65
short,2025-05-22 09:55:00+05:30,2025-05-22 13:10:00+05:30,24629.65,24524.55757265524,24664.638271114392,24524.55757265524,True,105.09,120.55,2.05,TRAIL_SL,195,-105.0924,-0.45,-0.523565,0.0007,-10.53,5.0,50.7706,251.2605,-5.4756,0.0,45.295,45.295,2944.17,50.0,2894.17,-12.055,65
short,2025-06-02 09:55:00+05:30,2025-06-02 10:35:00+05:30,24598.05,24623.4974931097,24623.4974931097,24623.4974931097,False,-25.45,43.85,30.4,STOP_LOSS,40,25.4475,-0.45,-0.432187,0.0007,-10.53,5.0,-11.2474,14.7323,-1.1232,0.0,-12.3706,-12.3706,-804.09,50.0,-854.09,-2.4912,65
short,2025-06-03 09:35:00+05:30,2025-06-03 10:20:00+05:30,24674.15,24709.674649175635,24709.674649175635,24709.674649175635,False,-35.52,55.0,92.3,STOP_LOSS,45,35.5246,-0.45,-0.425133,0.0007,-10.53,5.0,-15.5886,28.7105,-1.2636,0.0,-16.8522,-16.8522,-1095.39,50.0,-1145.39,-2.8019,65
long,2025-06-05 10:10:00+05:30,2025-06-05 10:45:00+05:30,24732.25,24706.7498498261,24706.7498498261,24706.7498498261,False,-25.5,8.9,30.45,STOP_LOSS,35,-25.5002,0.45,0.43215,0.0007,-10.53,5.0,-11.2702,14.7934,-0.9828,0.0,-12.253,-12.253,-796.45,50.0,-846.45,2.1803,65
short,2025-06-06 09:55:00+05:30,2025-06-06 10:05:00+05:30,24712.3,24728.49368816143,24728.49368816143,24728.49368816143,False,-16.19,40.85,104.8,STOP_LOSS,10,16.1937,-0.45,-0.438664,0.0007,-10.53,5.0,-7.2046,5.9659,-0.2808,0.0,-7.4854,-7.4854,-486.55,50.0,-536.55,-0.6237,65
long,2025-06-10 10:20:00+05:30,2025-06-10 10:50:00+05:30,25145.25,25120.43066924069,25120.43066924069,25120.43066924069,False,-24.82,8.55,40.0,STOP_LOSS,30,-24.8193,0.45,0.432626,0.0007,-10.53,5.0,-10.9747,14.014,-0.8424,0.0,-11.8171,-11.8171,-768.11,50.0,-818.11,1.8693,65
short,2025-06-12 10:25:00+05:30,2025-06-12 12:10:00+05:30,25103.8,25034.99409858206,25121.444386416104,25034.99409858206,True,68.81,94.45,11.95,TRAIL_SL,105,-68.8059,-0.45,-0.498164,0.0007,-10.53,5.0,32.4539,107.7042,-2.9484,0.0,29.5055,29.5055,1917.86,50.0,1867.86,-6.5189,65
short,2025-06-13 10:10:00+05:30,2025-06-13 10:45:00+05:30,24644.15,24674.369426385627,24674.369426385627,24674.369426385627,False,-30.22,18.95,43.9,STOP_LOSS,35,30.2194,-0.45,-0.428846,0.0007,-10.53,5.0,-13.3111,20.7756,-0.9828,0.0,-14.2939,-14.2939,-929.1,50.0,-979.1,-2.1803,65
short,2025-06-17 10:20:00+05:30,2025-06-17 10:35:00+05:30,24877.65,24894.452061975895,24894.452061975895,24894.452061975895,False,-16.8,10.15,30.75,STOP_LOSS,15,16.8021,-0.45,-0.438239,0.0007,-10.53,5.0,-7.472,6.4225,-0.4212,0.0,-7.8932,-7.8932,-513.06,50.0,-563.06,-0.9353,65
long,2025-06-18 09:55:00+05:30,2025-06-18 10:30:00+05:30,24902.25,24873.65976481516,24873.65976481516,24873.65976481516,False,-28.59,26.6,48.15,STOP_LOSS,35,-28.5902,0.45,0.429987,0.0007,-10.53,5.0,-12.6081,18.5959,-0.9828,0.0,-13.5909,-13.5909,-883.41,50.0,-933.41,2.1803,65
long,2025-06-24 09:45:00+05:30,2025-06-24 10:45:00+05:30,25138.15,25213.26838301674,25081.718996270658,25213.26838301674,True,75.12,119.8,0.8,TRAIL_SL,60,75.1184,0.45,0.502583,0.0007,-10.53,5.0,35.5807,128.3731,-1.6848,0.0,33.8959,33.8959,2203.24,50.0,2153.24,3.7332,65
long,2025-06-25 10:10:00+05:30,2025-06-25 13:15:00+05:30,25173.9,25231.566367745003,25146.714187602214,25231.566367745003,True,57.67,71.45,1.25,TRAIL_SL,185,57.6664,0.45,0.490366,0.0007,-10.53,5.0,26.9974,75.6531,-5.1948,0.0,21.8026,21.8026,1417.17,50.0,1367.17,11.4422,65
