direction,entry_time,exit_time,entry_price,exit_price,sl_initial,sl_final,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,2025-03-12 13:15:00+05:30,2025-03-12 13:50:00+05:30,22424.2,22395.17103950273,22395.17103950273,22395.17103950273,False,-29.03,21.1,32.15,STOP_LOSS,5073,5080
short,2025-03-13 11:35:00+05:30,2025-03-13 12:55:00+05:30,22432.65,22451.538140736444,22451.538140736444,22451.538140736444,False,-18.89,29.5,29.15,STOP_LOSS,5128,5144
long,2025-03-17 09:30:00+05:30,2025-03-17 10:10:00+05:30,22566.1,22525.114522007952,22525.114522007952,22525.114522007952,False,-40.99,1.6,53.35,STOP_LOSS,5178,5186
short,2025-03-18 12:25:00+05:30,2025-03-18 13:00:00+05:30,22730.8,22742.917606784144,22742.917606784144,22742.917606784144,False,-12.12,33.05,21.85,STOP_LOSS,5288,5295
long,2025-03-18 13:15:00+05:30,2025-03-18 15:00:00+05:30,22782.0,22814.8,22759.753036670754,22759.753036670754,False,32.8,38.3,16.4,SOFT_EOD_EXIT,5298,5319
long,2025-03-20 09:30:00+05:30,2025-03-20 09:45:00+05:30,23065.65,23030.77139441151,23030.77139441151,23030.77139441151,False,-34.88,5.45,47.05,STOP_LOSS,5403,5406
long,2025-03-27 09:50:00+05:30,2025-03-27 10:30:00+05:30,23566.2,23599.684742051813,23517.80375638293,23599.684742051813,True,33.48,60.55,7.3,TRAIL_SL,5782,5790
short,2025-03-28 12:30:00+05:30,2025-03-28 12:45:00+05:30,23491.3,23508.571298933533,23508.571298933533,23508.571298933533,False,-17.27,7.45,33.5,STOP_LOSS,5889,5892
long,2025-03-28 14:25:00+05:30,2025-03-28 15:00:00+05:30,23571.8,23535.698015144062,23535.698015144062,23535.698015144062,False,-36.1,40.25,47.85,STOP_LOSS,5912,5919
long,2025-04-02 09:30:00+05:30,2025-04-02 09:40:00+05:30,23279.05,23236.66458859152,23236.66458859152,23236.66458859152,False,-42.39,14.6,45.55,STOP_LOSS,6003,6005
short,2025-04-15 14:40:00+05:30,2025-04-15 14:45:00+05:30,23309.6,23316.672818560684,23316.672818560684,23316.672818560684,False,-7.07,0.45,14.9,STOP_LOSS,6590,6591
short,2025-04-25 09:40:00+05:30,2025-04-25 10:10:00+05:30,24208.15,23993.8607746674,24237.93542407203,23993.8607746674,True,214.29,258.0,7.7,TRAIL_SL,7055,7061
