Date,Price,Open,High,Low,Vol.,Change %
21-07-2011,18.75,19.11,19.16,18.64,,-1.88%
22-07-2011,17.91,18.75,18.75,17.27,,-4.48%
25-07-2011,19.2,17.91,19.23,16.55,,7.20%
26-07-2011,19.3,19.2,19.59,18.41,,0.52%
27-07-2011,18.25,19.3,19.36,18.13,,-5.44%
28-07-2011,18.51,18.25,19.04,18.25,,1.42%
29-07-2011,19.77,18.51,19.88,18.39,,6.81%
01-08-2011,18.78,19.77,19.77,18.58,,-5.01%
02-08-2011,19.15,18.78,19.51,18.38,,1.97%
03-08-2011,19.48,19.15,19.99,18.98,,1.72%
04-08-2011,20.22,19.43,20.28,19.26,,3.80%
05-08-2011,24.9,20.22,26.4,19.84,,23.15%
08-08-2011,28.78,24.9,29.65,24.9,,15.58%
09-08-2011,34.88,28.78,37,28.78,,21.20%
10-08-2011,28.95,34.88,34.88,26.09,,-17.00%
11-08-2011,29.09,28.95,29.49,27.4,,0.48%
12-08-2011,27.02,29.09,29.09,25.65,,-7.12%
16-08-2011,26.46,27.02,27.13,24.99,,-2.07%
17-08-2011,25.48,26.46,26.46,24.53,,-3.70%
18-08-2011,27.45,25.48,27.87,22.35,,7.73%
19-08-2011,29.19,27.45,31.13,25.9,,6.34%
22-08-2011,27.08,29.19,30.35,27.03,,-7.23%
23-08-2011,25.92,27.08,29.06,25.23,,-4.28%
24-08-2011,28.6,25.92,29.22,24.93,,10.34%
25-08-2011,27.94,28.6,30.34,26.41,,-2.31%
26-08-2011,33.26,27.94,33.26,27.75,,19.04%
29-08-2011,26.07,33.26,33.26,25.66,,-21.62%
30-08-2011,24.88,26.07,26.4,24.4,,-4.56%
02-09-2011,26.09,24.88,26.37,24.01,,4.86%
05-09-2011,27.83,26.09,28.32,26.09,,6.67%
06-09-2011,28.66,27.83,30.5,26.81,,2.98%
07-09-2011,27.86,28.66,28.77,27.4,,-2.79%
08-09-2011,27.64,27.86,28.67,26.98,,-0.79%
09-09-2011,28.15,27.64,28.28,26.15,,1.85%
12-09-2011,32.75,28.15,32.92,27.31,,16.34%
13-09-2011,32.77,32.75,33.71,29.42,,0.06%
14-09-2011,32.45,32.77,34.74,31.24,,-0.98%
15-09-2011,30.79,32.45,33.72,29.91,,-5.12%
16-09-2011,28.45,30.79,30.79,28.37,,-7.60%
19-09-2011,29.6,28.45,30.75,27.56,,4.04%
20-09-2011,27.25,29.6,29.6,27.01,,-7.94%
21-09-2011,27.67,27.25,28.17,25.99,,1.54%
22-09-2011,33.88,27.67,34.92,27.67,,22.44%
23-09-2011,35.16,33.88,37.55,33.52,,3.78%
26-09-2011,35.43,35.16,38.19,34.47,,0.77%
27-09-2011,32.01,35.43,35.43,31.24,,-9.65%
28-09-2011,32,32.01,34.11,31.03,,-0.03%
29-09-2011,31.07,32,32.81,30.5,,-2.91%
30-09-2011,31.94,31.07,32.52,30.28,,2.80%
03-10-2011,35.07,31.94,36.05,31.94,,9.80%
04-10-2011,37.19,35.07,39.02,34.79,,6.05%
05-10-2011,35.37,37.19,37.19,34.76,,-4.89%
07-10-2011,33.02,35.37,35.37,29.9,,-6.64%
10-10-2011,30.03,33.02,33.71,30.03,,-9.06%
11-10-2011,30.3,30.03,30.95,28.15,,0.90%
12-10-2011,28.41,30.3,30.3,28.01,,-6.24%
13-10-2011,28.24,28.41,28.54,27.42,,-0.60%
14-10-2011,25.98,28.24,28.31,25.73,,-8.00%
17-10-2011,25.43,25.98,26.53,25,,-2.12%
18-10-2011,25.9,25.43,26.59,25.33,,1.85%
19-10-2011,24.05,25.9,25.9,23.53,,-7.14%
20-10-2011,25.6,24.05,26.54,19.6,,6.44%
21-10-2011,26.3,25.6,26.7,24.39,,2.73%
24-10-2011,25.22,26.3,26.3,24.58,,-4.11%
25-10-2011,22.31,25.22,25.22,22,,-11.54%
26-10-2011,22.69,22.31,22.69,22.01,,1.70%
28-10-2011,20.89,22.69,22.69,20.57,,-7.93%
31-10-2011,22.66,20.27,22.79,20.27,,8.47%
01-11-2011,24.02,20.73,24.6,20.73,,6.00%
02-11-2011,24.89,24.02,24.92,23.57,,3.62%
03-11-2011,24.66,24.89,26.18,24.42,,-0.92%
04-11-2011,23.43,21.13,23.88,21.13,,-4.99%
08-11-2011,23.71,20.75,24.74,20.75,,1.20%
09-11-2011,24.3,23.71,24.82,20.16,,2.49%
11-11-2011,24.74,24.3,25.93,24.27,,1.81%
14-11-2011,25.29,24.74,25.47,24,,2.22%
15-11-2011,25.97,25.29,26.03,24.43,,2.69%
16-11-2011,25.04,25.97,27.22,24.93,,-3.58%
17-11-2011,26.92,25.04,27.27,24.73,,7.51%
18-11-2011,26.58,26.92,28.23,26.28,,-1.26%
21-11-2011,28.61,23.07,28.69,23.07,,7.64%
22-11-2011,27.35,22.64,28.9,22.64,,-4.40%
23-11-2011,30.68,27.35,32.71,26.98,,12.18%
24-11-2011,27.95,24.84,32.52,24.84,,-8.90%
25-11-2011,29.12,27.95,30.13,27.95,,4.19%
28-11-2011,26.64,28.63,28.77,26.64,,-8.52%
29-11-2011,26.87,26.64,28.15,26.2,,0.86%
30-11-2011,26.55,26.46,27.85,26.15,,-1.19%
01-12-2011,25.02,26.55,26.55,23.37,,-5.76%
02-12-2011,23.99,24.09,24.9,23.38,,-4.12%
05-12-2011,25.02,23.4,25.75,23.4,,4.29%
07-12-2011,26.46,24.52,26.58,24.52,,5.76%
08-12-2011,28.58,25,29,25,,8.01%
09-12-2011,29.53,28.03,29.98,28.03,,3.32%
12-12-2011,29.27,27.21,30,27.21,,-0.88%
13-12-2011,28.11,28.47,29.61,28.11,,-3.96%
14-12-2011,28.79,28.08,29.35,28.08,,2.42%
15-12-2011,28.81,28.79,30.26,27.98,,0.07%
16-12-2011,29.69,27.48,29.69,27.48,,3.05%
19-12-2011,30.58,29.69,31.27,29.69,,3.00%
20-12-2011,30.53,30.58,31.02,29.54,,-0.16%
21-12-2011,27.53,28.81,29.88,27.53,,-9.83%
22-12-2011,26.84,27.31,28.23,26.58,,-2.51%
23-12-2011,27.39,26.84,27.91,25.81,,2.05%
26-12-2011,26.6,26.99,27.97,26.31,,-2.88%
27-12-2011,26.29,26.6,27.01,26.03,,-1.17%
28-12-2011,26.74,26.29,27.24,25.94,,1.71%
29-12-2011,26.62,26.74,27.55,26.43,,-0.45%
30-12-2011,27.11,26.62,27.79,26.25,,1.84%
02-01-2012,27.53,27.11,28.68,27.11,,1.55%
03-01-2012,26.16,27.53,27.53,25.99,,-4.98%
04-01-2012,26.41,26.16,26.84,25.6,,0.96%
05-01-2012,25.91,26.41,26.6,25.72,,-1.89%
06-01-2012,25.46,25.91,26.44,25.09,,-1.74%
07-01-2012,25.65,25.65,25.65,25.65,,0.75%
09-01-2012,25.68,25.65,26.54,24.91,,0.12%
10-01-2012,24,25.68,25.68,23.96,,-6.54%
11-01-2012,24.54,24,24.64,23.32,,2.25%
12-01-2012,24.03,24.54,24.85,23.77,,-2.08%
13-01-2012,23.48,24.03,24.15,23.23,,-2.29%
16-01-2012,24.07,23.48,24.96,23.22,,2.51%
17-01-2012,22.61,24.07,24.07,22.48,,-6.07%
18-01-2012,22.68,22.61,22.75,21.97,,0.31%
19-01-2012,21.68,22.68,22.68,20.88,,-4.41%
20-01-2012,21.96,21.68,22.33,18.01,,1.29%
23-01-2012,22.14,21.96,22.91,21.96,,0.82%
24-01-2012,21.42,22.14,22.51,20.77,,-3.25%
25-01-2012,21.02,21.42,21.42,18.63,,-1.87%
27-01-2012,21.7,21.02,22.2,20.68,,3.24%
30-01-2012,23.46,21.7,23.48,21.7,,8.11%
31-01-2012,22.66,23.46,23.46,22.33,,-3.41%
01-02-2012,22.89,22.66,23.49,22.17,,1.02%
02-02-2012,23.69,22.89,24.26,21.88,,3.49%
03-02-2012,24.09,23.69,24.49,23.35,,1.69%
06-02-2012,24.62,24.09,25.02,23.58,,2.20%
07-02-2012,24.91,24.66,25.15,23.69,,1.18%
08-02-2012,24.27,24.91,25.01,24.17,,-2.57%
09-02-2012,23.3,24.27,24.61,23.25,,-4.00%
10-02-2012,23.83,23.3,24.47,22.98,,2.27%
13-02-2012,23.71,23.83,24.76,23.12,,-0.50%
14-02-2012,22.71,23.71,23.92,22.71,,-4.22%
15-02-2012,22.1,22.71,22.71,21.71,,-2.69%
16-02-2012,23.33,22.1,23.88,20.3,,5.57%
17-02-2012,24.18,23.33,24.91,21.81,,3.64%
21-02-2012,26.25,24.18,27.18,24.18,,8.56%
22-02-2012,26.8,26.25,27.3,25.69,,2.10%
23-02-2012,24.33,26.8,26.8,24.13,,-9.22%
24-02-2012,24.82,24.33,25.79,23.59,,2.01%
27-02-2012,27.38,24.82,27.87,24.82,,10.31%
28-02-2012,25.85,27.38,27.38,25.7,,-5.59%
29-02-2012,26.93,25.85,27.09,24.69,,4.18%
01-03-2012,27.67,26.93,28.02,26.52,,2.75%
02-03-2012,27.84,27.67,28.37,26.62,,0.61%
03-03-2012,28.2,27.84,28.2,27.17,,1.29%
05-03-2012,28.92,28.2,29.55,28.2,,2.55%
06-03-2012,27.34,28.92,28.92,26.05,,-5.46%
07-03-2012,26.33,27.34,27.34,25.97,,-3.69%
09-03-2012,25.47,26.33,26.33,24.6,,-3.27%
12-03-2012,26.27,25.47,26.93,24.92,,3.14%
13-03-2012,24.75,26.27,26.27,24.64,,-5.79%
