direction,entry_path,entry_time,exit_time,entry_price,exit_price,sl_at_entry,sl_at_exit,be_triggered,pnl,mfe_pts,mae_pts,exit_reason,entry_idx,exit_idx
long,B,2026-04-15 09:40:00+05:30,2026-04-15 10:50:00+05:30,24207.349609375,24236.55078125,24134.433103342522,24236.55078125,True,29.2,65.8,20.65,TRAIL_SL,1130,1144
short,B,2026-04-16 11:55:00+05:30,2026-04-16 13:45:00+05:30,24197.19921875,24147.44921875,24218.83303859473,24147.44921875,True,49.75,94.1,0.6,TRAIL_SL,1232,1254
long,B,2026-04-21 09:45:00+05:30,2026-04-21 11:30:00+05:30,24502.19921875,24535.0,24464.760893052044,24535.0,True,32.8,62.3,17.2,TRAIL_SL,1361,1382
short,B,2026-04-22 09:35:00+05:30,2026-04-22 15:00:00+05:30,24438.69921875,24385.099609375,24465.623456790683,24465.623456790683,False,53.6,85.0,19.55,EOD_EXIT,1434,1499
short,B,2026-04-24 09:35:00+05:30,2026-04-24 14:25:00+05:30,24002.44921875,23863.55078125,24028.443586694237,23863.55078125,True,138.9,187.1,3.95,TRAIL_SL,1584,1642
long,B,2026-04-29 10:00:00+05:30,2026-04-29 11:25:00+05:30,24201.30078125,24265.55078125,24162.657303100546,24265.55078125,True,64.25,97.55,4.65,TRAIL_SL,1814,1831
short,B,2026-04-30 09:35:00+05:30,2026-04-30 10:35:00+05:30,23908.94921875,23850.75,23943.557664770095,23850.75,True,58.2,108.1,47.5,TRAIL_SL,1884,1896
short,B,2026-05-04 13:25:00+05:30,2026-05-04 13:40:00+05:30,24025.25,24049.164745758313,24049.164745758313,24049.164745758313,False,-23.91,19.95,65.4,STOP_LOSS,2005,2008
long,B,2026-05-07 12:40:00+05:30,2026-05-07 12:50:00+05:30,24463.150390625,24421.791143574384,24421.791143574384,24421.791143574384,False,-41.36,8.45,68.6,STOP_LOSS,2221,2223
short,B,2026-05-08 09:35:00+05:30,2026-05-08 10:20:00+05:30,24191.19921875,24223.67659121668,24223.67659121668,24223.67659121668,False,-32.48,52.25,41.05,STOP_LOSS,2259,2268
short,B,2026-05-11 09:35:00+05:30,2026-05-11 11:20:00+05:30,23881.80078125,23920.339491161925,23920.339491161925,23920.339491161925,False,-38.54,36.35,61.15,STOP_LOSS,2334,2355
short,B,2026-05-12 09:35:00+05:30,2026-05-12 10:15:00+05:30,23626.150390625,23654.675764764685,23654.675764764685,23654.675764764685,False,-28.53,12.15,42.1,STOP_LOSS,2409,2417
short,B,2026-05-13 09:35:00+05:30,2026-05-13 09:50:00+05:30,23276.5,23317.297018735182,23317.297018735182,23317.297018735182,False,-40.8,12.05,95.95,STOP_LOSS,2484,2487
short,B,2026-05-18 09:35:00+05:30,2026-05-18 10:30:00+05:30,23358.400390625,23397.98499911526,23397.98499911526,23397.98499911526,False,-39.58,40.85,56.0,STOP_LOSS,2709,2720
long,B,2026-05-21 09:40:00+05:30,2026-05-21 10:35:00+05:30,23792.599609375,23744.267763939024,23744.267763939024,23744.267763939024,False,-48.33,19.4,63.2,STOP_LOSS,2935,2946
short,B,2026-05-29 13:10:00+05:30,2026-05-29 14:30:00+05:30,23769.25,23783.949927975442,23783.949927975442,23783.949927975442,False,-14.7,37.75,32.8,STOP_LOSS,3352,3368
short,B,2026-06-03 09:50:00+05:30,2026-06-03 10:00:00+05:30,23244.0,23276.604624989817,23276.604624989817,23276.604624989817,False,-32.6,18.35,37.25,STOP_LOSS,3537,3539
short,B,2026-06-08 09:35:00+05:30,2026-06-08 09:55:00+05:30,23155.599609375,23194.982201343835,23194.982201343835,23194.982201343835,False,-39.38,30.35,46.15,STOP_LOSS,3759,3763
long,B,2026-06-15 09:40:00+05:30,2026-06-15 12:15:00+05:30,23964.849609375,23909.833977715745,23909.833977715745,23909.833977715745,False,-55.02,44.25,58.8,STOP_LOSS,4135,4166
