Datetime,Adj Close,Close,High,Low,Open,Volume
2026-06-22 09:43:00+05:30,24112.05078,24112.05078,24119.25,24111.65039,24117.40039,0
2026-06-22 09:44:00+05:30,24109.44922,24109.44922,24118.5,24108.90039,24112.44922,0
2026-06-22 09:45:00+05:30,24109.55078,24109.55078,24111.84961,24105.09961,24109.5,0
2026-06-22 09:46:00+05:30,24111.55078,24111.55078,24112.25,24106.65039,24109.59961,0
2026-06-22 09:47:00+05:30,24106.84961,24106.84961,24114,24104,24111.55078,0
2026-06-22 09:48:00+05:30,24105.19922,24105.19922,24110.65039,24103.75,24107.84961,0
2026-06-22 09:49:00+05:30,24108.94922,24108.94922,24112.19922,24105.65039,24105.84961,0
2026-06-22 09:50:00+05:30,24118.55078,24118.55078,24120.40039,24108.5,24109.25,0
2026-06-22 09:51:00+05:30,24119.30078,24119.30078,24122.90039,24117.15039,24118.69922,0
2026-06-22 09:52:00+05:30,24121.94922,24121.94922,24123.40039,24118.25,24119.69922,0
2026-06-22 09:53:00+05:30,24126.44922,24126.44922,24130.5,24120.30078,24122.59961,0
2026-06-22 09:54:00+05:30,24127.30078,24127.30078,24130.44922,24124.65039,24126.80078,0
2026-06-22 09:55:00+05:30,24128.90039,24128.90039,24130.19922,24124.80078,24127.59961,0
2026-06-22 09:56:00+05:30,24135.15039,24135.15039,24137.90039,24127.55078,24127.80078,0
2026-06-22 09:57:00+05:30,24134.09961,24134.09961,24138.80078,24131.55078,24134.44922,0
2026-06-22 09:58:00+05:30,24137.84961,24137.84961,24139.90039,24132.69922,24134.34961,0
2026-06-22 09:59:00+05:30,24141.15039,24141.15039,24143.59961,24135.55078,24137.90039,0
2026-06-22 10:00:00+05:30,24144.69922,24144.69922,24147.55078,24141.5,24141.5,0
2026-06-22 10:01:00+05:30,24143.90039,24143.90039,24147.90039,24143.25,24144.80078,0
2026-06-22 10:02:00+05:30,24143.09961,24143.09961,24147.40039,24142.30078,24145.25,0
2026-06-22 10:03:00+05:30,24140.5,24140.5,24144.65039,24138.44922,24143,0
2026-06-22 10:04:00+05:30,24133.84961,24133.84961,24141.90039,24133.84961,24140.84961,0
2026-06-22 10:05:00+05:30,24132.80078,24132.80078,24135.55078,24129.5,24133.34961,0
2026-06-22 10:06:00+05:30,24140.30078,24140.30078,24140.65039,24130.40039,24132,0
2026-06-22 10:07:00+05:30,24141.5,24141.5,24144.15039,24138.84961,24139.84961,0
2026-06-22 10:08:00+05:30,24143.94922,24143.94922,24148.84961,24141.30078,24141.30078,0
2026-06-22 10:09:00+05:30,24154.94922,24154.94922,24154.94922,24143.19922,24143.84961,0
2026-06-22 10:10:00+05:30,24157,24157,24159.65039,24151.90039,24154.69922,0
2026-06-22 10:11:00+05:30,24142.5,24142.5,24157.69922,24142.30078,24157.30078,0
2026-06-22 10:12:00+05:30,24150.69922,24150.69922,24152.34961,24142.80078,24143.15039,0
2026-06-22 10:13:00+05:30,24148.15039,24148.15039,24151.40039,24145.55078,24150.5,0
2026-06-22 10:14:00+05:30,24149.65039,24149.65039,24151.69922,24147.05078,24148.40039,0
2026-06-22 10:15:00+05:30,24151.55078,24151.55078,24155.09961,24148.34961,24149.55078,0
2026-06-22 10:16:00+05:30,24154.25,24154.25,24155,24148,24151.44922,0
2026-06-22 10:17:00+05:30,24151.19922,24151.19922,24154.09961,24148.30078,24154,0
2026-06-22 10:18:00+05:30,24147.15039,24147.15039,24154.75,24146.40039,24151.05078,0
2026-06-22 10:19:00+05:30,24149.90039,24149.90039,24152.80078,24146.69922,24146.75,0
2026-06-22 10:20:00+05:30,24152.90039,24152.90039,24155.15039,24149.25,24150.34961,0
2026-06-22 10:21:00+05:30,24153.34961,24153.34961,24156.09961,24152.05078,24152.90039,0
2026-06-22 10:22:00+05:30,24152.40039,24152.40039,24155.30078,24149.75,24153.84961,0
2026-06-22 10:23:00+05:30,24152.40039,24152.40039,24154.59961,24148.44922,24152.34961,0
2026-06-22 10:24:00+05:30,24146.84961,24146.84961,24154.55078,24146.59961,24151.94922,0
2026-06-22 10:25:00+05:30,24147.55078,24147.55078,24152.94922,24144.25,24147.44922,0
2026-06-22 10:26:00+05:30,24152.09961,24152.09961,24153.94922,24146,24147.84961,0
2026-06-22 10:27:00+05:30,24151.75,24151.75,24154.19922,24149.80078,24152.05078,0
2026-06-22 10:28:00+05:30,24153.84961,24153.84961,24154.75,24149.69922,24151.55078,0
2026-06-22 10:29:00+05:30,24152.80078,24152.80078,24156.19922,24150.19922,24154.30078,0
2026-06-22 10:30:00+05:30,24157.55078,24157.55078,24158.34961,24151.90039,24153.84961,0
2026-06-22 10:31:00+05:30,24149.94922,24149.94922,24159.09961,24149.25,24156.90039,0
2026-06-22 10:32:00+05:30,24146.69922,24146.69922,24151.94922,24146.09961,24150.65039,0
2026-06-22 10:33:00+05:30,24144.15039,24144.15039,24148.19922,24142.90039,24146.65039,0
2026-06-22 10:34:00+05:30,24138.44922,24138.44922,24145.59961,24137.75,24144.59961,0
2026-06-22 10:35:00+05:30,24141.40039,24141.40039,24143.19922,24136.55078,24138.55078,0
2026-06-22 10:36:00+05:30,24147.5,24147.5,24148.05078,24140.69922,24140.69922,0
2026-06-22 10:37:00+05:30,24152.55078,24152.55078,24155,24144.15039,24145.19922,0
2026-06-22 10:38:00+05:30,24154.25,24154.25,24157.34961,24151.5,24151.75,0
2026-06-22 10:39:00+05:30,24153.19922,24153.19922,24156.55078,24150.09961,24153.69922,0
2026-06-22 10:40:00+05:30,24153.65039,24153.65039,24156.15039,24151.80078,24153.40039,0
2026-06-22 10:41:00+05:30,24152.40039,24152.40039,24155.19922,24149.84961,24153.94922,0
2026-06-22 10:42:00+05:30,24152.05078,24152.05078,24155.15039,24150.5,24152.30078,0
2026-06-22 10:43:00+05:30,24153.5,24153.5,24155.59961,24150,24151.94922,0
2026-06-22 10:44:00+05:30,24152.90039,24152.90039,24154.84961,24149.40039,24152.30078,0
2026-06-22 10:45:00+05:30,24156.5,24156.5,24157.55078,24149.94922,24152.75,0
2026-06-22 10:46:00+05:30,24155.69922,24155.69922,24159.34961,24154.34961,24157.59961,0
2026-06-22 10:47:00+05:30,24152.84961,24152.84961,24159.5,24151.09961,24156.65039,0
2026-06-22 10:48:00+05:30,24149.15039,24149.15039,24155,24147.80078,24152.80078,0
2026-06-22 10:49:00+05:30,24151.09961,24151.09961,24152.94922,24148.15039,24149.05078,0
2026-06-22 10:50:00+05:30,24153.80078,24153.80078,24155.15039,24148.90039,24150.40039,0
2026-06-22 10:51:00+05:30,24158.84961,24158.84961,24160.09961,24152.80078,24154.65039,0
2026-06-22 10:52:00+05:30,24158.55078,24158.55078,24162.40039,24157,24158.84961,0
2026-06-22 10:53:00+05:30,24157.80078,24157.80078,24160.59961,24155.94922,24158,0
2026-06-22 10:54:00+05:30,24155.55078,24155.55078,24161.25,24151.65039,24158.15039,0
2026-06-22 10:55:00+05:30,24161,24161,24163,24154,24154.80078,0
2026-06-22 10:56:00+05:30,24164.69922,24164.69922,24166.90039,24158.80078,24161.84961,0
2026-06-22 10:57:00+05:30,24165.90039,24165.90039,24168,24163.65039,24164.05078,0
2026-06-22 10:58:00+05:30,24162.34961,24162.34961,24167.40039,24160.75,24165.40039,0
2026-06-22 10:59:00+05:30,24162.84961,24162.84961,24165.44922,24158.25,24163.40039,0
2026-06-22 11:00:00+05:30,24162.40039,24162.40039,24165.09961,24158.19922,24162.75,0
2026-06-22 11:01:00+05:30,24160.94922,24160.94922,24164.30078,24158.84961,24162.40039,0
2026-06-22 11:02:00+05:30,24156.40039,24156.40039,24162.34961,24154,24161.55078,0
2026-06-22 11:03:00+05:30,24155.05078,24155.05078,24158.15039,24153.34961,24156.84961,0
2026-06-22 11:04:00+05:30,24158.94922,24158.94922,24163.19922,24154.19922,24155.69922,0
2026-06-22 11:05:00+05:30,24162.25,24162.25,24163.90039,24156.30078,24159,0
2026-06-22 11:06:00+05:30,24161.69922,24161.69922,24164.90039,24158,24162,0
2026-06-22 11:07:00+05:30,24158.30078,24158.30078,24164.05078,24158,24163.30078,0
2026-06-22 11:08:00+05:30,24162.09961,24162.09961,24163.90039,24157.30078,24159.15039,0
2026-06-22 11:09:00+05:30,24161.94922,24161.94922,24165.30078,24160.09961,24161.90039,0
2026-06-22 11:10:00+05:30,24159.15039,24159.15039,24164.19922,24157.25,24160.94922,0
2026-06-22 11:11:00+05:30,24157.5,24157.5,24161.69922,24154.25,24159.05078,0
2026-06-22 11:12:00+05:30,24158.25,24158.25,24160.09961,24155.5,24156.80078,0
2026-06-22 11:13:00+05:30,24157.94922,24157.94922,24160.94922,24156.65039,24158.55078,0
2026-06-22 11:14:00+05:30,24157.30078,24157.30078,24161.59961,24154.05078,24157.75,0
2026-06-22 11:15:00+05:30,24158.09961,24158.09961,24162.25,24152,24156.65039,0
2026-06-22 11:16:00+05:30,24155.80078,24155.80078,24159.69922,24153.84961,24157.25,0
2026-06-22 11:17:00+05:30,24153.09961,24153.09961,24158.5,24150.84961,24155.90039,0
2026-06-22 11:18:00+05:30,24153.25,24153.25,24158.09961,24152,24153,0
2026-06-22 11:19:00+05:30,24152.05078,24152.05078,24155.44922,24150.19922,24152.90039,0
